steepness,H_cont
1.0,3.0570096315505575
2.0,3.172883700730611
3.0,3.1668864333148385
4.0,3.0252733980290505
5.0,2.9687022192805053
6.0,3.2239744619024755
7.0,3.0697639459821944
8.0,3.110225650818002
9.0,3.1688856223021498
10.0,2.8123533819811355
