N,Scale_Invariant,H_DeadZone,H_Escape
64,False,2.650459160656567,3.9462197750589985
256,False,2.7339920710442165,4.315302155336406
1024,False,2.8672599249061763,4.318465362930475
64,True,3.199082295352821,3.249460279921617
256,True,4.619529592143879,3.9703972308450908
1024,True,4.190654922953937,4.997110095408889
