t,v_diff,uc_diff
232,0.589452,0.752044
233,0.526494,0.752340
234,0.464114,0.752515
235,0.403895,0.752555
236,0.347545,0.752471
237,0.293895,0.752268
238,0.242754,0.751956
239,0.192838,0.751538
240,0.147751,0.751006
241,0.105881,0.750380
242,0.065288,0.749659
243,0.028664,0.748855
244,-0.005569,0.747981
245,-0.037454,0.747044
246,-0.066113,0.746037
247,-0.093950,0.744976
248,-0.119968,0.743856
249,-0.142587,0.742692
250,-0.166134,0.741469
251,-0.185644,0.740202
252,-0.201756,0.738908
253,-0.217127,0.737586
254,-0.233227,0.736240
255,-0.246335,0.734849
256,-0.259834,0.733430
257,-0.270041,0.731986
258,-0.279927,0.730526
259,-0.289612,0.729044
260,-0.299844,0.727535
261,-0.308043,0.726000
262,-0.316615,0.724441
263,-0.325505,0.722870
264,-0.332497,0.721285
265,-0.340072,0.719689
266,-0.345920,0.718081
267,-0.352178,0.716465
268,-0.358229,0.714839
269,-0.363795,0.713206
270,-0.368548,0.711564
271,-0.374759,0.709918
272,-0.379404,0.708255
273,-0.384718,0.706581
274,-0.388240,0.704905
275,-0.394572,0.703231
276,-0.398798,0.701532
277,-0.402303,0.699837
278,-0.406974,0.698132
279,-0.410718,0.696412
280,-0.413330,0.694683
281,-0.417155,0.692955
282,-0.420848,0.691212
283,-0.424481,0.689464
284,-0.426735,0.687709
285,-0.427969,0.685958
286,-0.430624,0.684207
287,-0.432975,0.682448
288,-0.436435,0.680683
289,-0.439013,0.678915
290,-0.440771,0.677147
291,-0.441719,0.675373
292,-0.443897,0.673601
293,-0.446745,0.671822
294,-0.448039,0.670034
295,-0.449551,0.668234
296,-0.451884,0.666434
297,-0.453405,0.664633
298,-0.455357,0.662831
299,-0.457312,0.661032
300,-0.459866,0.659228
301,-0.461871,0.657416
302,-0.464221,0.655583
303,-0.466010,0.653752
304,-0.467794,0.651911
305,-0.468927,0.650071
306,-0.468201,0.648231
307,-0.468921,0.646389
308,-0.470031,0.644550
309,-0.471552,0.642706
310,-0.472471,0.640858
311,-0.473663,0.639009
312,-0.476035,0.637164
313,-0.477146,0.635312
314,-0.478084,0.633462
315,-0.479570,0.631614
316,-0.482997,0.629769
317,-0.484649,0.627918
318,-0.486310,0.626067
319,-0.488022,0.624221
320,-0.489531,0.622382
321,-0.492023,0.620542
322,-0.493465,0.618701
323,-0.494625,0.616869
324,-0.496173,0.615035
325,-0.496656,0.613202
326,-0.497449,0.611361
327,-0.498472,0.609519
328,-0.499127,0.607670
329,-0.502356,0.605823
330,-0.504590,0.603970
331,-0.507797,0.602119
332,-0.510128,0.600261
333,-0.512354,0.598401
334,-0.513653,0.596541
335,-0.515242,0.594685
336,-0.516384,0.592829
337,-0.516369,0.590975
338,-0.517328,0.589131
339,-0.517980,0.587289
340,-0.521469,0.585453
341,-0.523544,0.583612
342,-0.524684,0.581772
343,-0.526454,0.579932
344,-0.528438,0.578092
345,-0.531706,0.576249
346,-0.533949,0.574404
347,-0.534056,0.572558
348,-0.536685,0.570715
349,-0.538857,0.568869
350,-0.541182,0.567029
351,-0.542344,0.565188
352,-0.543865,0.563348
353,-0.545449,0.561510
354,-0.547309,0.559676
355,-0.547069,0.557838
356,-0.549046,0.556002
357,-0.551273,0.554163
358,-0.552032,0.552329
359,-0.553897,0.550499
360,-0.553849,0.548668
361,-0.555409,0.546841
362,-0.557290,0.545015
363,-0.557477,0.543190
364,-0.557421,0.541365
365,-0.557013,0.539543
366,-0.557766,0.537724
367,-0.559701,0.535905
368,-0.560996,0.534085
369,-0.562148,0.532264
370,-0.563496,0.530446
371,-0.564574,0.528629
372,-0.565713,0.526812
373,-0.566453,0.524995
374,-0.568171,0.523172
375,-0.568788,0.521346
376,-0.570503,0.519527
377,-0.570716,0.517707
378,-0.571495,0.515888
379,-0.573091,0.514070
380,-0.573758,0.512252
381,-0.573713,0.510433
382,-0.574387,0.508618
383,-0.574255,0.506803
384,-0.574192,0.504989
385,-0.574135,0.503182
386,-0.573685,0.501375
387,-0.574420,0.499570
388,-0.574647,0.497765
389,-0.575695,0.495960
390,-0.576241,0.494154
391,-0.576467,0.492346
392,-0.576214,0.490539
393,-0.574854,0.488732
394,-0.574270,0.486931
395,-0.575030,0.485135
396,-0.575369,0.483340
397,-0.575153,0.481545
398,-0.573407,0.479755
399,-0.574158,0.477971
