window_center,source,target,te_bits
1950,Q2,Q3,0.036071
200,Q2,Q4,0.000000
250,Q2,Q4,0.000000
300,Q2,Q4,0.000000
350,Q2,Q4,0.000816
400,Q2,Q4,0.000000
450,Q2,Q4,0.000000
500,Q2,Q4,0.000000
550,Q2,Q4,0.000000
600,Q2,Q4,0.000000
650,Q2,Q4,0.000000
700,Q2,Q4,0.000000
750,Q2,Q4,0.000000
800,Q2,Q4,0.020316
850,Q2,Q4,0.020798
900,Q2,Q4,0.041943
950,Q2,Q4,0.024737
1000,Q2,Q4,0.023793
1050,Q2,Q4,0.012530
1100,Q2,Q4,0.053080
1150,Q2,Q4,0.013097
1200,Q2,Q4,0.028303
1250,Q2,Q4,0.027251
1300,Q2,Q4,0.025874
1350,Q2,Q4,0.028512
1400,Q2,Q4,0.020760
1450,Q2,Q4,0.000328
1500,Q2,Q4,0.012491
1550,Q2,Q4,0.004844
1600,Q2,Q4,0.011207
1650,Q2,Q4,0.015350
1700,Q2,Q4,0.028458
1750,Q2,Q4,0.028701
1800,Q2,Q4,0.003001
1850,Q2,Q4,0.001183
1900,Q2,Q4,0.021958
1950,Q2,Q4,0.010260
200,Q3,Q1,0.000000
250,Q3,Q1,0.000000
300,Q3,Q1,0.003072
350,Q3,Q1,0.000586
400,Q3,Q1,0.000898
450,Q3,Q1,0.022641
500,Q3,Q1,0.034936
550,Q3,Q1,0.011785
600,Q3,Q1,0.000558
650,Q3,Q1,0.000000
700,Q3,Q1,0.000000
750,Q3,Q1,0.000000
800,Q3,Q1,0.000000
850,Q3,Q1,0.000000
900,Q3,Q1,0.000000
950,Q3,Q1,0.013082
1000,Q3,Q1,0.057299
1050,Q3,Q1,0.056384
1100,Q3,Q1,0.024031
1150,Q3,Q1,0.000000
1200,Q3,Q1,0.007708
1250,Q3,Q1,0.015037
1300,Q3,Q1,0.095710
1350,Q3,Q1,0.081669
1400,Q3,Q1,0.074334
1450,Q3,Q1,0.043427
1500,Q3,Q1,0.011770
1550,Q3,Q1,0.003147
1600,Q3,Q1,0.020102
1650,Q3,Q1,0.005492
1700,Q3,Q1,0.012531
1750,Q3,Q1,0.010975
1800,Q3,Q1,0.025062
1850,Q3,Q1,0.024018
1900,Q3,Q1,0.014390
1950,Q3,Q1,0.037999
200,Q3,Q2,0.027981
250,Q3,Q2,0.025374
300,Q3,Q2,0.021261
350,Q3,Q2,0.010812
400,Q3,Q2,0.024381
450,Q3,Q2,0.022737
500,Q3,Q2,0.019460
550,Q3,Q2,0.013317
600,Q3,Q2,0.000000
650,Q3,Q2,0.000000
700,Q3,Q2,0.000000
750,Q3,Q2,0.000000
800,Q3,Q2,0.024662
850,Q3,Q2,0.022953
900,Q3,Q2,0.022953
950,Q3,Q2,0.022432
1000,Q3,Q2,0.017093
1050,Q3,Q2,0.024664
1100,Q3,Q2,0.035104
1150,Q3,Q2,0.040501
1200,Q3,Q2,0.023786
1250,Q3,Q2,0.007228
1300,Q3,Q2,0.021781
1350,Q3,Q2,0.017650
1400,Q3,Q2,0.018544
1450,Q3,Q2,0.017200
1500,Q3,Q2,0.010751
1550,Q3,Q2,0.030659
1600,Q3,Q2,0.002928
1650,Q3,Q2,0.007473
1700,Q3,Q2,0.005086
1750,Q3,Q2,0.034278
1800,Q3,Q2,0.037225
1850,Q3,Q2,0.029291
