m,lambda_photons,seed,h_cont,h_cog,sync
3,DETERMINISTIC,42,3.7062842209776687,0.19345230028391985,-0.0048370328246562936
3,DETERMINISTIC,123,3.7229370343347545,0.25022470439147365,0.0019860622428068413
3,DETERMINISTIC,777,3.6675108964264456,0.18377197419407026,0.017214348460221494
3,DETERMINISTIC,17,3.644525829119171,0.18705518075809593,0.008950709987008712
3,DETERMINISTIC,256,3.6369674199940074,0.14664698698577985,0.015047781123047799
3,DETERMINISTIC,1337,3.5964132327806966,0.09085140781408846,0.0022511723212806523
3,DETERMINISTIC,99,3.6447416800945183,0.1567382820742738,0.0036335910508306177
3,DETERMINISTIC,314,3.698135033126235,0.2056805863758273,0.009860780967519573
3,DETERMINISTIC,2024,3.6788371792327865,0.1779986402399375,0.012399447850777361
3,DETERMINISTIC,888,3.6957331831027918,0.210947373628636,0.007187598343647311
3,3,42,3.872892405968749,0.23665029400370044,-0.004065834013423928
3,3,123,3.8673932362684296,0.2840579835727814,0.007184739117699987
3,3,777,3.853290613135232,0.2353198532940761,0.009016044752501765
3,3,17,3.835502820949362,0.21965148564692352,0.007073164903394854
3,3,256,3.77600764705245,0.17586165937528817,0.010142250514690896
3,3,1337,3.7186702061329044,0.14322834274133917,0.0093049037130029
3,3,99,3.7593469800474226,0.18269626259242658,0.0052536921279680605
3,3,314,3.849155437619747,0.21042661809311905,0.010791317998193788
3,3,2024,3.798543898383887,0.2007154408496791,0.012366939976240172
3,3,888,3.8485514797732336,0.23579859078692578,4.419431852170547e-05
3,10,42,3.7566485699876755,0.20230018470229993,-0.005504240124786571
3,10,123,3.7631872431455577,0.2852900239713949,-0.00039082952273526207
3,10,777,3.7115122637310467,0.20518737636597947,0.014857004094538813
3,10,17,3.774274818844482,0.20811627709223085,0.0037380533250743896
3,10,256,3.655543398610705,0.13605185620725996,0.005145070950498934
3,10,1337,3.6438016416242354,0.10109456971411424,0.025211869479130913
3,10,99,3.700011291754482,0.15053566669547025,0.005881849525907279
3,10,314,3.7262965062691427,0.18384058396849193,0.0062569590113453625
3,10,2024,3.7239458776679353,0.18626232165476797,0.004914122207529284
3,10,888,3.770624113721351,0.251347919179923,0.005451063951863962
3,30,42,3.7289405362500383,0.18416699928412752,-0.001897131073656795
3,30,123,3.763483690441846,0.24676745339124315,0.004122976895698412
3,30,777,3.7096206813361037,0.2027608867273714,0.007991778605342436
3,30,17,3.6801292647386012,0.19764858404564076,0.0022403799394779796
3,30,256,3.6404145065788103,0.14315955897600663,0.014353745685759646
3,30,1337,3.5870953534224594,0.09278097758922911,0.004144366613646491
3,30,99,3.648956888241337,0.16425486223721397,0.004931860648398804
3,30,314,3.691630358113292,0.1743574446929542,0.004738662113199158
3,30,2024,3.664971685173664,0.18011839080667155,0.006210159970921215
3,30,888,3.7563450703665535,0.22375699036888363,0.004057434039758995
3,100,42,3.7116340857490937,0.18776297802501907,-0.005067011825693152
3,100,123,3.70046196795429,0.24788837379440148,0.013353235548569008
3,100,777,3.708120450013045,0.20281647434479252,0.014790581833282551
3,100,17,3.6702202975563836,0.18615995610545208,0.012611657794713729
3,100,256,3.6534359951988686,0.14906407949120654,0.015602245717768276
3,100,1337,3.5421736951221603,0.07633232112488199,0.0035114981045171454
3,100,99,3.647487458025721,0.1549193226609311,0.007464447111646071
3,100,314,3.659330408214314,0.16016750301261168,0.018028099394144938
3,100,2024,3.657079975649483,0.17395534172804983,0.007197242780869118
3,100,888,3.72594724340624,0.21721530546078582,0.005408619298844306
3,300,42,3.706780534112055,0.19058144222426107,0.0017505080339091407
3,300,123,3.7521236071556845,0.2684762393964498,0.01161779925014552
3,300,777,3.6569271776302426,0.2012681399837408,0.008029694278635474
3,300,17,3.6735194665535453,0.1661408828243849,0.010374829058961098
3,300,256,3.6115602187031692,0.14046512024837682,0.010145706371675743
3,300,1337,3.6072112272653998,0.10885500368573962,0.013091249299909851
3,300,99,3.6172871965392135,0.14632300299142784,0.0015715390222701157
3,300,314,3.6799801299356916,0.19897063895950287,0.005686213731126837
3,300,2024,3.64358926377176,0.16175026713141244,0.012886582606953582
3,300,888,3.7162964737272053,0.2015280735501566,0.01883929867832962
3,1000,42,3.6978142417759288,0.18405776290507037,-0.005985624395190776
3,1000,123,3.7171608936445772,0.23509556272966733,0.009490352016286795
3,1000,777,3.7024193179812177,0.20400924376057916,0.0075539918143169345
3,1000,17,3.7094808965969257,0.18366198667670974,0.011766179723892389
3,1000,256,3.61932525669302,0.14604825405014168,0.012846369666468035
3,1000,1337,3.598472248035734,0.1138313739108469,0.013202474487711072
3,1000,99,3.6253450958142897,0.1489480114091119,0.003978535012561035
3,1000,314,3.711242442741799,0.20583143214952007,0.007544454714333505
3,1000,2024,3.6669015432544922,0.1721696666445726,0.016953442616179138
3,1000,888,3.683452192481997,0.19864672353878834,0.005587455613407319
5,DETERMINISTIC,42,3.1627924922518598,0.0,-0.006255823827675473
5,DETERMINISTIC,123,3.247145770125801,0.0,-0.0027166247859445594
5,DETERMINISTIC,777,3.2242036794527427,0.0,0.007310485022135255
5,DETERMINISTIC,17,3.1234030003004123,0.0,0.006398185901174415
5,DETERMINISTIC,256,3.147448073727002,0.0,-0.0013937599537382577
5,DETERMINISTIC,1337,3.096030836810262,0.0,-0.0005885471058277521
5,DETERMINISTIC,99,3.114787173922083,0.0,0.0019798620912900074
5,DETERMINISTIC,314,3.2859083224721446,0.0,0.015504457230158508
5,DETERMINISTIC,2024,3.246034645088362,0.0,0.00665274001806482
5,DETERMINISTIC,888,3.196842120051262,0.0,-0.0023441857929516106
5,3,42,3.332969832536294,0.0002693104529863706,-0.00023414117654252015
5,3,123,3.445741432202564,0.0010772418119454825,-0.0027877083029105455
5,3,777,3.4154803294327856,0.0002693104529863706,0.0006998411630848376
5,3,17,3.3354274361842884,0.0,0.008615224141503076
5,3,256,3.3506908218127673,0.0,0.0036318149340463964
5,3,1337,3.2569026284980063,0.0,-0.00113967945694163
5,3,99,3.3162282311940583,0.0,-0.006242974415583188
5,3,314,3.4647654288243657,0.0,-0.0002208641575121524
5,3,2024,3.44621463275798,0.0,-0.005267656867282177
5,3,888,3.417324862397392,0.0005386209059727412,0.00408130221453083
5,10,42,3.2844849303000987,0.0,-0.00012781762227557757
5,10,123,3.286664589311232,0.0,0.0018513327592740443
5,10,777,3.2711549926806067,0.0,0.0039048706127137256
5,10,17,3.2000919534729633,0.0,0.005018835584166151
5,10,256,3.2286664179096936,0.0,-0.0006106721942291504
5,10,1337,3.123880248948322,0.0,-0.005111883153497246
5,10,99,3.190222641473943,0.0,-0.002835205955101998
