alpha,v_star,w_star,re_lambda_max,im_lambda,is_spiral
0.0,-1.3831432481769645,-0.8539290602212057,-0.10592557349325724,0.27971815509055087,True
0.003015075376884422,-1.3812403455261697,-0.8515504319077122,-0.10468430576722643,0.2799013884642926,True
0.006030150753768844,-1.3793349777582344,-0.849168722197793,-0.10344543607515816,0.2800786631873992,True
0.009045226130653266,-1.3774271469906463,-0.8467839337383078,-0.10220898880585012,0.28025001904448543,True
0.012060301507537688,-1.375516855466723,-0.8443960693334037,-0.1009749885200589,0.28041549569155677,True
0.01507537688442211,-1.3736041055552703,-0.842005131944088,-0.0997434599491909,0.2805751326665651,True
0.018090452261306532,-1.3716888997527166,-0.8396111246908957,-0.09851442799601234,0.2807289693995048,True
0.021105527638190954,-1.3697712406848161,-0.8372140508560202,-0.09728791773497375,0.28087704522240614,True
0.024120603015075376,-1.3678511311083694,-0.8348139138854618,-0.0960639544125145,0.28101939937917486,True
0.027135678391959798,-1.3659285739129523,-0.8324107173911904,-0.09484256344734429,0.28115607103528195,True
0.03015075376884422,-1.3640035721226555,-0.8300044651533195,-0.09362377043070133,0.2812870992873102,True
0.033165829145728645,-1.3620761288978398,-0.8275951611222998,-0.09240760112658969,0.2814125231723574,True
0.036180904522613064,-1.3601462475368968,-0.8251828094211211,-0.09119408147198912,0.2815323816773033,True
0.03919597989949748,-1.3582139314780248,-0.8227674143475311,-0.08998323757704288,0.28164671374794165,True
0.04221105527638191,-1.3562791843010136,-0.820348980376267,-0.08877509572522008,0.28175555829797966,True
0.04522613065326633,-1.3543420097290395,-0.8179275121612994,-0.08756968237345107,0.28185895421791135,True
0.04824120603015075,-1.3524024116304707,-0.8155030145380884,-0.08636702415223685,0.2819569403837637,True
0.05125628140703517,-1.350460394020684,-0.8130754925258551,-0.0851671478657326,0.28204955566572026,True
0.054271356783919596,-1.348515961063889,-0.8106449513298614,-0.083970080491801,0.2821368389366248,True
0.05728643216080402,-1.3465691170749634,-0.8082113963437043,-0.08277584918203976,0.2822188290803669,True
0.06030150753768844,-1.3446198665212963,-0.8057748331516204,-0.08158448126177754,0.2822955650001505,True
0.06331658291457286,-1.3426682140246418,-0.8033352675308022,-0.08039600423004226,0.28236708562665097,True
0.06633165829145729,-1.34071416436298,-0.8008927054537252,-0.07921044575949798,0.28243342992605774,True
0.06934673366834171,-1.3387577224723866,-0.7984471530904832,-0.07802783369634989,0.28249463690800847,True
0.07236180904522613,-1.33679889344891,-0.7959986168111374,-0.07684819606021859,0.2825507456334139,True
0.07537688442211055,-1.3348376825504578,-0.7935471031880722,-0.07567156104398218,0.2826017952221758,True
0.07839195979899496,-1.332874095198688,-0.7910926189983599,-0.07449795701358294,0.2826478248607991,True
0.0814070351758794,-1.3309081369809093,-0.7886351712261366,-0.07332741250780267,0.28268887380989954,True
0.08442211055276382,-1.3289398136519857,-0.7861747670649821,-0.07215995623800098,0.2827249814116077,True
