label,n_a,n_b,mean_a,std_a,mean_b,std_b,cohens_d,u3_analytical_pct,u3_empirical_pct,ovl,p_value,max_a,min_b,disjoint
SPICE H_cont,50,50,1.3767396486198993,0.04285908230475101,4.298367109134984,0.19412325448031972,20.783912624226726,100.0,100.0,0.0,4.452873050407274e-102,1.4971035205473953,3.865076268464305,1
Python sync @ I=0.50,7,7,0.028363830204664122,0.036618853605746314,0.7488863033730141,0.06789610783460856,13.209125080112395,100.0,100.0,0.0,1.1652346608881067e-11,0.09938330612446125,0.6579374489433639,1
ablation (parametrique n=5),5,5,0.06726786655626937,0.02475091442899676,0.7301850191502341,0.0781279367029548,11.439316737760953,100.0,nan,nan,nan,nan,nan,-1
