N,m,c,seed,lambda2,H_stable
100,2,6.214285714285714,4,3.0172244261371306,3.112281518316581
100,2,7.142857142857143,4,3.6723605076620034,3.0538952069440426
100,2,7.142857142857143,2,2.6010965074139065,2.871662571852752
100,2,7.142857142857143,1,2.763669223108235,3.032236347221384
100,2,7.142857142857143,5,3.3579622603115387,3.038156703605695
100,2,7.142857142857143,0,3.7663628967037197,3.0469379573903574
100,2,7.142857142857143,3,3.102921027042769,3.0130327252476112
100,2,8.071428571428571,0,3.900351417423835,2.982563413009866
100,2,8.071428571428571,3,3.5677012424768813,3.0734276474579914
100,2,8.071428571428571,1,3.649294385202934,2.8950729601788523
100,2,8.071428571428571,2,2.6671301931691738,2.9843295186121015
100,2,8.071428571428571,5,3.4505194764447715,2.8061419901779128
100,2,9.0,0,4.189974677090888,2.8850969092380243
100,2,9.0,2,3.552092183084129,2.956591696669049
100,2,9.0,1,4.359306371040779,2.9530438197081006
100,2,9.0,3,3.9629865539822946,2.9033440330202804
100,2,8.071428571428571,4,3.808125586062986,2.810013362328117
100,2,9.0,4,4.621903533262194,2.8521009563979685
100,2,9.0,5,4.175322441866739,2.7771693067102077
100,5,0.0,0,3.0353837918975795,3.196422125398605
100,5,0.0,1,2.9219283752176537,3.1365806463142114
100,5,0.0,2,3.016142810479173,3.399713376675537
100,5,0.0,3,3.028292229621784,3.685551456154961
100,5,0.0,4,3.0319935765772277,3.3024256832824648
100,5,0.0,5,3.1179781964689814,3.48896576439374
100,5,0.25,3,3.0807574726020754,3.4436551933714705
100,5,0.25,0,3.1171370338283397,3.215076264736629
100,5,0.25,2,3.151317510700926,3.414786358125328
100,5,0.25,1,3.3362753164593664,3.148727495347261
100,5,0.25,4,3.1908495542618174,3.1257471339329768
100,5,0.5,0,3.2027510821201477,3.112682829529017
100,5,0.5,3,3.1536272595191637,3.6437443285306275
100,5,0.5,4,3.242953062076962,3.184624011603218
100,5,0.5,1,3.4068686093772733,3.1238390022950964
100,5,0.25,5,3.1974995234466395,3.451375550866443
100,5,0.5,5,3.3618073781544524,3.2573000707875157
100,5,0.5,2,3.361005462562616,3.22596560182658
100,5,0.75,3,3.219577915820931,3.5710534189872534
100,5,0.75,0,3.2243807961303688,3.114464318946952
100,5,0.75,2,3.524359435899869,3.276585952949913
100,5,0.75,1,3.4808847402658536,3.1001204083451905
100,5,0.75,5,3.397169648790893,3.29696497187162
100,5,1.0,0,3.2439625098671834,3.070452059457953
100,5,1.0,3,3.2494414259404065,3.2892082443965207
100,5,0.75,4,3.3333424747642924,3.01128065885499
100,5,1.0,1,3.6610295752762485,2.997305262930886
100,5,1.0,4,3.3647892932774752,2.96679013820067
100,5,1.0,2,3.7621669018691866,3.2664547410248668
100,5,1.0,5,3.408292461256972,3.1804799196755638
100,5,1.25,0,3.676188749902366,3.0636835183834012
100,5,1.25,1,3.7309777484571187,2.9587609749913586
100,5,1.25,3,3.4195056244839237,3.4346957045923134
100,5,1.25,2,3.804018409248882,3.1763029658968405
100,5,1.25,4,3.435263753136215,2.976759347598934
100,5,1.25,5,3.6031008983311836,3.124024937187316
100,5,1.5,1,3.753183452188452,2.872034077884869
100,5,1.5,2,3.911954287289941,3.2903189076271047
