m,alpha,sync_mean,sync_std,lz_mean,lz_std,h_cont_mean,h_cont_std,h_cog_mean,n_seeds
2,0.0,0.014202042897411685,0.023218226898391866,1.255886767162151,0.03257944457683696,4.006520556464501,0.10413870714504676,0.26750979250712936,10
2,0.1,0.043758441044906594,0.06353724061979142,1.3074523404876885,0.06038955883977534,4.007361603101747,0.09358212117642213,0.3559750348562801,10
2,0.2,0.0529644834555887,0.030066738100774124,1.3642226632703827,0.06461296989898374,4.000272348240903,0.15467718504171613,0.4700837936829978,10
2,0.3,0.041959651083327464,0.03730152526704043,1.3974270371220605,0.03477057615479045,3.542406609797754,0.38711487650112597,0.6233202165778937,10
2,0.4,0.006054420733976247,0.009225032909287325,1.400366756722862,0.08680117402398953,3.2471706227698647,0.3247927499662935,0.6885485914720939,10
2,0.5,0.001762867024407673,0.007246776802570171,1.3870657303323497,0.17514132007569091,3.1727497829693325,0.269510440883538,0.7045829581044105,10
2,0.6,-0.0005527431817615788,0.008672480251451111,1.2873080324035064,0.11872563930211269,3.159459234513634,0.23641101711713394,0.7180471010780444,10
2,0.7,-0.0012366353853766675,0.007600368174506461,1.3560300020878207,0.04337387597475813,3.1403954235723437,0.2387474689162687,0.7130231057725291,10
2,0.8,-0.0013317171189091315,0.006151859463926985,1.3006090587940187,0.12491911843519206,3.156060098116483,0.2570912736759692,0.7117914321272385,10
2,0.9,0.0002522822599747251,0.006729019115284058,1.3217172093702667,0.12716772158266992,3.1465813619338534,0.25367920632418445,0.7144594814933904,10
2,1.0,0.0006254651726078072,0.005063399838282902,1.3469216905377956,0.20101482828617248,3.141025112090259,0.2083133680875583,0.7099649711959931,10
3,0.0,-0.001646072332590633,0.006218343068732236,1.2167547619842665,0.014392915063243073,3.2954780799175625,0.07405168111858614,0.010061162088797867,10
3,0.1,-0.001974928440505044,0.007796760687756421,1.2115982046517129,0.02623391764198633,3.303132305250398,0.10816139043408124,0.02018619985736024,10
3,0.2,0.02387969790522589,0.048083548839961326,1.2344412717136797,0.03186534560335447,3.3663949721733943,0.2380950166197549,0.05671764420523288,10
3,0.3,0.08087985979769374,0.14928877365161303,1.2690432171788533,0.0961937140347402,3.5060656627169045,0.18347290787626172,0.1461260089068283,10
3,0.4,0.10915611022053899,0.08254640076166092,1.3261990769583742,0.07565195053896744,3.6817937481562977,0.3057840240310281,0.346153387641346,10
3,0.5,0.11364604165504288,0.09898640074493124,1.4144870492316304,0.04613597483017205,3.5322706603062413,0.40823663765279766,0.5280185829488128,10
3,0.6,0.06035989447467428,0.07338555502016608,1.3865356169617133,0.06556802000810344,3.314838634822275,0.43988361644478363,0.6239521701903387,10
3,0.7,0.031916350267773945,0.06203310670558458,1.4493781474444238,0.1500522377047733,3.159028237335635,0.42075612753177116,0.6599268017704294,10
3,0.8,0.013312663162615512,0.030179286408916994,1.4743416679889365,0.21629225230708077,3.100799235122351,0.3721867190565932,0.6734757538004743,10
3,0.9,0.008299656237858511,0.013464363205454162,1.3938126277768124,0.17874169912253715,3.128916907212985,0.3859910199896893,0.6851845673515109,10
3,1.0,0.009660223379582365,0.017404020208406958,1.4142942807332173,0.15887329687121116,3.139704122215533,0.33987461299921384,0.6798696205715405,10
4,0.0,-0.0014427476418857274,0.007898460799684407,1.2320316654835144,0.028949190159645886,3.039642995489308,0.05348681710523952,0.0,10
4,0.1,-0.004910033688515412,0.006586649982688722,1.2352605378319361,0.038260298023151805,2.9966881958444955,0.0684521462644178,0.0,10
4,0.2,-0.0021177578048587344,0.008230393395971841,1.2298630198763658,0.042869326043484146,3.023083418637758,0.10614613215410053,0.004548754648719112,10
4,0.3,0.007175780070607619,0.01765611154248141,1.2223932405628533,0.08549403791570234,3.023345101334446,0.14097034541694559,0.016205106337734733,10
4,0.4,0.06309109142068288,0.13169406781304832,1.2515976680724568,0.061402686449419666,3.160758277728305,0.24190795566418327,0.05688608892407412,10
4,0.5,0.2226852639727117,0.1992598696494295,1.338343492358407,0.12079843182560768,3.4595328637423095,0.27494887784851124,0.21399679538465793,10
