topology,ba_m,seed,target,target_deg,i_event,t_event,sync_pre,sync_event,sync_post,sync_surge,h_pre,h_post,delta_H,lz_pre,lz_post,delta_LZ
BA_m3_fonctionnel,3,0,peripheral,3,0.3,50,0.994317626919908,0.9966605495573769,0.9892561138791,0.002342922637468936,3.814364639331469,2.670682875355909,-1.14368176397556,0.9859482585625701,1.042421036175655,0.05647277761308489
BA_m3_fonctionnel,3,0,peripheral,3,0.3,150,0.9921171044505847,0.9856264436559443,0.9910610861095173,-0.006490660794640335,2.9460210750448357,3.297895417698484,0.35187434265364814,0.9859482585625706,1.0543799773172495,0.0684317187546789
BA_m3_fonctionnel,3,0,peripheral,3,0.3,300,0.9955292233446408,0.9688689452429349,0.9930263125363714,-0.026660278101705903,2.4979242763881055,3.287838429610203,0.7899141532220972,0.9454207358049445,1.0351127943669032,0.08969205856195872
BA_m3_fonctionnel,3,0,peripheral,3,0.8,50,0.9978004379154731,0.9951141363903302,0.9969787212916655,-0.002686301525142931,2.33464176143506,3.5307427092640427,1.1961009478289828,0.9381124939961922,1.002557899037007,0.06444540504081475
BA_m3_fonctionnel,3,0,peripheral,3,0.8,150,0.9967822592876721,0.9922207433410153,0.9934765923345388,-0.004561515946656769,2.4354275943554855,3.716603711290472,1.2811761169349865,0.954057748851652,1.007208598369849,0.05315084951819715
BA_m3_fonctionnel,3,0,peripheral,3,0.8,300,0.9976975326639851,0.97986105922471,0.9936978784439103,-0.01783647343927508,2.6016647252615908,3.744760206385426,1.1430954811238352,0.9540577488516516,1.0165099970355338,0.062452248183882175
BA_m3_fonctionnel,3,0,peripheral,3,1.5,50,0.9973053821537479,0.992217017307523,0.9962429626782066,-0.00508836484622488,2.1966625988219195,3.528196776079969,1.3315341772580496,0.943427578948012,1.0138524545596241,0.07042487561161215
BA_m3_fonctionnel,3,0,peripheral,3,1.5,150,0.9976755218295387,0.9905697302090976,0.9971081714962,-0.007105791620441115,2.3443323220856165,3.3688933229841065,1.02456100089849,0.9374481083772149,0.9899345722764348,0.05248646389921985
BA_m3_fonctionnel,3,0,peripheral,3,1.5,300,0.9977395402061496,0.9839082686675361,0.995942190439716,-0.013831271538613521,2.239327852980638,3.1483603188536593,0.9090324658730213,0.9308042521874401,0.9706673893260888,0.03986313713864864
BA_m3_fonctionnel,3,0,peripheral,3,3.0,50,0.997696606979999,0.9885389021864912,0.9977257433408538,-0.009157704793507748,2.130125795162292,3.195064745871729,1.0649389507094371,0.93346179466335,0.966016689993246,0.03255489532989597
BA_m3_fonctionnel,3,0,peripheral,3,3.0,150,0.9968928895032699,0.9933690372951935,0.997124330335467,-0.0035238522080763834,2.21494692749569,3.2579293716820126,1.0429824441863227,0.9460851214239221,0.9806331736107505,0.03454805218682844
BA_m3_fonctionnel,3,0,peripheral,3,3.0,300,0.9973660414207475,0.9751450155339368,0.9964133107461602,-0.02222102588681063,2.1370117773083512,3.5885553330670685,1.4515435557587173,0.93346179466335,1.0012291277990522,0.06776733313570216
BA_m3_fonctionnel,3,0,hub,25,0.3,50,0.9972070351276584,0.9988112447799862,0.998604873173501,0.0016042096523277705,2.0576644610201047,2.215290576689327,0.15762611566922224,0.9334617946633499,0.9454207358049448,0.011958941141594903
BA_m3_fonctionnel,3,0,hub,25,0.3,150,0.9976211922073536,0.9956785100609684,0.9978628658445243,-0.0019426821463851551,2.2372124615779287,2.6897541771588647,0.4525417155809359,0.9354549515202826,0.9487426638998319,0.013287712379549288
BA_m3_fonctionnel,3,0,hub,25,0.3,300,0.997429620633923,0.9858061807079881,0.9979091818891773,-0.011623439925934953,1.9853014569793148,2.5182448830651962,0.5329434260858814,0.9327974090443726,0.9401056508531248,0.007308241808752225
BA_m3_fonctionnel,3,0,hub,25,0.8,50,0.9967208375546965,0.9974099323814614,0.9986219631471132,0.0006890948267648245,1.9132448986100603,2.2821372146908527,0.3688923160807924,0.9341261802823275,0.9347905659013049,0.0006643856189774144
BA_m3_fonctionnel,3,0,hub,25,0.8,150,0.9972050170971964,0.9928187491040673,0.9939752887851833,-0.004386267993129134,2.298074262291024,3.0000183535598985,0.7019440912688744,0.93877687961517,0.983955101705638,0.04517822209046807
BA_m3_fonctionnel,3,0,hub,25,0.8,300,0.9950016633858809,0.9709988908821281,0.9981491981689947,-0.024002772503752823,2.3006160822141664,2.9171585205133908,0.6165424382992244,0.9487426638998316,0.9540577488516518,0.005315084951820204
BA_m3_fonctionnel,3,0,hub,25,1.5,50,0.9957196163011673,0.9887370929595299,0.9982483413321641,-0.006982523341637403,2.203104801068505,2.2255262543276175,0.02242145325911249,0.9420988077100572,0.9407700364721023,-0.0013287712379548289
BA_m3_fonctionnel,3,0,hub,25,1.5,150,0.9970540184812104,0.8093413904069219,0.9964343305052816,-0.18771262807428857,1.9729053724957586,2.678419483601759,0.7055141111060004,0.9301398665684627,0.9620303762793811,0.03189050971091845
BA_m3_fonctionnel,3,0,hub,25,1.5,300,0.9965435623231068,0.8583857997926612,0.9979243121612411,-0.13815776253044565,2.078354423987144,2.822851783037417,0.744497359050273,0.93346179466335,0.9533933632326742,0.01993156856932421
BA_m3_fonctionnel,3,0,hub,25,3.0,50,0.9966752593021679,0.8275439646714389,0.9983139075739429,-0.16913129463072907,2.0360789206813394,2.6261364304129504,0.590057509731611,0.9347905659013049,0.9480782782808543,0.013287712379549399
BA_m3_fonctionnel,3,0,hub,25,3.0,150,0.9965837370668984,0.8880915138069346,0.9979367003780177,-0.10849222325996377,2.17157419124911,3.1693973964633946,0.9978232052142846,0.9321330234253951,0.9527289776136967,0.020595954188301624
BA_m3_fonctionnel,3,0,hub,25,3.0,300,0.9951240848762034,0.9305158815301885,0.9988037026142812,-0.06460820334601491,2.0561601678829633,2.4892971896762095,0.4331370217932462,0.9401056508531248,0.9467495070428994,0.0066438561897745885
BA_m3_fonctionnel,3,1,peripheral,3,0.3,50,0.9950573504331155,0.996800789780864,0.9915091769580374,0.0017434393477484544,3.5340560921800193,2.9601261358842894,-0.5739299562957298,0.9793044023727956,1.058366291031115,0.07906188865831931
BA_m3_fonctionnel,3,1,peripheral,3,0.3,150,0.9972432182161959,0.995059094278642,0.9907426575004098,-0.00218412393755385,2.6092672664159906,4.065783859894617,1.4565165934786268,0.9547221344706288,1.0111949120837143,0.056472777613085445
BA_m3_fonctionnel,3,1,peripheral,3,0.3,300,0.9972783926682377,0.9780860258694613,0.9919283466506699,-0.01919236679877645,2.9172468929141466,3.7312183592606796,0.813971466346533,0.9646879187552908,1.029797709415083,0.06510979065979217
BA_m3_fonctionnel,3,1,peripheral,3,0.8,50,0.996503071721112,0.9952170935959139,0.995343367031722,-0.0012859781251980396,2.258452788114654,3.77154119269392,1.5130884045792659,0.9401056508531247,0.9812975592297282,0.04119190837660347
BA_m3_fonctionnel,3,1,peripheral,3,0.8,150,0.9978745682046869,0.9904757290023775,0.995290911202335,-0.007398839202309437,2.3017260391816823,3.875607827866445,1.573881788684763,0.9394412652341473,1.011859297702692,0.07241803246854461
BA_m3_fonctionnel,3,1,peripheral,3,0.8,300,0.9985621803096344,0.9877148592114402,0.9980454422270398,-0.010847321098194196,2.096147099342683,3.1267682261573766,1.0306211268146934,0.9407700364721022,0.9494070495188093,0.008637013046707054
BA_m3_fonctionnel,3,1,peripheral,3,1.5,50,0.9967148943247858,0.9937105781731551,0.9976609849415292,-0.0030043161516306593,2.333791757976238,3.387280240753584,1.0534884827773459,0.9394412652341474,0.9733249318019985,0.033883666567851134
BA_m3_fonctionnel,3,1,peripheral,3,1.5,150,0.9980682758864515,0.9918692186704092,0.9960302878993171,-0.006199057216042303,2.076547733723909,2.976324927346416,0.8997771936225072,0.9387768796151699,0.9494070495188095,0.01063016990363963
BA_m3_fonctionnel,3,1,peripheral,3,1.5,300,0.9954782383219859,0.9899336144221926,0.9981240250827867,-0.005544623899793266,2.477004583289472,3.0419930314337607,0.5649884481442888,0.9414344220910794,0.969338618088133,0.027904195997053627
BA_m3_fonctionnel,3,1,peripheral,3,3.0,50,0.9985408044138312,0.9919651683968941,0.9967361885924606,-0.006575636016937114,2.44323249279931,2.5897443966514833,0.1465119038521734,0.9427631933290346,0.9500714351377866,0.007308241808752003
BA_m3_fonctionnel,3,1,peripheral,3,3.0,150,0.9978856839596575,0.9942189546452007,0.9988676501049546,-0.0036667293144567736,2.0687422011403496,2.399849041345119,0.33110684020476944,0.93346179466335,0.9440919645669894,0.010630169903639408
BA_m3_fonctionnel,3,1,peripheral,3,3.0,300,0.9986574879177894,0.9894566836281098,0.9979922269614677,-0.00920080428967962,2.156276574389225,2.86661877405492,0.7103421996656949,0.9314686378064176,0.9533933632326744,0.021924725426256786
BA_m3_fonctionnel,3,1,hub,37,0.3,50,0.998623410671046,0.9953570930871422,0.9971052321850199,-0.0032663175839038328,2.333119261166751,3.5693841054711424,1.2362648443043915,0.9381124939961922,0.9759824742779085,0.03786998028171629
BA_m3_fonctionnel,3,1,hub,37,0.3,150,0.9966048083487654,0.9234067859288935,0.9973688860606809,-0.07319802241987194,2.400665853786603,3.1409504059362723,0.7402845521496695,0.9480782782808543,0.9640235331363141,0.015945254855459723
BA_m3_fonctionnel,3,1,hub,37,0.3,300,0.9984430859120753,0.8598696958974852,0.9979627521325262,-0.13857339001459013,2.2947239980096303,3.3220366875586413,1.027312689549011,0.9454207358049446,0.9660166899932462,0.020595954188301624
