t_pulse,flip_B1_FULL,flip_B2_FIXE_INIT,flip_B3a_FIXE_NIVEAU_U,flip_B3b_FIXE_COUPLAGE,flip_B3c_FIXE_COUPLAGE_LOCAL,retard_B1_moins_B2,frac_B3a_FIXE_NIVEAU_U,frac_B3b_FIXE_COUPLAGE,frac_B3c_FIXE_COUPLAGE_LOCAL
500,1294.0,1291.1666666666667,1015.75,1067.0,1066.25,2.8333333333332575,-97.2058823529438,-79.11764705882567,-79.38235294117862
1500,5102.583333333333,2611.4166666666665,2086.8333333333335,2204.6666666666665,2199.8333333333335,2491.1666666666665,-0.21057737338596363,-0.16327691175486722,-0.16521710042148915
3000,6838.583333333333,4239.583333333333,3600.0,3788.5833333333335,3788.5833333333335,2599.0,-0.24608823906630745,-0.17352828010773358,-0.17352828010773358
4500,7863.666666666667,5724.75,5072.75,5292.25,5308.083333333333,2138.916666666667,-0.30482721003623325,-0.20220516616667314,-0.19480266490045595
GLOBAL,5274.708333333333,3466.7291666666665,2943.8333333333335,3088.125,3090.6875,1807.9791666666665,-0.2892156297892443,-0.20940737241164736,-0.20799004413306746
