label,seed,frozen_u,h_euler,h_rk4,sy_euler,sy_rk4,mae_v,max_mae_v
ba_m3_FULL,0,False,0.6032906204596049,0.599395065036408,0.5689634934250658,0.5681153181695793,0.005968386970709971,0.5924672835437698
ba_m3_FULL,1,False,0.6198506955144814,0.6129895924852471,0.5625321588000347,0.5618693111897636,0.005764513442968545,1.0869699360016418
ba_m3_FULL,2,False,0.5784200693869177,0.573450638904059,0.5999372256697596,0.600473355982911,0.0056454186298998035,0.6162415367587863
ba_m3_FULL,3,False,0.6914050968358021,0.6867933033113082,0.5017057816400011,0.5021974123501088,0.006167419333015238,0.5242048800226804
ba_m3_FULL,4,False,0.6540695183355549,0.6477784704788844,0.5436186462009372,0.544047217618974,0.005832386810683387,0.4834839771488041
ba_m3_FROZEN_U,0,True,0.40363773516175794,0.4001043316719077,0.675948746878989,0.6761373260914348,0.005088454465252056,0.09569265867193955
ba_m3_FROZEN_U,1,True,0.41668229801485823,0.4118725077092368,0.6844114011410783,0.684381025652646,0.005101325877599065,0.10338993554043308
ba_m3_FROZEN_U,2,True,0.4183136279369773,0.41331763962095114,0.6753173286408454,0.6755056258395064,0.00508806487364418,0.09936348816238727
ba_m3_FROZEN_U,3,True,0.41674897874164324,0.4100943056524775,0.6837985219499035,0.6837533146377618,0.00501324844512217,0.09723283845296771
ba_m3_FROZEN_U,4,True,0.41552429850594785,0.41385200771510655,0.7002256114140453,0.700216112006978,0.005099183919843037,0.09891661771043991
ba_m5_FULL,0,False,0.6127151911079418,0.6148683312490292,0.5605694642874657,0.5600460993945169,0.007210552539169468,1.0828511933174747
ba_m5_FULL,1,False,0.5698644206665364,0.5636728597707343,0.5928539983643611,0.5932248199541644,0.0074121962402579,0.9954031735248247
ba_m5_FULL,2,False,0.6403968368764399,0.6319305708383902,0.5788266191261705,0.5801114615530553,0.007259576648219268,1.9509362928075813
ba_m5_FULL,3,False,0.6073364037665273,0.6018300264635105,0.5827420335796154,0.58409342919912,0.006623687339100604,0.4803562997072486
ba_m5_FULL,4,False,0.6286157067192608,0.6269032651693556,0.581048053309557,0.5806459940713043,0.006181448524499005,0.4478506165584226
ba_m5_FROZEN_U,0,True,0.4038042413721524,0.4001043316719077,0.6763326132336297,0.6765240126804374,0.005088116332132632,0.09574698056634356
ba_m5_FROZEN_U,1,True,0.41668229801485823,0.4118725077092368,0.6849272551426411,0.6848998710520736,0.005101293309118001,0.10347063118157185
ba_m5_FROZEN_U,2,True,0.4183136279369773,0.41331763962095114,0.6756592769595842,0.6758499278360957,0.005087466631538699,0.09930770986004478
ba_m5_FROZEN_U,3,True,0.41674897874164324,0.4100943056524775,0.6823904725895481,0.6823351345957269,0.005013443192782695,0.09725461112848777
ba_m5_FROZEN_U,4,True,0.41552429850594785,0.4125910519761602,0.700309433595841,0.7003010025287298,0.005098956795328982,0.09897349220394602
