D,m,seed,lambda2,h_mean,h_std,synchrony,u_mean
0.0,1,42,0.025832798313918725,3.734145713545547,0.7080542140796936,0.6639320327965124,0.04999999999999999
0.0,1,123,0.03228147865364581,3.747399321045441,0.7420173886230067,0.6923500559365923,0.04999999999999999
0.0,1,777,0.02171117136520008,3.7755114295234526,0.7191905098588921,0.6649814179784678,0.04999999999999999
0.0,1,17,0.017578225300412847,3.7804507767083573,0.7427835049360952,0.6721441665007156,0.04999999999999999
0.0,1,256,0.03110623936813337,3.7359741826533717,0.7416079962334087,0.6766806289201718,0.04999999999999999
0.0,1,1337,0.031748497854844245,3.667671851808901,0.7628854249490057,0.6680129807722288,0.04999999999999999
0.0,1,99,0.021246996627345402,3.743898028716904,0.7484115893929325,0.6653600142077526,0.04999999999999999
0.0,1,314,0.016299580416424958,3.7973808267144213,0.7179395001111614,0.6843512608015934,0.04999999999999999
0.0,1,2024,0.01459524874160806,3.832569084184714,0.7019226912473249,0.6818391948503436,0.04999999999999999
0.0,1,888,0.022243158026999155,3.8990700367390008,0.7110337726898478,0.6559086016633071,0.04999999999999999
0.0,2,42,0.6247183472393513,3.734145713545547,0.7080542140796936,0.6639320327965124,0.04999999999999999
0.0,2,123,0.6473208736194,3.747399321045441,0.7420173886230067,0.6923500559365923,0.04999999999999999
0.0,2,777,0.6606809922329718,3.7755114295234526,0.7191905098588921,0.6649814179784678,0.04999999999999999
0.0,2,17,0.6613934109420985,3.7804507767083573,0.7427835049360952,0.6721441665007156,0.04999999999999999
0.0,2,256,0.5790593569235655,3.7359741826533717,0.7416079962334087,0.6766806289201718,0.04999999999999999
0.0,2,1337,0.6150734894378542,3.667671851808901,0.7628854249490057,0.6680129807722288,0.04999999999999999
0.0,2,99,0.655181844135172,3.743898028716904,0.7484115893929325,0.6653600142077526,0.04999999999999999
0.0,2,314,0.6013124959794293,3.7973808267144213,0.7179395001111614,0.6843512608015934,0.04999999999999999
0.0,2,2024,0.6069406152712088,3.832569084184714,0.7019226912473249,0.6818391948503436,0.04999999999999999
0.0,2,888,0.6107678652603913,3.8990700367390008,0.7110337726898478,0.6559086016633071,0.04999999999999999
0.0,3,42,1.4125586946055446,3.734145713545547,0.7080542140796936,0.6639320327965124,0.04999999999999999
0.0,3,123,1.408024972726653,3.747399321045441,0.7420173886230067,0.6923500559365923,0.04999999999999999
0.0,3,777,1.4210781085133866,3.7755114295234526,0.7191905098588921,0.6649814179784678,0.04999999999999999
0.0,3,17,1.3346860164471637,3.7804507767083573,0.7427835049360952,0.6721441665007156,0.04999999999999999
0.0,3,256,1.3862848540411232,3.7359741826533717,0.7416079962334087,0.6766806289201718,0.04999999999999999
0.0,3,1337,1.3646343580782165,3.667671851808901,0.7628854249490057,0.6680129807722288,0.04999999999999999
0.0,3,99,1.4004077533311368,3.743898028716904,0.7484115893929325,0.6653600142077526,0.04999999999999999
0.0,3,314,1.3783053612269245,3.7973808267144213,0.7179395001111614,0.6843512608015934,0.04999999999999999
0.0,3,2024,1.458380198112709,3.832569084184714,0.7019226912473249,0.6818391948503436,0.04999999999999999
0.0,3,888,1.4129127230390994,3.8990700367390008,0.7110337726898478,0.6559086016633071,0.04999999999999999
0.0,4,42,2.2110890381592316,3.734145713545547,0.7080542140796936,0.6639320327965124,0.04999999999999999
0.0,4,123,2.288322807971658,3.747399321045441,0.7420173886230067,0.6923500559365923,0.04999999999999999
0.0,4,777,2.2787697335174792,3.7755114295234526,0.7191905098588921,0.6649814179784678,0.04999999999999999
0.0,4,17,2.188160672592141,3.7804507767083573,0.7427835049360952,0.6721441665007156,0.04999999999999999
0.0,4,256,2.1747441588975462,3.7359741826533717,0.7416079962334087,0.6766806289201718,0.04999999999999999
0.0,4,1337,2.126775924686309,3.667671851808901,0.7628854249490057,0.6680129807722288,0.04999999999999999
0.0,4,99,2.199390778221422,3.743898028716904,0.7484115893929325,0.6653600142077526,0.04999999999999999
0.0,4,314,2.2714607154080713,3.7973808267144213,0.7179395001111614,0.6843512608015934,0.04999999999999999
0.0,4,2024,2.244894225189144,3.832569084184714,0.7019226912473249,0.6818391948503436,0.04999999999999999
0.0,4,888,2.30005354389032,3.8990700367390008,0.7110337726898478,0.6559086016633071,0.04999999999999999
0.0,5,42,2.9899370080027543,3.734145713545547,0.7080542140796936,0.6639320327965124,0.04999999999999999
0.0,5,123,3.1133575092353136,3.747399321045441,0.7420173886230067,0.6923500559365923,0.04999999999999999
0.0,5,777,3.2030420232686403,3.7755114295234526,0.7191905098588921,0.6649814179784678,0.04999999999999999
0.0,5,17,3.2030820403487628,3.7804507767083573,0.7427835049360952,0.6721441665007156,0.04999999999999999
0.0,5,256,3.0266808325283945,3.7359741826533717,0.7416079962334087,0.6766806289201718,0.04999999999999999
0.0,5,1337,3.0034902240530648,3.667671851808901,0.7628854249490057,0.6680129807722288,0.04999999999999999
0.0,5,99,3.0057037896082797,3.743898028716904,0.7484115893929325,0.6653600142077526,0.04999999999999999
0.0,5,314,3.121996954608005,3.7973808267144213,0.7179395001111614,0.6843512608015934,0.04999999999999999
0.0,5,2024,3.1100982036627487,3.832569084184714,0.7019226912473249,0.6818391948503436,0.04999999999999999
0.0,5,888,2.9975240533819685,3.8990700367390008,0.7110337726898478,0.6559086016633071,0.04999999999999999
0.0,6,42,3.921183427252306,3.734145713545547,0.7080542140796936,0.6639320327965124,0.04999999999999999
0.0,6,123,3.9036207961354075,3.747399321045441,0.7420173886230067,0.6923500559365923,0.04999999999999999
0.0,6,777,4.01513078314626,3.7755114295234526,0.7191905098588921,0.6649814179784678,0.04999999999999999
0.0,6,17,4.185000935383301,3.7804507767083573,0.7427835049360952,0.6721441665007156,0.04999999999999999
0.0,6,256,3.9756116302485682,3.7359741826533717,0.7416079962334087,0.6766806289201718,0.04999999999999999
0.0,6,1337,4.048424966980886,3.667671851808901,0.7628854249490057,0.6680129807722288,0.04999999999999999
0.0,6,99,4.024891570230563,3.743898028716904,0.7484115893929325,0.6653600142077526,0.04999999999999999
