bras,t_pulse,seed,dstar,flip_time
B2_FIXE_INIT,4500,6,-1,5637
B5a_PAR_NOEUD_PAR_COPIE,4500,6,-1,8301
B5b_PAR_NOEUD_COMMUN,4500,6,-1,5507
B1_FULL,4500,7,-1,9001
B2_FIXE_INIT,4500,7,-1,5854
B5a_PAR_NOEUD_PAR_COPIE,4500,7,-1,9001
B5b_PAR_NOEUD_COMMUN,4500,7,-1,5286
B1_FULL,4500,8,-1,8584
B2_FIXE_INIT,4500,8,-1,5396
B5a_PAR_NOEUD_PAR_COPIE,4500,8,-1,8584
B5b_PAR_NOEUD_COMMUN,4500,8,-1,5493
B1_FULL,4500,9,-1,7081
B2_FIXE_INIT,4500,9,-1,5712
B5a_PAR_NOEUD_PAR_COPIE,4500,9,-1,7081
B5b_PAR_NOEUD_COMMUN,4500,9,-1,5488
B1_FULL,4500,10,1,7898
B2_FIXE_INIT,4500,10,1,5880
B5a_PAR_NOEUD_PAR_COPIE,4500,10,1,7898
B5b_PAR_NOEUD_COMMUN,4500,10,1,5518
B1_FULL,4500,11,-1,9001
B2_FIXE_INIT,4500,11,-1,5868
B5a_PAR_NOEUD_PAR_COPIE,4500,11,-1,9001
B5b_PAR_NOEUD_COMMUN,4500,11,-1,5575
