N,lambda2_bin,lambda2_mean,H_stable_mean,H_stable_std,U4_mean,U4_std,LZ_mean,LZ_std,sync_mean,sync_std,H_cont_mean,count
100,1.25,1.3214928875841583,3.6450101264210955,0.07702471587946949,0.665508891083838,0.00038820485195458653,0.8266103123956396,0.011227221217987235,0.007720260918893164,0.018223606196377636,3.632894257391916,19
100,1.5,1.4622658340627457,3.585960545259591,0.07920263426384211,0.6654958384041061,0.0005043139063202975,0.8287133856740044,0.01202467594394163,0.004536749231811929,0.017202469373270145,3.567001509808295,28
100,1.75,1.7668422988511563,3.440519364866636,0.06970132177871541,0.6655317864567739,0.00034522363410957656,0.8244268852748334,0.009916161635930518,-0.005070420683636101,0.0198749259326477,3.454579729687685,30
100,2.0,2.0029027740577585,3.3533389754976097,0.0902480409973347,0.6654541262357986,0.0005012501578230265,0.8241703675043507,0.011116586276205603,0.007850278406673903,0.01568758832996605,3.343432972937663,28
100,2.25,2.2541413066019973,3.303773868191287,0.08717450003076421,0.6655012144498632,0.0004717937746149611,0.8237861677251717,0.011513810040750215,-0.002621301302479051,0.012196665320506152,3.290941626056673,23
100,2.5,2.4923166729232857,3.2229287234224357,0.08644204259797983,0.6654567631008644,0.00044749542427183003,0.814236784144668,0.014632391296067313,-0.010949410672757695,0.011438306524454057,3.241663824493562,23
100,2.75,2.7590797349892284,3.0998877821268147,0.15567984619949518,0.6654199312603538,0.00037514190072298085,0.8066767686351389,0.021581855133892637,-0.00644033387968567,0.011538378500906709,3.0921523511466384,31
100,3.0,3.014880742163819,3.0809609768589357,0.07835018484829653,0.6652190942701013,0.0006945777092567713,0.8128531572882641,0.014069489044641753,-0.005462262460364088,0.01466019051139891,3.1184761746292495,20
100,3.25,3.2670676376260515,2.975573272579938,0.09614550025226144,0.6651720396113078,0.000481473835317295,0.8091261194544255,0.015859749714113785,-0.004010739167784635,0.01231634611971644,2.9462271802026545,23
100,3.5,3.4831460206209495,2.950555564857366,0.06602601548918555,0.6652959601738919,0.00035474341833102285,0.8080489119136729,0.015924225997861453,-0.004383277587986505,0.008177031196041558,2.989538711442934,29
100,3.75,3.7412338911190712,2.863405205049083,0.08102605813942312,0.6653423924079048,0.00040714934530521415,0.7930269872620526,0.02119520207829452,-0.0027988711631325197,0.014512624207705853,2.8793117173195797,15
100,4.0,4.033028803854569,2.9074820040433282,0.07296661284454757,0.665212044453683,0.00036453605106610777,0.8037002494198238,0.01733592502261288,-0.0024465144269849573,0.012224498005073858,2.9140557979643416,14
100,4.25,4.237940047818378,2.8376612866671738,0.09059524730808145,0.6652905020603036,0.0003562243851721738,0.7885474203845917,0.022787205127144976,-0.00579093304486365,0.01163143506429895,2.859464290585945,18
100,4.5,4.477579890128192,2.7626693760230934,0.11226359441667795,0.6649788490844609,0.0005276640538456227,0.7825454942513185,0.02258490068822013,-0.006083122890229669,0.008680548300202396,2.797188840035856,26
100,4.75,4.745068508510731,2.8096389261709134,0.0777964854548813,0.6649264453516555,0.0007296965721052314,0.7825454942513185,0.03197926481993734,-0.0005534045369833218,0.009162331947277749,2.7923769292552656,9
100,5.0,5.029848219367147,2.708214452665009,0.0753133281342331,0.6649871870783192,0.00039625479094489066,0.7756849707069579,0.016249394567899433,0.0005105593044092527,0.009759463910431265,2.700985602963389,18
100,5.25,5.262627819590548,2.6772925920851813,0.10629358346260255,0.6649031291345597,0.0006039100958021527,0.7628520058305293,0.031039818026406412,-0.002466613414875722,0.013120619931709744,2.7090308260863876,21
100,5.5,5.468794715525347,2.6086843640187487,0.061315217096717764,0.6646478650216269,0.0005572390479667344,0.7585154506453123,0.029151027375706552,-0.007185378066613605,0.011308256485146669,2.6500808324363203,17
100,5.75,5.753582039639941,2.607249179357877,0.06805052438315942,0.6647758214281929,0.0003872849880689398,0.7522439104442938,0.019862716705518504,-0.006496799034820102,0.011779661795666535,2.5963037511680076,11
100,6.0,6.002670944154166,2.6234361416036927,0.0589303698978347,0.6648470002388359,0.00035518293344136067,0.7683621254797043,0.02686035823243594,-0.003991511461139682,0.009056221401964017,2.628952869811247,9
100,6.25,6.260913669396315,2.550729241816154,0.057060616042918844,0.6646902566528505,0.0004101892182429328,0.7388560952179178,0.03233538917601029,0.0013751281864345971,0.01229856672779605,2.5445499043516833,26
100,6.5,6.502566863542796,2.54775764356082,0.07366910362424436,0.6647240725556098,0.0003992158187340026,0.7445773260437203,0.030698551214510313,-0.0023195989368919472,0.008646548753722965,2.5280484483779944,16
100,6.75,6.7789243087805,2.5642585014402086,0.06602831171267735,0.6646934115203406,0.00039175312825047193,0.7407203923937402,0.027429012464744086,-0.001243786796786183,0.013756903416545584,2.6180578436865334,11
100,7.0,7.031083618774296,2.5396067527189716,0.04021892127173379,0.6648902227318539,0.0003715773124796233,0.7290854217946319,0.019751038172229996,-0.004629372686884908,0.012787959498309928,2.557197832848832,20
100,7.25,7.24688928311564,2.511169407152052,0.0769950127654725,0.6650085729729971,0.00033585014103868274,0.7233734786812089,0.027005901159121548,-0.005424397343376186,0.008399645081638665,2.5111726658265203,16
100,7.5,7.526711038963874,2.4998295288631893,0.07963739638841136,0.664922545856603,0.00025797866925781916,0.7227078592940078,0.045522406047420846,-0.0025470035795137954,0.004766216953932478,2.517307722620115,6
