N,m,seed,D,H_cont,LZ_pivot,LZ_others,tracking_corr,tracking_err,dom_freq,freq_match_drive,u_mean
100,3,42,0.0,3.270183471503772,1.9992896604068922,1.2734329047177657,-0.25617500099373997,0.1262844605662659,0.013333333333333334,False,0.04999999999999999
100,3,123,0.0,3.307594749629758,1.9738210023125369,1.1333552851988116,0.10801616647977373,0.14333028365010772,0.007333333333333333,False,0.04999999999999999
100,3,777,0.0,3.296015605161368,1.9356180151710038,1.2224955885290552,-0.34146888974916034,0.14357840647261058,0.002,False,0.04999999999999999
100,6,42,0.0,3.270183471503772,1.9992896604068922,1.2734329047177657,-0.25617500099373997,0.1262844605662659,0.013333333333333334,False,0.04999999999999999
100,6,123,0.0,3.307594749629758,1.9738210023125369,1.1333552851988116,0.10801616647977373,0.14333028365010772,0.007333333333333333,False,0.04999999999999999
100,6,777,0.0,3.296015605161368,1.9356180151710038,1.2224955885290552,-0.34146888974916034,0.14357840647261058,0.002,False,0.04999999999999999
100,3,42,0.15,1.8139410339936621,2.088429963737136,1.337104549953654,-0.11055434642165696,0.10065083711127928,0.008666666666666666,False,0.10907198194230769
100,3,123,0.15,1.7757791061542543,2.088429963737136,1.3625732080480093,0.043788086303497994,0.10388194021508948,0.011333333333333334,False,0.11198122715559183
100,3,777,0.15,1.8164096409339587,2.0247583185012474,1.1715582723403446,0.40509287773747077,0.10230124857429133,0.006,False,0.11355830487546284
100,6,42,0.15,1.3959039405509897,1.9738210023125369,1.4262448532838976,-0.09683398139338822,0.11767672542351376,0.014666666666666666,False,0.15524497955373484
100,6,123,0.15,1.8796109500921856,1.0696836399629233,0.8022627299721924,0.15763832450157095,1.6268904949097707,0.0006666666666666666,False,0.24268112478756515
100,6,777,0.15,1.4744062707331322,1.2479642466234104,1.1842926013875221,0.7257249698946561,0.2204842641780219,0.0033333333333333335,False,0.1569939272008215
100,3,42,0.5,1.2184844041834937,2.1138986218314915,1.5153851566141412,0.0407178489659306,0.09255473660220344,0.006,False,0.08148586652441281
100,3,123,0.5,1.1867779509569698,2.088429963737136,1.4007761951895423,0.1051158687900972,0.0945159438654278,0.012666666666666666,False,0.08299845080515332
100,3,777,0.5,1.2423114943252025,2.050226976595603,1.2734329047177657,0.34861390081526755,0.09252779974773606,0.0033333333333333335,False,0.08426672070775101
100,6,42,0.5,0.819971944862192,2.1138986218314915,1.489916498519786,0.07403075239522763,0.0941441223316019,0.012,False,0.10391507366432264
100,6,123,0.5,0.8317756028114579,2.050226976595603,1.4007761951895423,0.1449590969173754,0.09724712614991408,0.012666666666666666,False,0.10334875604324421
100,6,777,0.5,0.9529595869439619,2.037492647548425,1.2224955885290552,0.32083606814133664,0.09413210711826764,0.0033333333333333335,False,0.10314934404307696
