topology,regime,I_stim,ablation,seed,synchrony,lz_full
Lattice_10x10,FORCED,0.5,NO_SIGMOID,5,0.016996048552660688,1.188515712863955
Lattice_10x10,FORCED,0.5,NO_SIGMOID,6,-0.010911083087940327,1.1649264326178672
Lattice_10x10,FORCED,0.5,NO_SIGMOID,7,-0.008010421112396655,1.1221365754272885
Lattice_10x10,FORCED,0.5,NO_SIGMOID,8,0.01165784047044654,1.1597148474472199
Lattice_10x10,FORCED,0.5,NO_SIGMOID,9,-0.0023063056000697324,1.1566976139273708
Lattice_10x10,FORCED,0.5,FROZEN_U,0,0.4836371101439095,1.6449408562301284
Lattice_10x10,FORCED,0.5,FROZEN_U,1,0.4274233323483955,1.6350662738015331
Lattice_10x10,FORCED,0.5,FROZEN_U,2,0.5103789990274499,1.6457637380991772
Lattice_10x10,FORCED,0.5,FROZEN_U,3,0.5411076290907556,1.6336948040197836
Lattice_10x10,FORCED,0.5,FROZEN_U,4,0.43035849377766205,1.6391806831467803
Lattice_10x10,FORCED,0.5,FROZEN_U,5,0.6952746854703244,1.6317747463253351
Lattice_10x10,FORCED,0.5,FROZEN_U,6,0.4901928081063215,1.6315004523689849
Lattice_10x10,FORCED,0.5,FROZEN_U,7,0.7600298854540781,1.638357801277731
Lattice_10x10,FORCED,0.5,FROZEN_U,8,0.4448837318307247,1.6353405677578832
Lattice_10x10,FORCED,0.5,FROZEN_U,9,0.44636473398104487,1.6276603369800866
BA_m3,ENDOGENOUS,0.0,FULL,0,0.40614297122849896,0.9197076356410898
BA_m3,ENDOGENOUS,0.0,FULL,1,0.41609922038312047,0.9364395669784316
BA_m3,ENDOGENOUS,0.0,FULL,2,0.22543190617252037,0.9243706328990373
BA_m3,ENDOGENOUS,0.0,FULL,3,0.03380085338042085,0.9092844652997953
BA_m3,ENDOGENOUS,0.0,FULL,4,0.3226549508364281,0.911204522994244
BA_m3,ENDOGENOUS,0.0,FULL,5,0.051993492400628206,0.9139474625577422
BA_m3,ENDOGENOUS,0.0,FULL,6,0.03369165157273764,0.9205305175101389
BA_m3,ENDOGENOUS,0.0,FULL,7,0.26739708041026095,0.9183361658593404
BA_m3,ENDOGENOUS,0.0,FULL,8,0.20613191978419898,0.9235477510299881
BA_m3,ENDOGENOUS,0.0,FULL,9,0.023247721069166703,0.8996841768275501
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,0,0.40614297122849896,0.9197076356410898
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,1,0.41609922038312047,0.9364395669784316
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,2,0.22543190617252037,0.9243706328990373
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,3,0.03380085338042085,0.9092844652997953
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,4,0.3226549508364281,0.911204522994244
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,5,0.051993492400628206,0.9139474625577422
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,6,0.03369165157273764,0.9205305175101389
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,7,0.26739708041026095,0.9183361658593404
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,8,0.20613191978419898,0.9235477510299881
BA_m3,ENDOGENOUS,0.0,NO_HERETIC,9,0.023247721069166703,0.8996841768275501
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,0,0.4769715001979978,0.9133988746450428
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,1,0.08529270416256157,0.9199819295974394
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,2,0.13810821114821248,0.9139474625577422
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,3,-0.005100752917850164,0.9131245806886931
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,4,0.021123499556455403,0.9136731686013928
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,5,-0.0007609458625680414,0.9169646960775912
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,6,0.02534404068412853,0.9210791054228394
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,7,0.09151289354346383,0.9054443499108966
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,8,0.006452148977917192,0.9013299405656489
BA_m3,ENDOGENOUS,0.0,NO_SIGMOID,9,-0.003341340040042768,0.9106559350815444
BA_m3,ENDOGENOUS,0.0,FROZEN_U,0,0.011243604748917963,0.9243706328990371
BA_m3,ENDOGENOUS,0.0,FROZEN_U,1,-0.005499876494302515,0.931227981807784
BA_m3,ENDOGENOUS,0.0,FROZEN_U,2,0.018359706499956836,0.9284850422442854
BA_m3,ENDOGENOUS,0.0,FROZEN_U,3,0.014633311554486403,0.9150446383831422
BA_m3,ENDOGENOUS,0.0,FROZEN_U,4,-0.009087906836837658,0.9166904021212414
BA_m3,ENDOGENOUS,0.0,FROZEN_U,5,0.010997339372700822,0.9175132839902911
BA_m3,ENDOGENOUS,0.0,FROZEN_U,6,-0.001157023139237752,0.9164161081648915
BA_m3,ENDOGENOUS,0.0,FROZEN_U,7,0.0030638392377000533,0.9158675202521921
BA_m3,ENDOGENOUS,0.0,FROZEN_U,8,0.004537475267040861,0.9205305175101394
BA_m3,ENDOGENOUS,0.0,FROZEN_U,9,0.009249303074136683,0.9133988746450431
BA_m3,FORCED,0.5,FULL,0,-0.011641056569316525,1.0609690231612692
BA_m3,FORCED,0.5,FULL,1,0.006938259006258415,1.0502715588636247
BA_m3,FORCED,0.5,FULL,2,0.03384274974878878,1.0873012429708553
BA_m3,FORCED,0.5,FULL,3,0.04548532901661156,1.0892213006653046
BA_m3,FORCED,0.5,FULL,4,0.005156221508693381,1.0585003775541206
BA_m3,FORCED,0.5,FULL,5,0.09938330612446125,1.0796210121930594
BA_m3,FORCED,0.5,FULL,6,0.019382002597152018,1.0735865451533628
BA_m3,FORCED,0.5,FULL,7,-0.0023210841744217155,1.0785238363676606
BA_m3,FORCED,0.5,FULL,8,0.05822502750898353,1.0702950176771642
BA_m3,FORCED,0.5,FULL,9,0.052092951876210665,1.042317034129478
BA_m3,FORCED,0.5,NO_HERETIC,0,0.2973169238918405,1.1487430891932247
BA_m3,FORCED,0.5,NO_HERETIC,1,0.03054013028391686,1.1051303501335967
BA_m3,FORCED,0.5,NO_HERETIC,2,0.08581215428646087,1.1591662595345198
BA_m3,FORCED,0.5,NO_HERETIC,3,0.02218089280764885,1.1627320809670683
BA_m3,FORCED,0.5,NO_HERETIC,4,-0.00028703901480803707,1.1034845863954974
BA_m3,FORCED,0.5,NO_HERETIC,5,0.14986959300307806,1.1454515617170267
BA_m3,FORCED,0.5,NO_HERETIC,6,0.05209305609776018,1.1289939243360347
BA_m3,FORCED,0.5,NO_HERETIC,7,0.012854906271760193,1.1465487375424255
BA_m3,FORCED,0.5,NO_HERETIC,8,0.030645782344223875,1.1182964600383902
BA_m3,FORCED,0.5,NO_HERETIC,9,0.01113223331081019,1.1251538089471367
BA_m3,FORCED,0.5,NO_SIGMOID,0,0.0239434669281505,1.0582260835977702
BA_m3,FORCED,0.5,NO_SIGMOID,1,0.0389414173191583,1.0483515011691757
BA_m3,FORCED,0.5,NO_SIGMOID,2,0.05762665522886857,1.0853811852764068
BA_m3,FORCED,0.5,NO_SIGMOID,3,0.03578937325813432,1.0837354215383077
BA_m3,FORCED,0.5,NO_SIGMOID,4,0.016514289697876317,1.0510944407326739
BA_m3,FORCED,0.5,NO_SIGMOID,5,-7.18720387017906e-05,1.0801696001057592
BA_m3,FORCED,0.5,NO_SIGMOID,6,0.028511674748668,1.0766037786732112
BA_m3,FORCED,0.5,NO_SIGMOID,7,0.0541258159597304,1.0952557677050017
BA_m3,FORCED,0.5,NO_SIGMOID,8,0.05580653278113112,1.0708436055898638
BA_m3,FORCED,0.5,NO_SIGMOID,9,0.07478044528913247,1.0840097154946575
BA_m3,FORCED,0.5,FROZEN_U,0,0.7051454120835986,1.6375349194086812
BA_m3,FORCED,0.5,FROZEN_U,1,0.8087631355732523,1.62135157598404
BA_m3,FORCED,0.5,FROZEN_U,2,0.695265383011861,1.6402778589721796
BA_m3,FORCED,0.5,FROZEN_U,3,0.6579374489433639,1.6400035650158296
BA_m3,FORCED,0.5,FROZEN_U,4,0.7382775486112709,1.6402778589721803
BA_m3,FORCED,0.5,FROZEN_U,5,0.7935588097830794,1.6315004523689844
BA_m3,FORCED,0.5,FROZEN_U,6,0.843256385604672,1.6262888671983382
BA_m3,FORCED,0.5,FROZEN_U,7,0.7353623696453722,1.6391806831467812
BA_m3,FORCED,0.5,FROZEN_U,8,0.8121173705573373,1.6342433919324841
BA_m3,FORCED,0.5,FROZEN_U,9,0.7240047269904342,1.6347919798451833
BA_m5,ENDOGENOUS,0.0,FULL,0,0.030385992312853174,0.9177875779466406
BA_m5,ENDOGENOUS,0.0,FULL,1,-0.0052470349963796735,0.9704520175658142
BA_m5,ENDOGENOUS,0.0,FULL,2,0.028137747305347655,1.0711178995462138
BA_m5,ENDOGENOUS,0.0,FULL,3,0.01845052905284373,0.9419254461054287
BA_m5,ENDOGENOUS,0.0,FULL,4,0.0017065702050219436,0.9221762812482384
BA_m5,ENDOGENOUS,0.0,FULL,5,0.02417275417733979,0.9251935147680866
BA_m5,ENDOGENOUS,0.0,FULL,6,0.00866826095987395,0.9336966274149328
BA_m5,ENDOGENOUS,0.0,FULL,7,0.003100732291313992,0.9257421026807866
BA_m5,ENDOGENOUS,0.0,FULL,8,0.0041566503099101666,0.9416511521490786
BA_m5,ENDOGENOUS,0.0,FULL,9,0.0027926984353894443,0.9040728801291479
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,0,0.030385992312853174,0.9177875779466406
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,1,-0.0052470349963796735,0.9704520175658142
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,2,0.028137747305347655,1.0711178995462138
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,3,0.01845052905284373,0.9419254461054287
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,4,0.0017065702050219436,0.9221762812482384
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,5,0.02417275417733979,0.9251935147680866
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,6,0.00866826095987395,0.9336966274149328
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,7,0.003100732291313992,0.9257421026807866
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,8,0.0041566503099101666,0.9416511521490786
BA_m5,ENDOGENOUS,0.0,NO_HERETIC,9,0.0027926984353894443,0.9040728801291479
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,0,0.00331047506451667,0.871431899323514
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,1,0.0016606973832647615,0.8648488443711169
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,2,-0.006158190935566728,0.8626544927203187
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,3,-0.012697919415708369,0.8944725916569024
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,4,0.0016041734190329001,0.9098330532124949
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,5,0.022234577778860894,0.8837751273592578
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,6,0.009785930198252213,0.8813064817521092
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,7,-0.006154160399294556,0.8607344350258697
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,8,0.03661359094261458,0.8711576053671641
BA_m5,ENDOGENOUS,0.0,NO_SIGMOID,9,0.005369289144110958,0.8755463086687618
BA_m5,ENDOGENOUS,0.0,FROZEN_U,0,0.024060379467046356,0.9188847537720402
BA_m5,ENDOGENOUS,0.0,FROZEN_U,1,-0.004788844357466401,0.9262906905934862
BA_m5,ENDOGENOUS,0.0,FROZEN_U,2,0.026380881986043173,0.9199819295974396
BA_m5,ENDOGENOUS,0.0,FROZEN_U,3,0.0171404229029403,0.910930229037894
BA_m5,ENDOGENOUS,0.0,FROZEN_U,4,-0.002305167687650143,0.9035242922164479
BA_m5,ENDOGENOUS,0.0,FROZEN_U,5,0.02530580063887399,0.9073644076053458
BA_m5,ENDOGENOUS,0.0,FROZEN_U,6,0.0006283118334610016,0.9101073471688447
BA_m5,ENDOGENOUS,0.0,FROZEN_U,7,0.0013636442871899285,0.9123016988196437
BA_m5,ENDOGENOUS,0.0,FROZEN_U,8,0.009766219295767644,0.9142217565140923
BA_m5,ENDOGENOUS,0.0,FROZEN_U,9,0.01051521356232586,0.9081872894743959
BA_m5,FORCED,0.5,FULL,0,-0.0017055865996606187,1.0192763417960902
BA_m5,FORCED,0.5,FULL,1,-0.012143348582172368,1.094981473748652
BA_m5,FORCED,0.5,FULL,2,-0.004422548933102419,1.0286023363119852
BA_m5,FORCED,0.5,FULL,3,-0.0009363351748826876,1.0077559956293956
BA_m5,FORCED,0.5,FULL,4,0.002600866564174939,1.030248100050084
BA_m5,FORCED,0.5,FULL,5,-0.012530910498829439,1.020373517621489
BA_m5,FORCED,0.5,FULL,6,0.01165240650219547,1.0417684462167784
BA_m5,FORCED,0.5,FULL,7,-0.00247642251513841,1.0044644681531976
BA_m5,FORCED,0.5,FULL,8,0.01993225173588789,0.9795037181253597
BA_m5,FORCED,0.5,FULL,9,-0.00711788012918579,1.0176305780579904
BA_m5,FORCED,0.5,NO_HERETIC,0,-0.009889247186618244,0.9806008939507593
BA_m5,FORCED,0.5,NO_HERETIC,1,-0.0125952708591378,1.0670034902009662
BA_m5,FORCED,0.5,NO_HERETIC,2,0.00935712185664513,1.0744094270224125
BA_m5,FORCED,0.5,NO_HERETIC,3,0.0009638357601092888,1.1289939243360352
BA_m5,FORCED,0.5,NO_HERETIC,4,-0.007322671329868712,0.9932184159428529
BA_m5,FORCED,0.5,NO_HERETIC,5,-0.013239924831053693,0.9394568004982797
BA_m5,FORCED,0.5,NO_HERETIC,6,0.001941882673407294,1.104856056177247
BA_m5,FORCED,0.5,NO_HERETIC,7,0.004508048709614595,0.9575602016173705
BA_m5,FORCED,0.5,NO_HERETIC,8,-0.008570972248109831,0.9951384736373017
BA_m5,FORCED,0.5,NO_HERETIC,9,0.002961827867855933,0.9394568004982794
BA_m5,FORCED,0.5,NO_SIGMOID,0,-0.004352543064972759,0.9007813526529489
BA_m5,FORCED,0.5,NO_SIGMOID,1,0.043957191819163355,0.8785635421886101
BA_m5,FORCED,0.5,NO_SIGMOID,2,0.01161542418824587,0.89803841308945
BA_m5,FORCED,0.5,NO_SIGMOID,3,0.016774876484855945,0.9443940917125774
BA_m5,FORCED,0.5,NO_SIGMOID,4,0.019123814022828797,0.8832265394465583
BA_m5,FORCED,0.5,NO_SIGMOID,5,0.016151485133889632,0.9005070586965992
BA_m5,FORCED,0.5,NO_SIGMOID,6,0.004784445134673332,0.89913558891485
BA_m5,FORCED,0.5,NO_SIGMOID,7,-0.009128379214504918,0.8873409487918061
BA_m5,FORCED,0.5,NO_SIGMOID,8,-0.01783049280563025,0.8835008334029081
BA_m5,FORCED,0.5,NO_SIGMOID,9,0.0061366295393979475,0.884049421315608
BA_m5,FORCED,0.5,FROZEN_U,0,0.9465658243223446,1.651249617226174
BA_m5,FORCED,0.5,FROZEN_U,1,0.9152534146347543,1.653718262833323
BA_m5,FORCED,0.5,FROZEN_U,2,0.9346423791997246,1.6485066776626764
BA_m5,FORCED,0.5,FROZEN_U,3,0.9517184972058836,1.6372606254523319
BA_m5,FORCED,0.5,FROZEN_U,4,0.9423499048133069,1.662221375480169
BA_m5,FORCED,0.5,FROZEN_U,5,0.9449027656416706,1.6559126144841227
BA_m5,FORCED,0.5,FROZEN_U,6,0.9198788011079466,1.649329559531726
BA_m5,FORCED,0.5,FROZEN_U,7,0.923349718897548,1.652346793051575
BA_m5,FORCED,0.5,FROZEN_U,8,0.9283093987807959,1.6468609139245778
BA_m5,FORCED,0.5,FROZEN_U,9,0.9437808296991961,1.6498781474444257
WS_k4_p01,ENDOGENOUS,0.0,FULL,0,0.1752389923060329,0.9177875779466405
WS_k4_p01,ENDOGENOUS,0.0,FULL,1,0.06807927282676218,0.9199819295974399
WS_k4_p01,ENDOGENOUS,0.0,FULL,2,0.05106997388504767,0.9246449268553875
WS_k4_p01,ENDOGENOUS,0.0,FULL,3,0.1629454814566684,0.925467808724437
WS_k4_p01,ENDOGENOUS,0.0,FULL,4,0.07436920139693226,0.920804811466489
WS_k4_p01,ENDOGENOUS,0.0,FULL,5,0.16143645048019067,0.9057186438672467
WS_k4_p01,ENDOGENOUS,0.0,FULL,6,0.18516110128940988,0.9161418142085418
WS_k4_p01,ENDOGENOUS,0.0,FULL,7,0.1192561426100959,0.904621468041847
WS_k4_p01,ENDOGENOUS,0.0,FULL,8,0.00861560919368099,0.923273457073638
WS_k4_p01,ENDOGENOUS,0.0,FULL,9,0.10770984417549966,0.9235477510299879
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,0,0.1752389923060329,0.9177875779466405
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,1,0.06807927282676218,0.9199819295974399
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,2,0.05106997388504767,0.9246449268553875
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,3,0.1629454814566684,0.925467808724437
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,4,0.07436920139693226,0.920804811466489
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,5,0.16143645048019067,0.9057186438672467
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,6,0.18516110128940988,0.9161418142085418
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,7,0.1192561426100959,0.904621468041847
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,8,0.00861560919368099,0.923273457073638
WS_k4_p01,ENDOGENOUS,0.0,NO_HERETIC,9,0.10770984417549966,0.9235477510299879
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,0,0.0013784756659321715,0.9298565120260343
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,1,-0.01907752285059373,0.9219019872918889
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,2,0.0009242866832604806,0.9180618719029904
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,3,0.070242648016585,0.9205305175101393
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,4,0.14365196387762919,0.9155932262958417
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,5,0.03878138741488599,0.915867520252192
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,6,0.009377465526134209,0.9139474625577426
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,7,0.007862155071144785,0.9106559350815445
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,8,0.005038299351008534,0.9095587592561448
WS_k4_p01,ENDOGENOUS,0.0,NO_SIGMOID,9,0.009194703892593825,0.9090101713434448
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,0,0.008433058779392929,0.9221762812482381
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,1,-0.008323628258706148,0.9320508636768338
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,2,0.017972843410717837,0.9301308059823845
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,3,0.009280100095273898,0.9180618719029906
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,4,-0.004948396110205298,0.913947462557743
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,5,0.015826456707114675,0.9153189323394918
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,6,-0.0035234837619022947,0.9183361658593409
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,7,0.001451934370551096,0.915318932339492
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,8,0.002099051230014765,0.921353399379189
WS_k4_p01,ENDOGENOUS,0.0,FROZEN_U,9,0.00579914587082959,0.9133988746450433
WS_k4_p01,FORCED,0.5,FULL,0,0.009739785414242481,1.0480772072128257
WS_k4_p01,FORCED,0.5,FULL,1,0.006477059481718814,1.0428656220421775
WS_k4_p01,FORCED,0.5,FULL,2,8.584796254358418e-05,1.0395740945659797
WS_k4_p01,FORCED,0.5,FULL,3,0.008582963577295558,1.064809138550167
WS_k4_p01,FORCED,0.5,FULL,4,0.02777433511090817,1.0724893693279631
WS_k4_p01,FORCED,0.5,FULL,5,0.0006513030905432462,1.0807181880184593
WS_k4_p01,FORCED,0.5,FULL,6,0.0037863036176123722,1.0508201467763236
WS_k4_p01,FORCED,0.5,FULL,7,-0.00901723110594674,1.060420435248569
WS_k4_p01,FORCED,0.5,FULL,8,-0.009246889601585182,1.0735865451533628
WS_k4_p01,FORCED,0.5,FULL,9,0.004856366893725244,1.0738608391097122
