readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L2_REF_NON_STIM,STNO_FULL,3000,9,-1,5088,1
L3_COPIE_UNIQUE,STNO_FULL,3000,9,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,3000,10,1,6243,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,10,1,6408,1
L2_REF_NON_STIM,STNO_FULL,3000,10,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,3000,10,1,1357,1
L0_PAIRE_JUMELLE,STNO_FULL,3000,11,-1,8068,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,3000,11,-1,8871,1
L2_REF_NON_STIM,STNO_FULL,3000,11,-1,5101,1
L3_COPIE_UNIQUE,STNO_FULL,3000,11,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,0,-1,6542,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,0,-1,6523,1
L2_REF_NON_STIM,STNO_FULL,4500,0,-1,5701,1
L3_COPIE_UNIQUE,STNO_FULL,4500,0,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,1,-1,8154,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,1,-1,7786,1
L2_REF_NON_STIM,STNO_FULL,4500,1,-1,5787,1
L3_COPIE_UNIQUE,STNO_FULL,4500,1,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,2,1,7551,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,2,1,8669,1
L2_REF_NON_STIM,STNO_FULL,4500,2,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,4500,2,1,966,1
L0_PAIRE_JUMELLE,STNO_FULL,4500,3,-1,6276,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,3,-1,6342,1
L2_REF_NON_STIM,STNO_FULL,4500,3,-1,5231,1
L3_COPIE_UNIQUE,STNO_FULL,4500,3,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,4,1,8756,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,4,1,6983,1
L2_REF_NON_STIM,STNO_FULL,4500,4,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,4500,4,1,1456,1
L0_PAIRE_JUMELLE,STNO_FULL,4500,5,-1,7219,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,5,-1,7601,1
L2_REF_NON_STIM,STNO_FULL,4500,5,-1,5913,1
L3_COPIE_UNIQUE,STNO_FULL,4500,5,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,6,-1,8301,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,6,-1,7971,1
L2_REF_NON_STIM,STNO_FULL,4500,6,-1,5707,1
L3_COPIE_UNIQUE,STNO_FULL,4500,6,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,7,-1,9001,0
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,7,-1,9001,0
L2_REF_NON_STIM,STNO_FULL,4500,7,-1,5549,1
L3_COPIE_UNIQUE,STNO_FULL,4500,7,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,8,-1,8584,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,8,-1,8682,1
L2_REF_NON_STIM,STNO_FULL,4500,8,-1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,4500,8,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,9,-1,7081,1
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,9,-1,6241,1
L2_REF_NON_STIM,STNO_FULL,4500,9,-1,5180,1
L3_COPIE_UNIQUE,STNO_FULL,4500,9,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FULL,4500,10,1,7898,1
