topology,n_nonlin,condition,gain_u,seed,R_mean,R_std,p_mean,u_mean,u_max
BA_m3,0.0,FROZEN_U,,42,0.710464010627781,0.01986652439836746,0.10916623100472196,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,123,0.410563929752614,0.12006820424091175,0.037931212519512175,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,777,0.6497340053429448,0.06655012056135687,0.09244584850357902,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,17,0.6544778932833645,0.08624041836604829,0.07292696089155254,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,256,0.5956343455966304,0.01738557344383449,0.09016893562766251,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,1337,0.512376071407666,0.09820569193275962,0.06720611887599998,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,99,0.6807826976642475,0.025361172259709987,0.08755694892073347,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,314,0.5988985716193046,0.03757650131022423,0.08370745254941883,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,2024,0.7025598661953839,0.03603952713270162,0.07967992812172116,0.05,0.04999999999999999
BA_m3,0.0,FROZEN_U,,888,0.6868312676787367,0.08001268412306951,0.08542215659675893,0.05,0.04999999999999999
BA_m3,0.0,FULL,1.0,42,0.7032594812807038,0.02371722098131853,0.10828425032946856,0.06205681823491618,0.07048803349473327
BA_m3,0.0,FULL,1.0,123,0.3979638320073295,0.11514110629312377,0.03770900251468334,0.05943344364732064,0.06536990375053549
BA_m3,0.0,FULL,1.0,777,0.6420068908152678,0.07160367506484341,0.09169946703182992,0.061437711143305276,0.06988472747929339
BA_m3,0.0,FULL,1.0,17,0.6505551074191517,0.08572722532832926,0.07266191688356922,0.05937873383727627,0.06741406904018375
BA_m3,0.0,FULL,1.0,256,0.5891303868461282,0.019651610750223317,0.08961834384786305,0.06120963802736006,0.06911788853013148
BA_m3,0.0,FULL,1.0,1337,0.5031905187123816,0.10445285937836378,0.06667937371271085,0.06083534150171547,0.06863085027066484
BA_m3,0.0,FULL,1.0,99,0.6742889404394556,0.024654571864920514,0.08679467034670951,0.06118215762613918,0.06922007707695017
BA_m3,0.0,FULL,1.0,314,0.5894824727270375,0.044340590794866415,0.08289637696529983,0.061579518948015576,0.07006509784954201
BA_m3,0.0,FULL,1.0,2024,0.6947928502111965,0.039697919604448566,0.07883408055033743,0.060955938742402876,0.06926115778986076
BA_m3,0.0,FULL,1.0,888,0.6817120127690963,0.07874421846683129,0.08481979358715003,0.060146722708596875,0.06819875668969877
BA_m3,0.0,FULL,10.0,42,0.261910542216228,0.21734525334174296,0.267973298419692,0.5787373399087412,0.9699339127734713
BA_m3,0.0,FULL,10.0,123,0.13166400886376897,0.10758407164844581,0.15639728327838479,0.4463211138108209,0.8827708489167353
BA_m3,0.0,FULL,10.0,777,0.28375076844848734,0.2385564921645541,0.24069471876121462,0.5400437052229944,0.9750944146140221
BA_m3,0.0,FULL,10.0,17,0.3709637161447807,0.18724317095795287,0.15080865025461626,0.404912062365965,0.8573247128320588
BA_m3,0.0,FULL,10.0,256,0.23419594218177303,0.16965541493886416,0.22423686836767417,0.5226589331243208,0.957765011815468
BA_m3,0.0,FULL,10.0,1337,0.26253405477048686,0.17194713915990392,0.19798103694579844,0.5003002937224849,0.9491727242149167
BA_m3,0.0,FULL,10.0,99,0.2683888693069877,0.20485564382321012,0.21972220597240363,0.5234434544911606,0.9602776554920964
BA_m3,0.0,FULL,10.0,314,0.24348304753069647,0.2013634851768532,0.24710241828321214,0.5553655523145696,0.9798831036340738
BA_m3,0.0,FULL,10.0,2024,0.2647889327500998,0.1948602207057536,0.20752779658905812,0.5030982161604439,0.9434991117783804
BA_m3,0.0,FULL,10.0,888,0.2609944984098604,0.1825923653143157,0.17621242736062118,0.4595393148073039,0.9175183238496963
BA_m3,3.0,FROZEN_U,,42,0.573475717646857,0.06148573772643442,0.08635278755087922,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,123,0.4936066958745424,0.07627934684112414,0.05130369858430963,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,777,0.4815001489416859,0.14275512448054614,0.06612995012326667,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,17,0.4316561253116788,0.06823362390442524,0.04789565710181749,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,256,0.44308334406281125,0.14039846454683982,0.06942058380856733,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,1337,0.4528737275363086,0.060560261231000875,0.05822796025135788,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,99,0.46285425864678936,0.1339429528413036,0.06542649450732771,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,314,0.3959029905573841,0.13707259465508495,0.05837936995471564,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,2024,0.5378689677194618,0.1533562037121453,0.06293586789974133,0.05,0.04999999999999999
BA_m3,3.0,FROZEN_U,,888,0.533502485923304,0.052829743518725804,0.061954364515481024,0.05,0.04999999999999999
BA_m3,3.0,FULL,1.0,42,0.5685669001474268,0.06350674136530335,0.086065845472221,0.06286966161838846,0.07130273446100036
BA_m3,3.0,FULL,1.0,123,0.48595546727454814,0.07879847674006832,0.05087504569011469,0.06043497811131242,0.06778876248313141
BA_m3,3.0,FULL,1.0,777,0.47518460030603304,0.14609473289799582,0.06587188909118369,0.061214217177346965,0.0688219323404052
