n_pivots,m,D,seed,f_v,ac50,lz,winner,dist_drive,dist_intrinsic
1,3,0.0,42,0.010666666666666666,0.7873479581729999,1.2479642466234104,INTRINSIC,0.03933333333333334,0.0006666666666666661
1,3,0.0,123,0.007333333333333333,0.7141264403735964,1.1333552851988116,INTRINSIC,0.04266666666666667,0.002666666666666667
1,3,0.0,777,0.002,0.6928274544695238,1.2224955885290552,INTRINSIC,0.048,0.008
1,3,0.0,999,0.006666666666666667,0.7080491533985678,1.2097612594818774,INTRINSIC,0.043333333333333335,0.003333333333333333
1,3,0.0,314,0.004666666666666667,0.6751353858733946,1.337104549953654,INTRINSIC,0.04533333333333334,0.005333333333333333
1,3,0.15,42,0.006,0.52593071437777,1.375307537095187,INTRINSIC,0.044000000000000004,0.004
1,3,0.15,123,0.011333333333333334,0.5354024731932232,1.451713511378253,INTRINSIC,0.03866666666666667,0.001333333333333334
1,3,0.15,777,0.006,0.7174292206603202,1.1842926013875221,INTRINSIC,0.044000000000000004,0.004
1,3,0.15,999,0.004666666666666667,0.6326257757192675,1.451713511378253,INTRINSIC,0.04533333333333334,0.005333333333333333
1,3,0.15,314,0.008666666666666666,0.7132699166346702,1.3625732080480093,INTRINSIC,0.04133333333333333,0.001333333333333334
1,3,0.5,42,0.006,0.47045284538723403,1.6554627761330956,INTRINSIC,0.044000000000000004,0.004
1,3,0.5,123,0.012666666666666666,0.5366975862125819,1.4135105242367199,INTRINSIC,0.037333333333333336,0.002666666666666666
1,3,0.5,777,0.0033333333333333335,0.6867382027761111,1.2734329047177657,INTRINSIC,0.04666666666666667,0.006666666666666666
1,3,0.5,999,0.014,0.5793280318468886,1.5535881437556742,INTRINSIC,0.036000000000000004,0.004
1,3,0.5,314,0.006,0.6776369814208753,1.451713511378253,INTRINSIC,0.044000000000000004,0.004
1,6,0.0,42,0.013333333333333334,0.7872349026436285,1.2861672337649435,INTRINSIC,0.03666666666666667,0.003333333333333334
1,6,0.0,123,0.007333333333333333,0.7141264403735964,1.1333552851988116,INTRINSIC,0.04266666666666667,0.002666666666666667
1,6,0.0,777,0.002,0.6928274544695238,1.2224955885290552,INTRINSIC,0.048,0.008
1,6,0.0,999,0.006666666666666667,0.7070967361330447,1.260698575670588,INTRINSIC,0.043333333333333335,0.003333333333333333
1,6,0.0,314,0.004666666666666667,0.6749246175929353,1.3498388790008315,INTRINSIC,0.04533333333333334,0.005333333333333333
1,6,0.15,42,0.014666666666666666,0.4737185001754197,1.4135105242367199,INTRINSIC,0.035333333333333335,0.004666666666666666
1,6,0.15,123,0.0006666666666666666,0.9869127704596815,0.8022627299721924,INTRINSIC,0.04933333333333333,0.009333333333333334
1,6,0.15,777,0.0033333333333333335,0.7332900424720293,1.146089614245989,INTRINSIC,0.04666666666666667,0.006666666666666666
1,6,0.15,999,0.012666666666666666,0.8783362945410729,1.0696836399629233,INTRINSIC,0.037333333333333336,0.002666666666666666
1,6,0.15,314,0.0013333333333333333,0.7625830145002988,1.0569493109157457,INTRINSIC,0.04866666666666667,0.008666666666666666
1,6,0.5,42,0.012,0.5049411025522442,1.5026508275669637,INTRINSIC,0.038000000000000006,0.002
1,6,0.5,123,0.012666666666666666,0.5861006030869981,1.3498388790008315,INTRINSIC,0.037333333333333336,0.002666666666666666
1,6,0.5,777,0.0033333333333333335,0.6617814229716713,1.2352299175762327,INTRINSIC,0.04666666666666667,0.006666666666666666
1,6,0.5,999,0.005333333333333333,0.5949036054197753,1.4007761951895423,INTRINSIC,0.04466666666666667,0.004666666666666667
1,6,0.5,314,0.006,0.6886417492200235,1.337104549953654,INTRINSIC,0.044000000000000004,0.004
2,3,0.0,42,0.010666666666666666,0.7803385410978481,1.260698575670588,INTRINSIC,0.03933333333333334,0.0006666666666666661
2,3,0.0,123,0.01,0.7102356817489736,1.1715582723403446,INTRINSIC,0.04,0.0
2,3,0.0,777,0.0033333333333333335,0.6878520806851557,1.2097612594818774,INTRINSIC,0.04666666666666667,0.006666666666666666
2,3,0.0,999,0.005333333333333333,0.6962132060878975,1.2479642466234104,INTRINSIC,0.04466666666666667,0.004666666666666667
2,3,0.0,314,0.004666666666666667,0.6663861340126445,1.3498388790008315,INTRINSIC,0.04533333333333334,0.005333333333333333
2,3,0.15,42,0.012666666666666666,0.4985600223899879,1.4644478404254304,INTRINSIC,0.037333333333333336,0.002666666666666666
2,3,0.15,123,0.015333333333333332,0.5058303805236972,1.489916498519786,INTRINSIC,0.03466666666666667,0.005333333333333332
2,3,0.15,777,0.0033333333333333335,0.7119818436268667,1.1588239432931668,INTRINSIC,0.04666666666666667,0.006666666666666666
2,3,0.15,999,0.007333333333333333,0.6065950470597501,1.4644478404254304,INTRINSIC,0.04266666666666667,0.002666666666666667
2,3,0.15,314,0.008666666666666666,0.695663507026066,1.489916498519786,INTRINSIC,0.04133333333333333,0.001333333333333334
2,3,0.5,42,0.01,0.44186297197797736,1.6172597889915623,INTRINSIC,0.04,0.0
2,3,0.5,123,0.01,0.5101404317606578,1.5026508275669637,INTRINSIC,0.04,0.0
2,3,0.5,777,0.0033333333333333335,0.6800292001760438,1.2861672337649435,INTRINSIC,0.04666666666666667,0.006666666666666666
2,3,0.5,999,0.013333333333333334,0.5405807709058711,1.642728447085918,INTRINSIC,0.03666666666666667,0.003333333333333334
2,3,0.5,314,0.01,0.6612745373442306,1.451713511378253,INTRINSIC,0.04,0.0
2,6,0.0,42,0.010666666666666666,0.7801167251852303,1.260698575670588,INTRINSIC,0.03933333333333334,0.0006666666666666661
2,6,0.0,123,0.01,0.7102356817489736,1.1715582723403446,INTRINSIC,0.04,0.0
2,6,0.0,777,0.0033333333333333335,0.6878520806851557,1.2097612594818774,INTRINSIC,0.04666666666666667,0.006666666666666666
2,6,0.0,999,0.005333333333333333,0.6950539340226145,1.2479642466234104,INTRINSIC,0.04466666666666667,0.004666666666666667
2,6,0.0,314,0.004666666666666667,0.6661810961399925,1.3625732080480093,INTRINSIC,0.04533333333333334,0.005333333333333333
2,6,0.15,42,0.012,0.37801068784740416,1.62999411803874,INTRINSIC,0.038000000000000006,0.002
2,6,0.15,123,0.0006666666666666666,0.9595771551197501,0.8022627299721924,INTRINSIC,0.04933333333333333,0.009333333333333334
2,6,0.15,777,0.0033333333333333335,0.6452048711774007,1.146089614245989,INTRINSIC,0.04666666666666667,0.006666666666666666
2,6,0.15,999,0.012,0.6354924534098348,0.7767940718778371,INTRINSIC,0.038000000000000006,0.002
