topology,n_nonlin,gain_u,R_FULL_mean,R_FULL_std,R_FROZEN_mean,R_FROZEN_std,diff_FROZEN_minus_FULL,diff_ci_lo,diff_ci_hi,cohen_d,n_seeds
BA_m3,0.0,1.0,0.6126382493227748,0.09218812539855151,0.6202322659168673,0.09039825941073813,0.007594016594092534,-0.07453951071678432,0.08622638849268756,0.07891027130242396,10
BA_m3,0.0,10.0,0.25826743806231683,0.05510007347627966,0.6202322659168673,0.09039825941073813,0.3619648278545505,0.2929680301295347,0.42327970052835867,4.5871317090560355,10
BA_m3,3.0,1.0,0.475862424698557,0.0510501084987841,0.48063244622208223,0.05189848144088378,0.004770021523525236,-0.04041743484888709,0.04934868323214457,0.08790962765000253,10
BA_m3,3.0,10.0,0.23030557478706765,0.03230981591546446,0.48063244622208223,0.05189848144088378,0.2503268714350146,0.21284190499168668,0.2892832068916372,5.493641235805973,10
BA_m3,10.0,1.0,0.27007433803775616,0.03717880061070156,0.2702882883798722,0.038453535347090485,0.0002139503421160205,-0.032419472330752465,0.032433762345614854,0.005366548336663865,10
BA_m3,10.0,10.0,0.13515579319774979,0.014538554008604643,0.2702882883798722,0.038453535347090485,0.1351324951821224,0.10843814882189484,0.15945365424163596,4.410085925712495,10
LATTICE_10x10,0.0,1.0,0.3383031542712699,0.08271047647063817,0.3418613845525319,0.08385484295112573,0.0035582302812620092,-0.0666272622112499,0.07797582486265309,0.04053129408370178,10
LATTICE_10x10,0.0,10.0,0.16596224098483706,0.03876330033617638,0.3418613845525319,0.08385484295112573,0.17589914356769484,0.11738804579646678,0.22985098788833633,2.55457026848226,10
LATTICE_10x10,3.0,1.0,0.26942588747427243,0.08509329639668126,0.2717889164569575,0.08568512667786343,0.002363028982685089,-0.07325631925553588,0.07637350840753812,0.02625334778356145,10
LATTICE_10x10,3.0,10.0,0.14892301226316182,0.03443129865645647,0.2717889164569575,0.08568512667786343,0.1228659041937957,0.07180117262238024,0.18359003719639108,1.7850809233018279,10
LATTICE_10x10,10.0,1.0,0.1759196150468555,0.032959335389652414,0.1757654915445232,0.02858249624899972,-0.00015412350233229288,-0.027423003182628653,0.027082797687752506,-0.004739735818735324,10
LATTICE_10x10,10.0,10.0,0.11127278324816385,0.017106079414196698,0.1757654915445232,0.02858249624899972,0.06449270829635935,0.04269637716258325,0.08456662619253087,2.597575239598115,10
