topo,t_pulse,seed,dstar,c_doubt,c_conv,acc_doubt,acc_conv,acc_final
BA_m3,350,19,-1,395,206,1,0,1
BA_m3,350,20,-1,404,231,1,0,1
BA_m3,350,21,-1,382,185,1,0,1
BA_m3,350,22,-1,413,196,1,0,1
BA_m3,350,23,-1,612,193,1,0,1
BA_m3,350,24,1,597,188,0,1,1
BA_m3,350,25,1,809,182,0,1,1
BA_m3,350,26,-1,395,193,1,0,1
BA_m3,350,27,-1,472,211,1,0,1
BA_m3,350,28,1,213,195,0,1,1
BA_m3,350,29,1,749,159,0,1,1
BA_m3,700,0,-1,480,182,1,0,1
BA_m3,700,1,-1,726,164,1,0,1
BA_m3,700,2,1,575,196,0,1,1
BA_m3,700,3,-1,727,195,1,0,1
BA_m3,700,4,1,613,81,0,0,1
BA_m3,700,5,-1,725,212,1,0,1
BA_m3,700,6,-1,597,216,1,0,1
BA_m3,700,7,-1,728,107,1,0,1
BA_m3,700,8,-1,739,175,1,0,1
BA_m3,700,9,-1,731,166,1,0,1
BA_m3,700,10,1,2000,193,1,1,1
BA_m3,700,11,-1,603,219,1,0,1
BA_m3,700,12,-1,723,130,1,0,1
BA_m3,700,13,1,635,199,0,1,1
BA_m3,700,14,-1,734,193,1,0,1
BA_m3,700,15,1,636,172,0,1,1
BA_m3,700,16,1,915,212,0,1,1
BA_m3,700,17,1,925,155,0,1,0
BA_m3,700,18,-1,571,197,1,0,1
BA_m3,700,19,-1,531,206,1,0,1
BA_m3,700,20,-1,511,231,1,0,1
BA_m3,700,21,-1,710,185,1,0,1
BA_m3,700,22,-1,724,196,1,0,1
BA_m3,700,23,-1,720,193,1,0,1
BA_m3,700,24,1,662,188,0,1,1
BA_m3,700,25,1,1009,182,0,1,0
BA_m3,700,26,-1,700,193,1,0,1
BA_m3,700,27,-1,735,211,1,0,1
BA_m3,700,28,1,213,195,0,1,1
BA_m3,700,29,1,2000,159,1,1,1
ER_p06,150,0,-1,194,152,0,0,1
ER_p06,150,1,-1,195,151,1,0,1
ER_p06,150,2,1,194,206,1,1,0
ER_p06,150,3,-1,223,157,1,0,1
ER_p06,150,4,1,187,81,1,0,1
ER_p06,150,5,-1,192,160,1,0,1
ER_p06,150,6,-1,195,158,1,0,1
ER_p06,150,7,-1,189,155,0,0,1
ER_p06,150,8,-1,202,153,1,0,1
ER_p06,150,9,-1,197,155,1,0,1
ER_p06,150,10,1,569,193,0,1,1
ER_p06,150,11,-1,195,155,0,0,1
ER_p06,150,12,-1,193,149,1,0,1
ER_p06,150,13,1,198,134,1,1,1
ER_p06,150,14,-1,196,150,1,0,1
ER_p06,150,15,1,174,205,1,1,1
ER_p06,150,16,1,169,212,1,1,1
ER_p06,150,17,1,176,188,1,1,1
ER_p06,150,18,-1,198,157,1,0,1
ER_p06,150,19,-1,202,159,1,0,1
ER_p06,150,20,-1,221,159,1,0,1
ER_p06,150,21,-1,193,156,1,0,0
ER_p06,150,22,-1,201,158,1,0,1
ER_p06,150,23,-1,195,154,1,0,1
ER_p06,150,24,1,172,189,1,1,1
ER_p06,150,25,1,735,198,0,1,0
ER_p06,150,26,-1,197,155,1,0,1
ER_p06,150,27,-1,200,161,1,0,1
ER_p06,150,28,1,200,205,1,1,1
ER_p06,150,29,1,159,144,1,0,1
ER_p06,350,0,-1,375,157,1,0,1
ER_p06,350,1,-1,382,153,1,0,1
ER_p06,350,2,1,191,198,1,1,1
ER_p06,350,3,-1,463,179,1,0,1
ER_p06,350,4,1,187,81,1,0,1
ER_p06,350,5,-1,395,183,1,0,1
ER_p06,350,6,-1,383,178,1,0,1
