topo,ablation,distance,mi_mean,mi_std
lattice,FULL,1,0.5996787929829202,0.02213043662524597
lattice,FULL,2,0.5514802867163257,0.025408674212827227
lattice,FULL,3,0.5163285039555595,0.019378999053005757
lattice,FULL,4,0.5062836514223653,0.024077783145335947
lattice,FULL,5,0.5006817336001191,0.03468677222834016
lattice,FULL,6,0.5051135819589823,0.03334260630174659
lattice,FULL,7,0.48414178020597626,0.02280164925541788
lattice,FULL,8,0.48663311045661084,0.009010063770443657
lattice,NO_HERETIC,1,1.0684939012498749,0.03314058570753062
lattice,NO_HERETIC,2,1.0379694518679783,0.034923463872384174
lattice,NO_HERETIC,3,1.0009569640634342,0.06402080285338042
lattice,NO_HERETIC,4,0.9910469765844226,0.05148400463501005
lattice,NO_HERETIC,5,0.980955025520989,0.0445060881182813
lattice,NO_HERETIC,6,0.9953186033309653,0.04224830640649089
lattice,NO_HERETIC,7,0.9837204084619676,0.04869711585650141
lattice,NO_HERETIC,8,0.9581455790629511,0.06210709908218184
lattice,FROZEN_U,1,1.7011868261561887,0.02929053096799718
lattice,FROZEN_U,2,1.591889643863978,0.03681049296512002
lattice,FROZEN_U,3,1.573596482200017,0.024985705669148893
lattice,FROZEN_U,4,1.593375408539042,0.027575579885724472
lattice,FROZEN_U,5,1.6550004466462802,0.04864550887332515
lattice,FROZEN_U,6,1.6193131545581851,0.011454316477672642
lattice,FROZEN_U,7,1.6392421180729224,0.02910177207780495
lattice,FROZEN_U,8,1.6000826592637012,0.009170328197331889
lattice,NO_SIGMOID,1,0.5573926021152956,0.11354430348122364
lattice,NO_SIGMOID,2,0.5106927137856153,0.09501672769154061
lattice,NO_SIGMOID,3,0.48075304314358186,0.09273708188620981
lattice,NO_SIGMOID,4,0.4764561934971196,0.07535497615436296
lattice,NO_SIGMOID,5,0.489252175777392,0.09695929098332623
lattice,NO_SIGMOID,6,0.479631695387027,0.08995494462801436
lattice,NO_SIGMOID,7,0.4807164450559321,0.09836927630778751
lattice,NO_SIGMOID,8,0.4791027415854507,0.0872020873809945
ba_m3,FULL,1,0.4851547038489385,0.017412998101825596
ba_m3,FULL,2,0.4985562713139893,0.02371849062076446
ba_m3,FULL,3,0.589256421812432,0.020795200885807236
ba_m3,FULL,4,0.6169865574732741,0.0249180147983568
ba_m3,FULL,5,0.7113260426528665,0.0
ba_m3,NO_HERETIC,1,0.6219527231261974,0.0429163186367015
ba_m3,NO_HERETIC,2,0.6290765107426602,0.04227582348613202
ba_m3,NO_HERETIC,3,0.6591127641982006,0.05945194693492725
ba_m3,NO_HERETIC,4,0.661046613098471,0.0612105992930228
ba_m3,NO_HERETIC,5,1.115977886156751,0.0
ba_m3,FROZEN_U,1,1.6361487744871726,0.043883577192398875
ba_m3,FROZEN_U,2,1.5487920860694242,0.03375237700545117
ba_m3,FROZEN_U,3,1.5975077929324943,0.08667616281497476
ba_m3,FROZEN_U,4,1.5947989138098349,0.03892910550214874
ba_m3,FROZEN_U,5,1.4131417845766605,0.0
ba_m3,NO_SIGMOID,1,0.45929523373442893,0.025575885317291706
ba_m3,NO_SIGMOID,2,0.49494053529775206,0.01834232539874829
ba_m3,NO_SIGMOID,3,0.5616929084303471,0.023982257631809542
ba_m3,NO_SIGMOID,4,0.6127689746928673,0.003511818997464947
ba_m3,NO_SIGMOID,5,0.6151634576835272,0.0
