topo,full_sync_mean,frozen_sync_mean,diff_mean,diff_ci_lo,diff_ci_hi,cohen_d,separation_complete,max_full,min_frozen
LATTICE,0.012003,0.525076,0.513073,0.473737,0.551024,4.7201,1,0.022931,0.319534
BA_m3,0.008791,0.687519,0.678728,0.652727,0.702330,9.3796,1,0.023081,0.525298
