budget_lvl,mode,family,label,oracle,c_doubt,c_conv,alloc,correct
0.5,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.31),1987,172,81,81,1
0.5,DOUTE,EVIDENCE,EVID(n=2,E=0.27),1485,162,81,162,1
0.5,DOUTE,CONTRADICTION,CONTRA(+5/-4),2000,466,190,466,0
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1717,2000,133,2000,1
0.5,DOUTE,EVIDENCE,EVID(n=2,E=0.47),1197,158,81,158,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,168,134,168,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),2000,2000,81,2000,0
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),1449,312,113,312,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,165,81,165,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1057,2000,81,2000,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),2000,265,111,265,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.49),2000,157,81,157,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.47),1646,157,81,157,1
0.5,UNIFORME,EVIDENCE,EVID(n=2,E=0.27),1485,162,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+5/-4),2000,466,190,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1717,2000,133,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=2,E=0.47),1197,158,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,168,134,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),2000,2000,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),1449,312,113,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,165,81,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1057,2000,81,781.9027777777778,1
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),2000,265,111,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.49),2000,157,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.47),1646,157,81,781.9027777777778,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.27),1485,162,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+5/-4),2000,466,190,190,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),1717,2000,133,133,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.47),1197,158,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,168,134,134,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),2000,2000,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),1449,312,113,113,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,165,81,81,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),1057,2000,81,81,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),2000,265,111,111,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.49),2000,157,81,81,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.47),1646,157,81,81,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.37),2000,166,81,166,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1174,476,169,476,0
0.5,DOUTE,CONTRADICTION,CONTRA(+5/-4),1220,649,144,649,0
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1,179,81,179,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.40),1387,159,81,159,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,191,81,191,1
0.5,DOUTE,EVIDENCE,EVID(n=1,E=0.41),2000,159,81,159,1
0.5,DOUTE,CONTRADICTION,CONTRA(+3/-2),2000,160,84,160,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.28),1386,166,105,166,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),860,170,95,170,1
0.5,DOUTE,CONTRADICTION,CONTRA(+5/-4),2000,316,131,316,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),2000,283,86,283,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.37),2000,166,81,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1174,476,169,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+5/-4),1220,649,144,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1,179,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.40),1387,159,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,191,81,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=1,E=0.41),2000,159,81,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+3/-2),2000,160,84,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.28),1386,166,105,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),860,170,95,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+5/-4),2000,316,131,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),2000,283,86,781.9027777777778,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.37),2000,166,81,81,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),1174,476,169,169,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+5/-4),1220,649,144,144,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),1,179,81,81,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.40),1387,159,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,191,81,81,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.41),2000,159,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+3/-2),2000,160,84,84,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.28),1386,166,105,105,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),860,170,95,95,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+5/-4),2000,316,131,131,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),2000,283,86,86,1
0.5,DOUTE,EVIDENCE,EVID(n=1,E=0.28),2000,161,81,161,0
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1808,2000,103,2000,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,182,147,182,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1,183,130,183,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),2000,253,112,253,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,281,81,281,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.47),2000,171,95,171,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1,197,194,197,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,199,81,199,1
0.5,DOUTE,EVIDENCE,EVID(n=1,E=0.30),1157,168,81,168,1
0.5,DOUTE,EVIDENCE,EVID(n=2,E=0.38),2000,168,81,168,1
0.5,DOUTE,CONTRADICTION,CONTRA(+3/-2),2000,185,189,185,1
0.5,UNIFORME,EVIDENCE,EVID(n=1,E=0.28),2000,161,81,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1808,2000,103,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,182,147,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1,183,130,781.9027777777778,1
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),2000,253,112,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,281,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.47),2000,171,95,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1,197,194,781.9027777777778,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,199,81,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=1,E=0.30),1157,168,81,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=2,E=0.38),2000,168,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+3/-2),2000,185,189,781.9027777777778,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.28),2000,161,81,81,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),1808,2000,103,103,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,182,147,147,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),1,183,130,130,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),2000,253,112,112,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,281,81,81,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.47),2000,171,95,95,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),1,197,194,194,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,199,81,81,0
0.5,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.30),1157,168,81,81,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.38),2000,168,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+3/-2),2000,185,189,189,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,200,108,200,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.42),2000,157,127,157,1
0.5,DOUTE,CONTRADICTION,CONTRA(+5/-4),2000,314,129,314,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1573,151,81,151,1
0.5,DOUTE,EVIDENCE,EVID(n=2,E=0.33),2000,179,81,179,1
0.5,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,278,184,278,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.36),1161,163,130,163,1
0.5,DOUTE,CONTRADICTION,CONTRA(+5/-4),2000,341,132,341,1
0.5,DOUTE,TOPOLOGIE,TOPO(ba),1991,2000,109,2000,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1320,295,166,295,1
0.5,DOUTE,EVIDENCE,EVID(n=3,E=0.42),2000,170,81,170,1
0.5,DOUTE,TOPOLOGIE,TOPO(ring),1,171,96,171,1
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,200,108,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.42),2000,157,127,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+5/-4),2000,314,129,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1573,151,81,781.9027777777778,1
0.5,UNIFORME,EVIDENCE,EVID(n=2,E=0.33),2000,179,81,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,278,184,781.9027777777778,0
