flip_B1,flip_B2,flip_B4a,flip_B4b,frac_B4a,frac_B4b,retard_B1_moins_B2,t_pulse
1294.0,1291.1666666666667,1270.75,nan,-7.205882352941396,nan,2.8333333333332575,500
5102.583333333333,2611.4166666666665,2562.0833333333335,nan,-0.019803305011038885,nan,2491.1666666666665,1500
6838.583333333333,4239.583333333333,4229.916666666667,4228.75,-0.0037193792484286497,-0.00416826984737708,2599.0,3000
7863.666666666667,5724.75,5395.583333333333,5386.916666666667,-0.15389410527136024,-0.15794600070128942,2138.916666666667,4500
,,,,-0.059138929843609266,-0.08105713527433325,,GLOBAL_utiles
