m,D,cc_drive_mean,cc_drive_std,H_cont_mean,H_cont_std,ac5_mean,ac50_mean,lz_mean,n_seeds
3,0.0,0.6679098121335564,0.3693033508663951,1.6943147091529163,0.31199482379091564,0.9951534371383328,0.72903678612692,1.0824179690101008,5
3,0.15,0.6684784054187565,0.3683840197956677,1.2732434119485427,0.1450120424731797,0.9950949558380504,0.7275265436587046,1.0849648348195364,5
3,0.5,0.668503697835576,0.36842821418866795,0.9494866876048352,0.054743145883851735,0.9950908824632909,0.7274463023268855,1.087511700628972,5
6,0.0,0.6679098121335564,0.3693033508663951,1.6943147091529163,0.31199482379091564,0.9951534371383328,0.72903678612692,1.0824179690101008,5
6,0.15,0.6687175084398517,0.367841217466052,1.0663993018515012,0.08491890181860602,0.9950875678442648,0.7272338074854966,1.0926054322478431,5
6,0.5,0.6687389792971211,0.3679019133599739,0.731434351666611,0.02476945473514404,0.9950857817040163,0.7272748095856006,1.0900585664384075,5
