t_pulse,seed,dstar,correct_B400,conf_u_B400,conf_sig_B400,correct_B800,conf_u_B800,conf_sig_B800,correct_B1600,conf_u_B1600,conf_sig_B1600
0,0,-1,1,0.5355852259046876,0.7725318235806465,1,0.35335040113874816,0.7402288521049305,1,0.20702143021538533,0.8831136021664915
0,1,-1,1,0.6955072053435373,0.7575761738613892,0,0.5435404783451251,0.7557746976177102,0,0.25458680387457266,0.7381787483713946
0,2,1,1,0.44040817326063175,0.5080727445006867,0,0.24557655016064972,0.7576457256291408,1,0.17609465519682233,0.8277513668240736
0,3,-1,1,0.6719442463697576,0.7810720335372826,1,0.5117198012534729,0.7226488930472581,0,0.22650823568777156,0.7836781397950424
0,4,1,1,0.3927988828917226,0.7482564727733907,1,0.20758367416890267,0.7689455819822522,0,0.16276031433615057,0.8619255737973854
0,5,-1,1,0.6342622578422594,0.7521883106136322,0,0.473056065566297,0.6694757147502985,1,0.23271921492946834,0.8473652719561591
0,6,-1,1,0.5798341172211655,0.7631049335580171,0,0.3999890575119843,0.7301330652067086,1,0.22751700817576082,0.8633045704415432
0,7,-1,1,0.5808831607218864,0.7679520413492251,0,0.428739261189391,0.7601298338619785,1,0.2301110661867446,0.863341014135989
0,8,-1,1,0.6754762011982935,0.788219428550661,1,0.5384573152343116,0.6748059254409424,0,0.2628107190061659,0.802590771462157
0,9,-1,1,0.600365245452082,0.7480206804071252,1,0.41521020981162815,0.6829810315436755,0,0.21375112260078655,0.8486474811890321
0,10,1,0,0.43203681337113686,0.6424141788377915,0,0.26000334345581255,0.7275944950855349,1,0.17562340889972117,0.8219324563334289
0,11,-1,1,0.5202827397430683,0.7882720551557886,0,0.33637503176598615,0.7415328575152581,1,0.21066163882099742,0.8799779071001482
0,12,-1,1,0.568924184420798,0.7246214672774962,1,0.3782585781156357,0.6941299304270134,1,0.1943630847362542,0.8396841040129549
0,13,1,1,0.41036812907096054,0.6220116776832809,0,0.23840120822796107,0.768689444459536,1,0.1701105166101411,0.8179432096627
0,14,-1,1,0.6035487109618975,0.7507717914599454,1,0.4386798088646233,0.7264314189687278,0,0.21879118296288813,0.8353530059963701
0,15,1,1,0.44468677548012014,0.6298082399332922,0,0.2548870805962461,0.7877881067361443,1,0.17043587915502034,0.8516286894769464
0,16,1,1,0.4893882085107124,0.35403169232313836,0,0.27723222554469085,0.7564666027710456,1,0.1686369980341348,0.8292617337163685
0,17,1,1,0.44658602208088727,0.5856764354444498,0,0.2764577990926931,0.7507870838145313,1,0.17422482957637808,0.8457723148765609
0,18,-1,1,0.6731294728024301,0.7907198779424226,0,0.5433607587258147,0.7167782186496621,1,0.23399505616735183,0.7464834521942001
0,19,-1,1,0.5519259201612808,0.7677899590040379,1,0.37277033115205094,0.6933668197586524,0,0.22030597248349537,0.8434575929586895
0,20,-1,1,0.539789420619702,0.7263939851683618,1,0.33015537150335306,0.708388265913579,1,0.20842621283005447,0.8807447444089885
0,21,-1,1,0.6297745307169402,0.7764134543039511,1,0.49202389680690783,0.6981554000563286,0,0.23808610069736602,0.805608569106454
0,22,-1,1,0.5413259282578665,0.7669812592332825,1,0.3605074880966215,0.7459755671995218,0,0.23244246276717462,0.8680028269201971
0,23,-1,1,0.6227174217197076,0.800269686326425,1,0.46354614786785664,0.7464177204790003,0,0.20530254743313547,0.8350965472152365
150,0,-1,1,0.3308515893472084,0.8375759005677711,1,0.21712437763451864,0.8253965711687672,0,0.19156410636718002,0.8904504738232233
150,1,-1,1,0.38257794638687415,0.76638943960321,1,0.23180282621761084,0.8177570244540733,0,0.20910985558075923,0.8916371565950122
150,2,1,1,0.44186247817861946,0.5004204120212634,0,0.24174589313577843,0.7563577746260481,1,0.1773362542097513,0.8523243013058827
150,3,-1,1,0.4139164493538986,0.7694486018513662,1,0.21984999783521642,0.7790769104762594,0,0.18027880112496264,0.8590059586125416
150,4,1,1,0.4049980446776219,0.6722313678200529,0,0.217159660648798,0.7894346609646791,0,0.15776199762500065,0.8543343233113059
150,5,-1,1,0.38268607525235443,0.7849345876446115,1,0.22615308487344676,0.8507938468906667,0,0.20102671676807238,0.8903600773274492
150,6,-1,1,0.3831255552887055,0.8174059567875589,1,0.23022956387495808,0.8128052018935052,0,0.20311469268739146,0.8759235626524515
150,7,-1,1,0.39007888170317884,0.7871535256846244,1,0.2410013848294541,0.8139694049773164,0,0.20111735436529177,0.8905826355268053
150,8,-1,1,0.43356426971722306,0.76280243881149,1,0.2678639119441023,0.8095601446808411,0,0.21658714670718537,0.8812927391580059
150,9,-1,1,0.41490876614631145,0.7759679469154972,1,0.27938146673385267,0.7672216778875103,0,0.22198504614685977,0.8677748949525007
150,10,1,1,0.501090765713028,0.5210372856334421,0,0.29693325975276963,0.6856685209738131,1,0.17323631379487836,0.8236292775593231
150,11,-1,1,0.3098719109891538,0.830152438284612,1,0.18994733442525902,0.8757359355964022,0,0.1883130205409419,0.8847896925862448
150,12,-1,1,0.342066176464799,0.795819126447669,1,0.20836231671999283,0.803726943525255,0,0.18846537843195776,0.8735011254545263
150,13,1,1,0.41462606305937466,0.5475943848022704,0,0.23304301612708667,0.7765971644298908,1,0.18014132846823538,0.8418471753675961
150,14,-1,1,0.3619418466125748,0.7943062415786251,1,0.2224843167525391,0.8202629457745063,0,0.20631124615441077,0.8859512540966238
150,15,1,1,0.4617694196504435,0.6152573718331875,0,0.27307843946678334,0.7630365067370544,1,0.18877122854312223,0.8569155325282516
150,16,1,1,0.4975632600026172,0.3188170650628791,0,0.2605764059875989,0.6883145445277306,1,0.16555135367260887,0.8264989923413824
150,17,1,1,0.4296407973351225,0.6153571880076403,0,0.23475594698305602,0.783519321440914,1,0.15865058437411372,0.8446216384492412
150,18,-1,1,0.3975164447618038,0.8098603654628191,1,0.24366750390104064,0.8074028643322161,0,0.21581304562051684,0.8986239568362848
150,19,-1,1,0.3919496644435959,0.7945785022970338,1,0.2172480087443993,0.760326072946761,0,0.18292266754896247,0.8671155441060586
150,20,-1,1,0.3820869146601674,0.7877185382191175,1,0.23922702190529266,0.7990647028864228,0,0.2038279453206997,0.8864511800570375
150,21,-1,1,0.38871953831740735,0.7722264251956801,1,0.23013767497992088,0.8052292763780377,0,0.1918437211405759,0.8804847876377179
150,22,-1,1,0.3621600291866469,0.81259884054299,1,0.22649659627596241,0.8117619446823201,0,0.20289756970259631,0.8906588349735916
150,23,-1,1,0.3818478587733929,0.783621800713747,1,0.23531647755307772,0.8164313111249387,0,0.1973322823849274,0.8904822940728166
350,0,-1,1,0.18649294536783056,0.8383539356176735,1,0.11710206389853706,0.9059812829671154,1,0.10620955069514348,0.8778499769290358
350,1,-1,1,0.25354724091175085,0.7234641105524944,1,0.13629853810631776,0.8789133790321941,0,0.14324486831245253,0.8774219427331363
350,2,1,1,0.4407743375928045,0.4861637875244026,0,0.11066036575805749,0.8111957831746188,1,0.10770257430757924,0.8781644215212834
350,3,-1,1,0.2579270341394492,0.7001159895341733,1,0.1340679759486697,0.8579422797286581,1,0.12527752859751684,0.8311469870292867
350,4,1,1,0.4177458145981183,0.6692319544896852,0,0.10767760545187033,0.8345459620950403,1,0.11018336542304175,0.8741217901339593
350,5,-1,1,0.2412529931091757,0.710826644180162,1,0.1328394224112488,0.8806794858921138,0,0.13371162046223317,0.8700706887885682
350,6,-1,1,0.22496665708312658,0.7540667312422071,1,0.11493944295534231,0.8872204866591438,0,0.1174088600758103,0.8619803490643332
350,7,-1,1,0.22734133811652224,0.7519955950090987,1,0.12376484452805903,0.9006715545697217,0,0.12881819092163482,0.8638660431725668
350,8,-1,1,0.27273407908106617,0.7232665922741284,1,0.1478768336501466,0.8794210685990943,0,0.15022978226576778,0.8805449201725997
350,9,-1,1,0.2707292543037173,0.7058377227981929,1,0.1444818493494211,0.8852651498967021,0,0.1463023353392946,0.8542524786251355
350,10,1,1,0.4906226471652624,0.4908447744531247,0,0.12101282261311908,0.7454539594502883,1,0.10997857366378094,0.8428709725764423
