topo,m,dt,n_steps,seed,h_cog,h_cont,sync,v_mean,u_mean
ba_m3_functional,3,0.01,15000,0,0.0,2.9803161888947947,0.6482159258573397,-1.6664032094869232,0.9739872047986821
ba_m3_functional,3,0.01,15000,1,0.0017954030199091374,3.1010793560810104,0.7619097478209017,-1.6793913677630596,0.9823322598218922
ba_m3_functional,3,0.01,15000,2,0.0,3.145795256291164,0.757388010847801,-1.6739405026992977,0.9794797452740331
ba_m3_functional,3,0.01,15000,3,0.0,2.9500679883050025,0.8133746995906836,-1.687651830097537,0.9894678438461213
ba_m3_functional,3,0.01,15000,4,0.0,2.911757447189124,0.7734995472343765,-1.676615700963435,0.9809104649407172
ba_m3_functional,3,0.02,7500,0,0.0,3.1805234146166015,0.5681670983512335,-1.6721867242148865,0.9712307660017445
ba_m3_functional,3,0.02,7500,1,0.0017954030199091374,3.2102645486388126,0.6648484519065948,-1.6771916731340744,0.9766863091389258
ba_m3_functional,3,0.02,7500,2,0.0017954030199091374,3.3351284400577446,0.6697265762505522,-1.697421664207758,0.9781032885428149
ba_m3_functional,3,0.02,7500,3,0.0017954030199091374,3.227425296599832,0.7860531929636076,-1.6961397408647108,0.987929698807125
ba_m3_functional,3,0.02,7500,4,0.0,3.160211140031442,0.6388688971585567,-1.6695215268309598,0.9786706832390906
ba_m3_functional,3,0.05,3000,0,0.0035908060398182748,3.594608132611811,0.41105032792501134,-1.6762777281676646,0.9749665880556706
ba_m3_functional,3,0.05,3000,1,0.0,3.50519550064583,0.4378871959018545,-1.674616471779015,0.9741465819883731
ba_m3_functional,3,0.05,3000,2,0.007178373651858735,3.6402261270856173,0.46430541079817506,-1.6966056061691084,0.9696856059046671
ba_m3_functional,3,0.05,3000,3,0.0,3.488875164796576,0.542644183434409,-1.6818076290950865,0.9827747216259592
ba_m3_functional,3,0.05,3000,4,0.0017954030199091374,3.4894082367450228,0.45281825104180234,-1.668100494562841,0.9680567253752891
ba_m3_functional,3,0.1,1500,0,0.0071816120796365495,3.69490354591561,0.3061569786811756,-1.6905211433754816,0.9706557891659862
ba_m3_functional,3,0.1,1500,1,0.019301750346778248,3.7410700254110782,0.37164384622955493,-1.6769004337115945,0.9692392253334228
ba_m3_functional,3,0.1,1500,2,0.008522822325445182,3.7666739486757224,0.43407968027841864,-1.6696455255364844,0.9607866490040209
ba_m3_functional,3,0.1,1500,3,0.004938526187505152,3.720845212670767,0.43931757043880443,-1.6909534228720993,0.9797802114499079
ba_m3_functional,3,0.1,1500,4,0.012120138267141702,3.6428970289012033,0.42777408010974094,-1.6491365462787935,0.9503325284312014
ba_m5_critical,5,0.01,15000,0,0.0,2.289640107220412,0.23933014926671992,-1.9424734887295394,0.9997178624699353
ba_m5_critical,5,0.01,15000,1,0.0,2.343293825939514,0.1942949487124305,-1.9352710965747661,0.9995116251789438
ba_m5_critical,5,0.01,15000,2,0.0,2.325605776848445,0.09450487461871337,-1.9225104469436292,0.9996940089701281
ba_m5_critical,5,0.01,15000,3,0.0,2.3202137449224223,0.2709412073259231,-1.930510323430423,0.9993213297688572
ba_m5_critical,5,0.01,15000,4,0.0,2.3517985226739895,0.2658989344695385,-1.944840716731796,0.9996703474729735
ba_m5_critical,5,0.02,7500,0,0.0,2.6330119394650313,0.31021861957576435,-1.9427842007966776,0.9996409223048106
ba_m5_critical,5,0.02,7500,1,0.0,2.556736029035822,0.13323678581575382,-1.9361139892240473,0.9998556733764912
ba_m5_critical,5,0.02,7500,2,0.0,2.6572482162048945,0.10089848181705265,-1.9259318420439973,0.9998077582148642
ba_m5_critical,5,0.02,7500,3,0.0,2.7730904587412977,0.28397980051472266,-1.9275868249206305,0.9996313694618485
ba_m5_critical,5,0.02,7500,4,0.0,2.7582554239352874,0.339946492979282,-1.9405246371596838,0.9998666424630998
ba_m5_critical,5,0.05,3000,0,0.0,2.94180366378653,0.024370722452515446,-1.9526051826947906,0.9999282873151752
ba_m5_critical,5,0.05,3000,1,0.0,3.0098689094408426,0.1422726690003963,-1.9306176832662103,0.999337027492322
ba_m5_critical,5,0.05,3000,2,0.0,2.939262006421322,0.14473426876699935,-1.9210507199213678,0.999900659780465
ba_m5_critical,5,0.05,3000,3,0.0,3.10475626576732,0.15560120707512423,-1.953325160576803,0.9997279847037336
ba_m5_critical,5,0.05,3000,4,0.0,3.055034876979801,0.18887414974450253,-1.9517177956983285,0.9998762106479243
ba_m5_critical,5,0.1,1500,0,0.0,3.141862922786442,0.054910194422827914,-1.950846939869608,0.999567715958729
ba_m5_critical,5,0.1,1500,1,0.0,3.074961620294727,0.07236536152783214,-1.925255526681225,0.9994384867203786
ba_m5_critical,5,0.1,1500,2,0.0,2.9994713487690965,0.16258130085735106,-1.8902208879581206,0.9950424167873086
ba_m5_critical,5,0.1,1500,3,0.0,3.131639810789248,0.13444380411990134,-1.9215467876919474,0.9983784430935987
ba_m5_critical,5,0.1,1500,4,0.0,3.0423354224413726,0.08481033644752958,-1.9606200184010394,0.9997447079283106
ba_m8_dead_zone,8,0.01,15000,0,0.0,1.8888770287829224,0.10384657197067682,-2.1689588177982273,0.9999500093011383
ba_m8_dead_zone,8,0.01,15000,1,0.0,1.8657038740970902,0.09913406971960052,-2.170250781923417,0.9999252361034918
ba_m8_dead_zone,8,0.01,15000,2,0.0,1.8579072076676486,0.1365219998531738,-2.1673869024592705,0.9999816139504472
ba_m8_dead_zone,8,0.01,15000,3,0.0,1.9501988442612828,0.1944413947425926,-2.171302277443432,0.9999585114881734
ba_m8_dead_zone,8,0.01,15000,4,0.0,1.9035292824931687,0.1299897081235444,-2.1694653864436293,0.9999856400240686
ba_m8_dead_zone,8,0.02,7500,0,0.0,2.2468415897972265,0.28624023301021756,-2.1749387988702678,0.9999957786510473
ba_m8_dead_zone,8,0.02,7500,1,0.0,2.2886321368837335,0.25291671558755724,-2.1773663450695326,0.9999443430461088
ba_m8_dead_zone,8,0.02,7500,2,0.0,2.2465791023624555,0.14783728886857694,-2.1646028413090446,1.0
ba_m8_dead_zone,8,0.02,7500,3,0.0,2.251353514543604,0.08267686110941574,-2.172247539918928,0.9999861823716817
ba_m8_dead_zone,8,0.02,7500,4,0.0,2.318505571669249,0.177681584948332,-2.175385620499801,0.9999636161216198
