topology,N,sync_mean,sync_std
lattice_4x4,16,0.13632596877770076,0.08839400419285091
lattice_10x10,100,0.01968181350764929,0.01423043113727081
lattice_25x25,625,0.005254098479892033,0.0031738167075808627
