seed,dstar,n_states_FULL,hamming_FULL,minority_FULL,hcont_FULL,u_end_FULL,correct_final,correct_at_conv,n_states_FROZ_05,hamming_FROZ_05,minority_FROZ_05,hcont_FROZ_05,u_end_FROZ_05,n_states_FROZ_HIGH,hamming_FROZ_HIGH,minority_FROZ_HIGH,hcont_FROZ_HIGH,u_end_FROZ_HIGH,n_states_FROZ_LOW,hamming_FROZ_LOW,minority_FROZ_LOW,hcont_FROZ_LOW,u_end_FROZ_LOW
0,-1,32,0.2408026755852843,0.030600000000000006,3.5356992555585838,0.8844796494725107,1,0,56,0.3377926421404682,0.045233333333333334,3.7724336779962506,0.5004181691845523,17,0.1806020066889632,0.017233333333333333,3.3205859167094784,0.9501594890077005,31,0.24749163879598662,0.03206666666666667,3.431897776973092,0.050148392878737555
1,-1,32,0.2709030100334448,0.0329,3.544569530162505,0.8603061608572408,1,0,65,0.411371237458194,0.0514,3.8316700828939916,0.5003447974931848,20,0.21739130434782608,0.0183,3.3400989539527313,0.9501735495796377,33,0.27759197324414714,0.0337,3.4050370141022603,0.05014013882362803
2,1,39,0.35785953177257523,0.027766666666666672,3.6995538210492365,0.8783926676471115,0,1,113,0.7993311036789298,0.1062,3.895172271647306,0.5004135772534453,12,0.1705685618729097,0.009666666666666667,3.4201021386037884,0.9500531415152075,161,1.1304347826086956,0.13283333333333333,4.2598742282074324,0.050311882066675064
3,-1,27,0.2608695652173913,0.03203333333333333,3.52967152646494,0.8918058184370348,1,0,46,0.33444816053511706,0.043699999999999996,3.7224879986160873,0.5001536594806884,18,0.1939799331103679,0.015833333333333335,3.3510358466082013,0.9501970427891129,29,0.2608695652173913,0.032733333333333337,3.4168562825571476,0.05017425939880654
4,1,44,0.36454849498327757,0.0259,3.70410564680014,0.8688819938230167,0,1,103,0.7792642140468228,0.09886666666666667,3.8959459262352385,0.5005532357452157,12,0.1705685618729097,0.007833333333333335,3.409652033911635,0.9501001324080258,153,1.0936454849498327,0.12456666666666669,4.210443161890695,0.05040424211730651
5,-1,32,0.25418060200668896,0.02956666666666667,3.566801196431072,0.9005009746927558,1,0,56,0.34782608695652173,0.04346666666666667,3.723179134428125,0.5001091312104312,15,0.17391304347826086,0.014600000000000002,3.341155861818098,0.9501869647783466,28,0.2608695652173913,0.0301,3.3743755090251035,0.05014034994019391
6,-1,33,0.23076923076923078,0.030500000000000003,3.5262110788232084,0.8822740145382899,1,0,66,0.35451505016722407,0.04796666666666667,3.8056792548371035,0.500184402885522,19,0.16387959866220736,0.015500000000000002,3.3167879860623533,0.9502024571175833,34,0.23745819397993312,0.032200000000000006,3.4326392841912927,0.050188497523018655
7,-1,29,0.22742474916387959,0.02926666666666667,3.5346286085738967,0.9210151069097361,1,0,67,0.34782608695652173,0.04716666666666667,3.780028233395498,0.500187120080617,16,0.17391304347826086,0.01736666666666667,3.3409516662236305,0.9501848455156966,27,0.22742474916387959,0.030833333333333334,3.3946751256224887,0.05015862256219906
8,-1,31,0.2508361204013378,0.031799999999999995,3.5453648652841694,0.8878382327847412,1,0,59,0.38461538461538464,0.049466666666666666,3.835282800012336,0.5000845199449752,17,0.18394648829431437,0.015566666666666666,3.339491862344924,0.9501950444893472,33,0.26421404682274247,0.0335,3.421693801549571,0.05014411173168784
9,-1,31,0.2608695652173913,0.028966666666666672,3.51022497144609,0.882353456007008,1,0,46,0.34782608695652173,0.04276666666666667,3.780912004772985,0.5001733049425262,16,0.1806020066889632,0.014199999999999999,3.34556612543008,0.9501846583780141,35,0.27424749163879597,0.03186666666666667,3.459457982112712,0.050150263087611904
10,1,42,0.4013377926421405,0.026233333333333334,3.7388529403136923,0.8721966485120514,0,1,99,0.802675585284281,0.10100000000000002,3.928499434100048,0.5006815399721389,12,0.17391304347826086,0.0074,3.393010210748905,0.9500574280884038,145,1.0167224080267558,0.11763333333333333,4.12127440956549,0.05056711700825999
11,-1,31,0.23411371237458195,0.0286,3.563534701819432,0.8842430447293098,1,0,56,0.34782608695652173,0.044500000000000005,3.7375032693108823,0.5003623814296572,21,0.1939799331103679,0.0167,3.333096805075326,0.9501775239075608,32,0.24414715719063546,0.0287,3.408730642133525,0.05025620344944724
12,-1,27,0.26421404682274247,0.03266666666666667,3.5805238753089004,0.9028194631750983,1,0,47,0.3377926421404682,0.04366666666666667,3.680778364949054,0.5001162659624089,19,0.21739130434782608,0.019233333333333335,3.3761986823473893,0.9501617923790491,34,0.27759197324414714,0.03416666666666667,3.4178850818759248,0.05013034129076506
13,1,44,0.36454849498327757,0.025133333333333337,3.768644476740237,0.8710604911241344,0,0,120,0.7892976588628763,0.1014,3.9828911903576922,0.5006583574407348,11,0.14381270903010032,0.006366666666666667,3.407133227673644,0.9500612396842147,168,1.2040133779264215,0.13099999999999998,4.315355523027109,0.050462697865807364
14,-1,32,0.24414715719063546,0.030666666666666665,3.533373727077721,0.8827825791460042,1,0,56,0.3511705685618729,0.04576666666666667,3.787553250660273,0.5001747439661883,16,0.18394648829431437,0.01656666666666667,3.315549030795581,0.9501850822306175,31,0.2508361204013378,0.03203333333333334,3.43064781205397,0.050160736708792925
15,1,42,0.3712374581939799,0.02783333333333333,3.7243047557661217,0.8776808671397106,0,1,109,0.8060200668896321,0.10713333333333333,3.8784659168880684,0.5006013225410273,15,0.1705685618729097,0.0094,3.4119421094968487,0.9500546602292804,152,1.1471571906354514,0.13123333333333334,4.1870407809310715,0.05051169057759802
16,1,44,0.36454849498327757,0.02496666666666667,3.7088499381886937,0.8624195869660879,0,1,118,0.802675585284281,0.1013,3.9979975897050433,0.5006037887354371,13,0.1505016722408027,0.006266666666666666,3.4023399845659887,0.9500895428911208,154,1.0903010033444815,0.12173333333333332,4.199561054031704,0.050522578669246226
17,1,43,0.3879598662207358,0.026600000000000002,3.730355266910088,0.875319135679746,0,1,117,0.8461538461538461,0.10636666666666668,3.990450606131543,0.5005349837532057,13,0.1939799331103679,0.008700000000000001,3.431306815661774,0.9500712235732622,154,1.1070234113712374,0.12823333333333334,4.194666751532,0.05039477688469167
18,-1,32,0.23411371237458195,0.026666666666666665,3.5070782189777274,0.8820443446341423,1,0,49,0.3177257525083612,0.0405,3.748652126353633,0.5002798184946278,14,0.14715719063545152,0.011833333333333335,3.31711455506197,0.950186501389766,41,0.24749163879598662,0.029833333333333326,3.4395833019131223,0.05016885784737031
19,-1,32,0.26755852842809363,0.03283333333333334,3.635017143146204,0.9153832469185389,1,0,59,0.36789297658862874,0.04870000000000001,3.7879374522202123,0.5003145444606386,17,0.18729096989966554,0.0165,3.3396362244105906,0.9501658415253429,34,0.26755852842809363,0.03383333333333333,3.43394032856074,0.050148428825125796
