m,rule,graph_seed,dyn_seed,cpu_time_s,cpu_energy_J,stno_time_s,stno_energy_J,gst_time_s,gst_energy_J,nbo2_time_s,nbo2_energy_J,h_cont,h_cog,sync
3,UNDIRECTED,1,42,0.9915000999972108,64.4475064998187,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.580436066860588,0.09982513749400504,0.0023289669246480066
3,UNDIRECTED,1,123,1.0052342999988468,65.34022949992504,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.6510195225416933,0.1605773172271851,0.00662255718190125
3,UNDIRECTED,1,777,0.9707799000025261,63.1006935001642,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.681210616547197,0.13129170998311135,0.020647043564059202
3,UNDIRECTED,2,42,0.9894161999982316,64.31205299988505,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.6194221431121925,0.08728615368372922,0.00963185057893029
3,UNDIRECTED,2,123,1.013330900001165,65.86650850007572,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.758260547875253,0.21501837246059005,0.03209138174593103
3,UNDIRECTED,2,777,1.0343123999991803,67.23030599994672,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.655694982299234,0.11008362358289275,0.02194071811852296
3,UNDIRECTED,3,42,1.023106499997084,66.50192249981046,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.599001760705188,0.09232432586026645,-0.0025277421756794345
3,UNDIRECTED,3,123,1.0704935999965528,69.58208399977593,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.823284993470655,0.2779598900252501,0.013465535744957801
3,UNDIRECTED,3,777,1.0292407999950228,66.90065199967648,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.6890591678993676,0.17647612781045496,0.016234894361521392
3,RANDOM,1,42,0.9022094999963883,58.64361749976524,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.742201555347044,0.17627228874948478,0.08805998905992386
3,RANDOM,1,123,0.8795037000018056,57.16774050011736,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.8760484861219062,0.32570112152819525,0.013571332352206034
3,RANDOM,1,777,0.882641500000318,57.37169750002067,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.871880815862488,0.2458479553574071,0.0030650625607280377
3,RANDOM,2,42,0.9219230000016978,59.92499500011036,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.726923883767358,0.24176113415260025,0.05373503700146253
3,RANDOM,2,123,0.8863783999986481,57.614595999912126,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.9638098694928643,0.31136046098756687,0.014750782341786901
3,RANDOM,2,777,0.920154100000218,59.81001650001417,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.910641853055348,0.20353545027545572,0.023772983985179668
3,RANDOM,3,42,0.877880300002289,57.062219500148785,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.8253911870329023,0.28063489585277557,0.0854319907068327
3,RANDOM,3,123,0.8712668000007397,56.632342000048084,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.089607923346418,0.3388849974553605,0.04895445168014763
3,RANDOM,3,777,0.9046148999987054,58.79996849991585,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.9693584749105053,0.3790618517605023,0.06091511038647129
3,HUBS_LISTEN,1,42,0.8160528000007616,53.043432000049506,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.043684663771441,0.35265868259302485,0.013131619836103883
3,HUBS_LISTEN,1,123,0.8220446999985143,53.43290549990343,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.144157186768678,0.38463159284268855,0.034480422649086
3,HUBS_LISTEN,1,777,0.8196379000000888,53.276463500005775,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.1293839513048045,0.39239265692780956,0.04255269683699021
3,HUBS_LISTEN,2,42,0.814222900000459,52.92448850002984,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,4.124632057441288,0.41257870708790134,0.0472877213978128
