N,m,seed,D,H_cont,LZ_pivot,LZ_others,tracking_corr,tracking_err,u_mean
100,3,42,0.0,3.464446234153532,2.1876513654575493,2.1159250911802525,0.8967324053317351,0.0563845898871675,0.04999999999999999
100,3,123,0.0,3.2927888943027233,2.0083356797643077,2.0441988169029557,0.605141628569504,0.10878305219550065,0.04999999999999999
100,3,777,0.0,3.34590872729306,1.7214305826551208,2.097993522610928,0.37334375408691955,0.19340638975234428,0.04999999999999999
100,6,42,0.0,3.464446234153532,2.1876513654575493,2.1159250911802525,0.8967324053317351,0.0563845898871675,0.04999999999999999
100,6,123,0.0,3.2927888943027233,2.0083356797643077,2.0441988169029557,0.605141628569504,0.10878305219550065,0.04999999999999999
100,6,777,0.0,3.34590872729306,1.7214305826551208,2.097993522610928,0.37334375408691955,0.19340638975234428,0.04999999999999999
100,3,42,0.15,2.246398963419809,2.133856659749577,2.2235145025961973,0.9404327866554939,0.045248577459775376,0.18753353522180885
100,3,123,0.15,2.2220880469564364,2.1159250911802525,2.1876513654575493,0.8802303390081754,0.0563729915639934,0.18494339618919503
100,3,777,0.15,2.2369188356896155,2.151788228318901,2.06213038547228,0.8728706991846411,0.061689724887473735,0.17505616047132067
100,6,42,0.15,4.282504177415118,1.5779780341005274,1.3269360741299887,0.4648280886574079,0.46477656357835734,0.9571665154329879
100,6,123,0.15,3.7828006815229127,1.9007462683483625,1.972472542625659,0.9157698333528952,0.13713647586530206,0.5966283380327602
100,6,777,0.15,3.9789192305245686,1.954540974056335,1.5959096026698514,0.8047438114330195,0.32623862991602076,0.7867668890737752
100,3,42,0.5,1.7222098193457704,2.2055829340268733,2.151788228318901,0.9619726070319684,0.03812982437508991,0.11805420622336717
100,3,123,0.5,1.721826229280823,2.1159250911802525,2.097993522610928,0.9459737962744861,0.03820564503843556,0.1266584500548899
100,3,777,0.5,1.726878034541705,2.151788228318901,2.097993522610928,0.9537667318829105,0.03931209133690337,0.13073004040212333
100,6,42,0.5,4.43985505179309,1.1655519570060713,1.2014150941447197,0.9832826472380947,0.21949769541490788,0.6511257298318963
100,6,123,0.5,4.176040101074028,1.2731413684220163,1.2731413684220163,0.9871903967206483,0.14796417945686988,0.5897785724893663
100,6,777,0.5,4.294899776959484,1.6138411712391758,1.7214305826551208,0.6644163330192052,0.401827671497457,0.575985152875442
