seed,dstar,n_states_FULL,hamming_FULL,minority_FULL,hcont_FULL,u_end_FULL,correct_final,correct_at_conv,n_states_FROZ_05,hamming_FROZ_05,minority_FROZ_05,hcont_FROZ_05,u_end_FROZ_05,n_states_FROZ_HIGH,hamming_FROZ_HIGH,minority_FROZ_HIGH,hcont_FROZ_HIGH,u_end_FROZ_HIGH,n_states_FROZ_LOW,hamming_FROZ_LOW,minority_FROZ_LOW,hcont_FROZ_LOW,u_end_FROZ_LOW
20,-1,34,0.2608695652173913,0.032600000000000004,3.5938055174116155,0.9138498868387843,1,0,56,0.3511705685618729,0.045700000000000005,3.7676991007511447,0.5003034703184132,16,0.2040133779264214,0.017866666666666666,3.2966514952387773,0.950162060134364,38,0.2909698996655518,0.035866666666666665,3.457168550646345,0.05015486512611081
21,-1,31,0.2508361204013378,0.03326666666666667,3.5754276021812577,0.9112123576679262,1,0,62,0.35451505016722407,0.0478,3.802995293660673,0.5002072231180485,17,0.19063545150501673,0.017833333333333336,3.3086104649540875,0.9501927861476952,35,0.2709030100334448,0.035666666666666666,3.481239863353215,0.05018365559470706
22,-1,30,0.25752508361204013,0.03336666666666666,3.5813168615485513,0.9098023449629083,1,0,55,0.3411371237458194,0.04683333333333334,3.7581973353656486,0.5003833354994885,17,0.19063545150501673,0.017233333333333333,3.346530936098154,0.950182696499249,33,0.25752508361204013,0.03386666666666667,3.4313407540817917,0.050172338942453064
23,-1,29,0.2608695652173913,0.030533333333333332,3.5072045283080886,0.9002688839747218,1,0,62,0.36454849498327757,0.0461,3.7561453648258087,0.5002539604405551,18,0.20735785953177258,0.017766666666666667,3.358596403878035,0.9501569977430667,37,0.2709030100334448,0.032433333333333335,3.4361627331438527,0.050272039684941705
24,1,39,0.3612040133779264,0.026000000000000002,3.714844986110399,0.865077067189654,1,0,103,0.7725752508361204,0.10036666666666667,3.8964474472518678,0.5004131445587268,13,0.14715719063545152,0.0070999999999999995,3.428116783234247,0.9501107997791999,155,1.120401337792642,0.1269,4.2017392874502395,0.05040314444952429
25,1,39,0.3879598662207358,0.027300000000000005,3.7437493494725564,0.8703930814510507,0,1,122,0.8193979933110368,0.10480000000000002,3.956527381041877,0.5005849867264471,13,0.1806020066889632,0.0088,3.4190624070011792,0.950067351864209,175,1.2274247491638797,0.13556666666666667,4.3146111671279535,0.0506063844850816
26,-1,33,0.24414715719063546,0.030166666666666665,3.614922467204436,0.9113344767887139,1,0,62,0.3612040133779264,0.0473,3.777189940790485,0.500238956070458,17,0.1705685618729097,0.015666666666666666,3.358831858925316,0.9501679276248959,34,0.24414715719063546,0.031100000000000006,3.400951371921773,0.05015404020635462
27,-1,30,0.25752508361204013,0.0302,3.568587395229405,0.8884297166241403,1,0,45,0.3110367892976589,0.04016666666666666,3.674536333326864,0.5001277927099554,18,0.21070234113712374,0.0188,3.3495141102974992,0.950166763554453,29,0.25752508361204013,0.031066666666666666,3.379420642554963,0.050155692174490986
28,1,35,0.3277591973244147,0.024666666666666667,3.732306163920664,0.8504824322936717,1,1,109,0.745819397993311,0.09780000000000001,3.858006299202469,0.5004684567288699,14,0.15384615384615385,0.008066666666666666,3.398159959525533,0.9500929722344515,162,1.1438127090301002,0.13040000000000002,4.212512537423748,0.05028034530844953
29,1,38,0.3712374581939799,0.028166666666666663,3.7229262953324755,0.8679171932412458,0,1,107,0.8093645484949833,0.10523333333333333,3.870312403483506,0.5005477124566459,14,0.17725752508361203,0.008866666666666667,3.399477320851543,0.950086304567028,150,1.137123745819398,0.128,4.1572568289283165,0.05050394746231553
30,1,38,0.3377926421404682,0.024900000000000002,3.7309686840274465,0.8710755137211188,0,0,120,0.7892976588628763,0.1043,3.9834380826579916,0.5005241526059659,13,0.13712374581939799,0.006733333333333333,3.4228446365422616,0.9500732006386877,162,1.0735785953177257,0.12436666666666668,4.180821265729919,0.05045586820665518
31,-1,27,0.25418060200668896,0.03,3.4775235166730702,0.8749556508634397,1,0,57,0.36789297658862874,0.04563333333333334,3.7369069690637753,0.5003182970680063,19,0.1939799331103679,0.0162,3.350657754923345,0.9501771780796353,31,0.25418060200668896,0.030233333333333334,3.388481700652062,0.05015507415429383
32,1,36,0.3712374581939799,0.027,3.7304096268722695,0.8692959715990584,0,1,126,0.8361204013377926,0.10640000000000001,3.9967081712907686,0.5005881610823639,12,0.1705685618729097,0.008333333333333333,3.409996945692658,0.9500460895011065,172,1.140468227424749,0.12996666666666665,4.266939412290683,0.05036111675156156
33,-1,34,0.2842809364548495,0.0344,3.519429338583217,0.9014339027424666,1,0,53,0.35785953177257523,0.045533333333333335,3.74579733481044,0.5003721027687136,18,0.22408026755852842,0.019100000000000002,3.3531644628812214,0.9502254208919247,36,0.2842809364548495,0.0339,3.428165809655083,0.05016506552913921
34,-1,31,0.25418060200668896,0.03163333333333333,3.4894832642018523,0.9178124403145398,1,0,65,0.3712374581939799,0.048266666666666666,3.793679429556032,0.50028549193443,15,0.17391304347826086,0.01576666666666667,3.3598976975296635,0.9501915302623638,39,0.27424749163879597,0.034,3.4641006403403662,0.050185693626562514
35,-1,31,0.25418060200668896,0.03303333333333333,3.524658466994436,0.8970225145090588,1,0,63,0.3745819397993311,0.04993333333333334,3.8160151364481196,0.5005616815105188,16,0.20735785953177258,0.019033333333333336,3.307407105505896,0.9501479273391731,34,0.25418060200668896,0.0333,3.4248136005007126,0.050177210333314994
36,1,40,0.3712374581939799,0.025166666666666667,3.7679133092518757,0.8640189868522183,0,0,115,0.7959866220735786,0.10033333333333334,3.936786809558174,0.5005996945224847,13,0.15719063545150502,0.006866666666666667,3.4350916069950457,0.9501104765774402,136,1.0334448160535117,0.11546666666666666,4.130147593396499,0.05060720779200304
37,1,39,0.3377926421404682,0.025233333333333333,3.726829379330925,0.8651049688670872,1,0,108,0.7725752508361204,0.1018,3.930530671167059,0.5005507108268211,11,0.14381270903010032,0.007533333333333333,3.360906761909365,0.9500948403606269,144,1.0535117056856187,0.12146666666666665,4.134213779418394,0.05038312818266392
38,1,35,0.3210702341137124,0.023733333333333335,3.748828205600326,0.8578652476092141,0,1,104,0.7859531772575251,0.1008,3.8725270615846767,0.5006880532593969,14,0.18729096989966554,0.009,3.3979231361786644,0.9501018197632277,160,1.2474916387959867,0.13503333333333334,4.21173918892102,0.05071482087097465
39,1,43,0.38127090301003347,0.025866666666666673,3.728539856022442,0.8614500796101535,0,0,116,0.8060200668896321,0.1008,3.940501326833242,0.5004460629864262,12,0.1605351170568562,0.0063999999999999994,3.4089526162320967,0.9500426091397344,143,1.080267558528428,0.11919999999999999,4.127610104142204,0.05046906668346441
