m,label,H_cont,H_std,synchrony,lz_complexity
3,V4 D=0.15 static,3.6918230688834845,0.05001524899628307,0.004842580998799001,0.8738557689197683
3,D(u) alpha=-0.5,4.3531461800287765,0.08921086179985302,0.026924359552385455,0.9343748128412376
3,D(u) alpha=-4.0,5.012052907478327,0.030439609192530467,0.009532856592118888,1.0396387239583489
5,V4 D=0.15 static,3.2023319149940708,0.09036583739121823,-0.0033631689420902744,0.8677478283758422
5,D(u) alpha=-0.5,3.724740404895229,0.0979417840455459,0.0288172667488649,0.9007251036978652
5,D(u) alpha=-4.0,5.0598980816051595,0.05944095478750236,0.017882028507684708,0.8947852716092766
7,V4 D=0.15 static,2.850686922393955,0.07992288772894014,-0.005718823196568648,0.8383008306159052
7,D(u) alpha=-0.5,3.952553508307502,0.0998692489985822,-0.005916025142257924,0.6104578374819303
7,D(u) alpha=-4.0,4.089700532663612,0.10346010527430605,-0.00485725980317493,0.6232060620116843
