readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,5,-1,7097,1
L0_JUMELLE,STNO_FULL,3000,6,-1,6294,1
L1_BRUIT_INDEP,STNO_FULL,3000,6,-1,6406,1
L4_ETAT_INDEP,STNO_FULL,3000,6,-1,6040,1
L5_OMEGA_INDEP,STNO_FULL,3000,6,-1,6445,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,6,-1,6275,1
L0_JUMELLE,STNO_FULL,3000,7,-1,8837,1
L1_BRUIT_INDEP,STNO_FULL,3000,7,-1,8256,1
L4_ETAT_INDEP,STNO_FULL,3000,7,-1,7304,1
L5_OMEGA_INDEP,STNO_FULL,3000,7,-1,6315,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,7,-1,6061,1
L0_JUMELLE,STNO_FULL,3000,8,-1,6667,1
L1_BRUIT_INDEP,STNO_FULL,3000,8,-1,6861,1
L4_ETAT_INDEP,STNO_FULL,3000,8,-1,9001,0
L5_OMEGA_INDEP,STNO_FULL,3000,8,-1,6741,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,8,-1,5862,1
L0_JUMELLE,STNO_FULL,3000,9,-1,6039,1
L1_BRUIT_INDEP,STNO_FULL,3000,9,-1,5417,1
L4_ETAT_INDEP,STNO_FULL,3000,9,-1,7180,1
L5_OMEGA_INDEP,STNO_FULL,3000,9,-1,7098,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,9,-1,7040,1
L0_JUMELLE,STNO_FULL,3000,10,1,6243,1
L1_BRUIT_INDEP,STNO_FULL,3000,10,1,6408,1
L4_ETAT_INDEP,STNO_FULL,3000,10,1,4779,1
L5_OMEGA_INDEP,STNO_FULL,3000,10,1,5871,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,10,1,5562,1
L0_JUMELLE,STNO_FULL,3000,11,-1,8068,1
L1_BRUIT_INDEP,STNO_FULL,3000,11,-1,8871,1
L4_ETAT_INDEP,STNO_FULL,3000,11,-1,7688,1
L5_OMEGA_INDEP,STNO_FULL,3000,11,-1,6979,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,3000,11,-1,6916,1
L0_JUMELLE,STNO_FULL,4500,0,-1,6542,1
L1_BRUIT_INDEP,STNO_FULL,4500,0,-1,6523,1
L4_ETAT_INDEP,STNO_FULL,4500,0,-1,6008,1
L5_OMEGA_INDEP,STNO_FULL,4500,0,-1,6344,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,0,-1,6127,1
L0_JUMELLE,STNO_FULL,4500,1,-1,8154,1
L1_BRUIT_INDEP,STNO_FULL,4500,1,-1,7786,1
L4_ETAT_INDEP,STNO_FULL,4500,1,-1,6792,1
L5_OMEGA_INDEP,STNO_FULL,4500,1,-1,7358,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,1,-1,7230,1
L0_JUMELLE,STNO_FULL,4500,2,1,7551,1
L1_BRUIT_INDEP,STNO_FULL,4500,2,1,8669,1
L4_ETAT_INDEP,STNO_FULL,4500,2,1,8120,1
L5_OMEGA_INDEP,STNO_FULL,4500,2,1,8178,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,2,1,8565,1
L0_JUMELLE,STNO_FULL,4500,3,-1,6276,1
L1_BRUIT_INDEP,STNO_FULL,4500,3,-1,6342,1
