gain_u,sigma_capteur,u_mean,u_max_mean,sigma_social_capte,n_seeds_switching,R_FULL_mean,R_FROZEN_mean,cohen_d,cohen_d_u_fige_meme_niveau,cohen_d_capteur_aveugle
1.0,0.0,0.06082160244170485,0.06876505619715939,0.15097058221033763,0,0.6126382493227748,0.6202322659168673,0.07891027130242396,nan,nan
1.0,0.05,0.0628544005826583,0.07147373237373515,0.16188271200086662,0,0.6113694111994601,0.6202322659168673,0.09186720915404162,nan,nan
1.0,0.1,0.06814068638780116,0.07880378559200485,0.193506074432669,0,0.6079354808855614,0.6202322659168673,0.12659412813492946,nan,nan
1.0,0.2,0.08500619613897606,0.102916959693545,0.29050596323944805,0,0.595916270289211,0.6202322659168673,0.24512670811065382,nan,nan
1.0,0.4,0.137242921482756,0.1781009405560422,0.5235127996825077,0,0.5488106413071899,0.6202322659168673,0.6768201871923291,nan,nan
1.0,0.8,0.3004338953277671,0.4109367299406089,1.0221106265134998,0,0.3244219952997142,0.6202322659168673,3.220793022035943,3.733225097373851,3.127356276341943
5.0,0.0,0.15691990363006353,0.25170417416907387,0.16607983937757784,0,0.49097701432568713,0.6202322659168673,1.3489355383836361,nan,nan
5.0,0.05,0.18350197678259378,0.2937811355439811,0.18176137937978723,0,0.45905745246209684,0.6202322659168673,1.6620710251847803,1.2973749640854957,0.2891785303719846
5.0,0.1,0.2599733522420362,0.42792237277507467,0.23436440174217443,0,0.36801203593951326,0.6202322659168673,2.678193618591977,2.84828608366108,0.9778794837516052
5.0,0.2,0.5521755400369623,0.9561518513727707,0.535277156396868,10,0.1902099336403082,0.6202322659168673,5.7776687635625175,7.979500660708614,4.902825035709584
5.0,0.4,0.8959503608733626,1.0,0.9705979216866151,10,0.0768726203328841,0.6202322659168673,7.927435013602533,7.781815909806378,7.912873629728569
5.0,0.8,0.9999758656880582,1.0,1.3694107719934654,10,0.07167840855721849,0.6202322659168673,7.995993538961397,7.672478960625943,7.987978779482157
