coupling_scale,accuracy,blind_iters,warm_iters,coupled_iters,t_blind_per_seed_s,t_coupled_per_seed_s,gain_pct
0.000000,0.816667,1475.050000,335.783333,54.166667,0.044205,0.016475,62.731163
0.020000,0.816667,1475.600000,335.983333,54.166667,0.060679,0.017437,71.262815
0.050000,0.816667,1478.450000,337.783333,55.166667,0.061473,0.017487,71.552559
0.100000,0.816667,1488.466667,341.783333,55.166667,0.061376,0.017313,71.791406
