t_pulse,seed,dstar,t_consensus,correct_B400,conf_u_naif_B400,conf_u_inv_B400,conf_sig_B400,conf_tcons_B400,conf_stab_B400,correct_B800,conf_u_naif_B800,conf_u_inv_B800,conf_sig_B800,conf_tcons_B800,conf_stab_B800,correct_B1600,conf_u_naif_B1600,conf_u_inv_B1600,conf_sig_B1600,conf_tcons_B1600,conf_stab_B1600
0,0,-1,161,1,0.5355852259046876,0.46441477409531245,0.7725318235806465,0.4025,1.0,1,0.35335040113874816,0.6466495988612518,0.7402288521049305,0.20125,1.0,1,0.20702143021538533,0.7929785697846147,0.8831136021664915,0.100625,1.0
0,1,-1,139,1,0.6955072053435373,0.30449279465646273,0.7575761738613892,0.3475,1.0,1,0.5435404783451251,0.4564595216548749,0.7557746976177102,0.17375,1.0,1,0.25458680387457266,0.7454131961254273,0.7381787483713946,0.086875,1.0
0,2,1,240,1,0.44040817326063175,0.5595918267393682,0.5154202289064946,0.6,1.0,0,0.24557655016064972,0.7544234498393503,0.7612655580976901,0.3,0.6875,1,0.17609465519682233,0.8239053448031777,0.8303240930392479,0.15,0.935
0,3,-1,157,1,0.6719442463697576,0.3280557536302424,0.7810720335372826,0.3925,1.0,1,0.5117198012534729,0.48828019874652706,0.7226488930472581,0.19625,1.0,1,0.22650823568777156,0.7734917643122284,0.7836781397950424,0.098125,1.0
0,4,1,197,1,0.3927988828917226,0.6072011171082774,0.748451405766903,0.4925,1.0,0,0.20758367416890267,0.7924163258310973,0.7691244947426502,0.24625,0.655,0,0.16276031433615057,0.8372396856638494,0.8620324892026143,0.123125,0.2625
0,5,-1,146,1,0.6342622578422594,0.3657377421577406,0.7521883106136322,0.365,1.0,0,0.473056065566297,0.526943934433703,0.6694757147502985,0.1825,0.435,1,0.23271921492946834,0.7672807850705317,0.8473652719561591,0.09125,0.005
0,6,-1,168,1,0.5798341172211655,0.4201658827788345,0.7631049335580171,0.42,1.0,0,0.3999890575119843,0.6000109424880157,0.7301330652067086,0.21,0.055,1,0.22751700817576082,0.7724829918242392,0.8633045704415432,0.105,0.2275
0,7,-1,159,1,0.5808831607218864,0.4191168392781136,0.7679520413492251,0.3975,1.0,1,0.428739261189391,0.571260738810609,0.7601298338619785,0.19875,1.0,1,0.2301110661867446,0.7698889338132554,0.863341014135989,0.099375,0.3475
0,8,-1,135,1,0.6754762011982935,0.32452379880170645,0.788219428550661,0.3375,1.0,1,0.5384573152343116,0.4615426847656884,0.6748059254409424,0.16875,1.0,0,0.2628107190061659,0.7371892809938341,0.802590771462157,0.084375,1.0
0,9,-1,171,1,0.600365245452082,0.39963475454791797,0.7480206804071252,0.4275,1.0,1,0.41521020981162815,0.5847897901883718,0.6829810315436755,0.21375,1.0,0,0.21375112260078655,0.7862488773992135,0.8486474811890321,0.106875,0.715
0,10,1,247,1,0.43203681337113686,0.5679631866288631,0.6424141788377915,0.6175,1.0,0,0.26000334345581255,0.7399966565441874,0.7275944950855349,0.30875,0.9325,1,0.17562340889972117,0.8243765911002788,0.8219324563334289,0.154375,0.6525
0,11,-1,164,1,0.5202827397430683,0.4797172602569318,0.7882720551557886,0.41,1.0,1,0.33637503176598615,0.6636249682340138,0.7415328575152581,0.205,1.0,1,0.21066163882099742,0.7893383611790026,0.8799779071001482,0.1025,0.72
