m,nu,ablation,elapsed_hours,n_seeds,h_cont_mean,h_cont_std,h_cog_mean,sync_mean,sync_std
3,0.05,FULL,1,10,3.7130162930978905,0.07021956412472213,0.20854061618126174,0.09330758500231273,0.016451518160252983
3,0.05,FULL,10,10,3.732979477008153,0.060604804664320645,0.26931762117352964,0.1060114484590872,0.02992661110453854
3,0.05,FULL,100,10,3.7811829364153495,0.06840600967696797,0.33740606162990516,0.11910683645156114,0.025855204872259962
3,0.05,FULL,1000,10,3.8068236189446276,0.05801449697181022,0.4112553261389998,0.11949713391394239,0.023012574696679992
3,0.05,FULL,10000,10,3.865818295169073,0.08585261465984566,0.4973264968273966,0.11654645122430589,0.031044387007274698
3,0.05,FULL,100000,10,3.920242445193351,0.056594600414796165,0.5637876646753368,0.12480815586201315,0.03083150845878319
3,0.05,FULL,1000000,10,3.9526575595523865,0.0526728201726006,0.6075238028555098,0.16533381279863785,0.03779329759084475
3,0.05,FROZEN_U,1,10,4.615539112621313,0.12838634911368846,1.3102787837744962,0.522545168839242,0.09448842601581726
3,0.05,FROZEN_U,10,10,4.585042351909511,0.15153398522149963,1.276537432602043,0.5270766200016386,0.09618898778022696
3,0.05,FROZEN_U,100,10,4.510088002910085,0.13234562865902294,1.2278959584748834,0.5218774217987889,0.0819245950379494
3,0.05,FROZEN_U,1000,10,4.546654233976975,0.16904186964989837,1.219940491342171,0.4836605866723085,0.09952515033602975
3,0.05,FROZEN_U,10000,10,4.626022812707712,0.1389663068615288,1.275271319300077,0.4188808316625005,0.07841630101825565
3,0.05,FROZEN_U,100000,10,4.588294087391755,0.16293199586172957,1.2578054040919446,0.4159200769156369,0.08975913276910111
3,0.05,FROZEN_U,1000000,10,4.667145234856461,0.08426639351177928,1.3056636817334446,0.378061927040816,0.06983128081818295
3,0.1,FULL,1,10,3.7130162930978905,0.07021956412472213,0.20854061618126174,0.09330758500231273,0.016451518160252983
3,0.1,FULL,10,10,3.7811829364153495,0.06840600967696797,0.33740606162990516,0.11910683645156114,0.025855204872259962
3,0.1,FULL,100,10,3.865818295169073,0.08585261465984566,0.4973264968273966,0.11654645122430589,0.031044387007274698
3,0.1,FULL,1000,10,3.9526575595523865,0.0526728201726006,0.6075238028555098,0.16533381279863785,0.03779329759084475
3,0.1,FULL,10000,10,3.9595153119381314,0.0475907537289042,0.6882030918798188,0.17102445139977265,0.03842634088677226
3,0.1,FULL,100000,10,4.082991767509769,0.05086080081997832,0.8137743608750816,0.134063912048198,0.04002509681523185
3,0.1,FULL,1000000,10,4.334519582364895,0.06580121527007275,0.9758333677713653,0.10705607378069423,0.04490377232747851
3,0.1,FROZEN_U,1,10,4.615539112621313,0.12838634911368846,1.3102787837744962,0.522545168839242,0.09448842601581726
3,0.1,FROZEN_U,10,10,4.510088002910085,0.13234562865902294,1.2278959584748834,0.5218774217987889,0.0819245950379494
3,0.1,FROZEN_U,100,10,4.626022812707712,0.1389663068615288,1.275271319300077,0.4188808316625005,0.07841630101825565
3,0.1,FROZEN_U,1000,10,4.667145234856461,0.08426639351177928,1.3056636817334446,0.378061927040816,0.06983128081818295
3,0.1,FROZEN_U,10000,10,4.720108556708444,0.1288998710421743,1.346525601212765,0.3171838535746908,0.0859772428753153
3,0.1,FROZEN_U,100000,10,4.801464430775875,0.09355047190633466,1.4075093483669365,0.24261117033392532,0.05492069289008729
3,0.1,FROZEN_U,1000000,10,4.897761727575193,0.08797629095537668,1.4801208317731278,0.14698400662088068,0.05085022270331818
5,0.05,FULL,1,10,3.172519582366831,0.057028286132773665,0.00016158627179182236,0.06749721118380554,0.0148895802742965
5,0.05,FULL,10,10,3.2458683025273585,0.0728798914704484,0.0009132303222988785,0.07032383289654667,0.0115693760918423
5,0.05,FULL,100,10,3.299365267191159,0.05161768068120172,0.00240291871834728,0.08091958972235133,0.01813380276855467
5,0.05,FULL,1000,10,3.390555322294746,0.07865360011836754,0.006291446026410313,0.097876878816499,0.017749745693036133
5,0.05,FULL,10000,10,3.380776081125324,0.045320977001702685,0.019566125675408864,0.10365471394420593,0.02312499835580339
5,0.05,FULL,100000,10,3.3634789072986258,0.03037439941597841,0.04112515912866296,0.10835766213169178,0.01701371179288892
5,0.05,FULL,1000000,10,3.370239569834016,0.04070614611211959,0.08883123638141026,0.1349273927134646,0.02282458373632229
5,0.05,FROZEN_U,1,10,3.834389024962584,0.19786783677836503,0.8987506442299921,0.8166821234941061,0.03870972462993438
5,0.05,FROZEN_U,10,10,3.9519038526433974,0.161172522440725,0.9314642888856369,0.8197508295035508,0.033169814674491586
5,0.05,FROZEN_U,100,10,3.989230774593582,0.19886173666232448,0.9373153013625904,0.8000535604210072,0.05171822648286399
5,0.05,FROZEN_U,1000,10,4.074818281059647,0.1445486292160662,0.9573146606261641,0.7539353205489883,0.05333937739724127
5,0.05,FROZEN_U,10000,10,4.259186599785524,0.11593788411000185,1.0364819006233417,0.6853287442114662,0.050345074649423435
5,0.05,FROZEN_U,100000,10,4.274362463687124,0.14164911589812879,1.0406229416166786,0.6634492740871247,0.0585418684792446
5,0.05,FROZEN_U,1000000,10,4.410456080792495,0.09983536602974641,1.119531265819615,0.5864089318343039,0.0616409595932353
