gamma_int,acc_interior,se_interior,n_interior,acc_boundary,se_boundary,n_boundary
0.150000,0.653169,0.019988,568,0.658304,0.009866,2312
0.000000,0.632042,0.020253,568,0.670415,0.009778,2312
