N,m,D,lambda2_bin,lambda2_mean,H_cont_mean,H_cont_std,sync_mean,sync_std,lz_mean,lz_std,u_mean_mean,count
100,3,0.0,1.25,1.2790789055819147,4.703864081715639,0.04106977215703298,0.073990517510815,0.01792150322686529,1.1047639395560631,0.004307310580079331,0.04999999999999999,3
100,3,0.0,1.5,1.4121676405966703,4.8201227835510565,0.02036551543954727,0.06242205136430895,0.002527275902337613,1.109964094441167,0.0025359067465362353,0.04999999999999999,2
100,3,0.15,1.25,1.2790789055819147,3.7842601232318924,0.07510574616781249,0.00027384733346382174,0.00413436864457292,0.8818745422393636,0.003291798414348986,0.9932828262243517,3
100,3,0.15,1.5,1.4121676405966703,3.636425388689795,0.1507073707688786,0.008788765259003625,0.0065031038610313605,0.8785572020540385,0.006973743552974804,0.9967066068769335,2
100,3,0.5,1.25,1.2790789055819147,4.028959997361603,0.040594800752449534,0.00018349427235041615,0.006079578231097352,0.9101466486836648,0.005431025834753486,0.9985318481380666,3
100,3,0.5,1.5,1.4121676405966703,3.9606193850718103,0.04603724544520038,0.0014497855377845622,0.00014244054560705967,0.9222205715203434,0.02459829544140067,0.9981081475563969,2
100,4,0.0,2.0,2.093146836376255,4.736270293975603,0.08993480559447516,0.07393680469260261,0.01798096369428675,1.1070352715748442,0.0032885408198702055,0.04999999999999999,3
100,4,0.0,2.25,2.2908181031031596,4.771513465161109,0.04837844188522702,0.06250262059162752,0.002413333808353776,1.1065570964129954,0.007354129564954941,0.04999999999999999,2
100,4,0.15,2.0,2.093146836376255,3.405105687378424,0.10382687168700623,-0.00019923491407187674,0.008452901843109983,0.8722512671071594,0.0215934606216849,0.9989351972431032,3
100,4,0.15,2.25,2.2908181031031596,3.511550381510844,0.0077941818614366285,-0.0036121319673259535,0.005082836233472982,0.8667223667982846,0.007480924902281824,0.998937364438856,2
100,4,0.5,2.0,2.093146836376255,3.6629012742543434,0.07324845831675902,-0.0031798192736456465,0.0035417782387104414,0.88223317361075,0.006835197823917034,0.9991477541967427,3
100,4,0.5,2.25,2.2908181031031596,3.755774910607429,0.05492457827626448,0.005308236375808458,0.004742539350627682,0.8761364402971799,0.006593357540993686,0.998839345072436,2
100,5,0.0,3.0,3.0067481567586833,4.750367562449806,0.07072395190479618,0.06936313105221258,0.014224476880425602,1.1068440015101046,0.0043585147954475194,0.04999999999999999,5
100,5,0.15,3.0,3.0067481567586833,3.2757940064729105,0.056636697119306974,-0.0038754178158144485,0.002102835164590264,0.8592090395677376,0.004763861297596123,0.9988826251046603,5
100,5,0.5,3.0,3.0067481567586833,3.511372286908018,0.1098309029957808,-0.002320357124158336,0.004083675760477375,0.8814083214565611,0.01148642592959473,0.9995168862444199,5
100,6,0.0,3.75,3.8675459549079716,4.658023004858627,,0.06678149601807117,,1.1096054630697807,,0.04999999999999999,1
100,6,0.0,4.0,3.959212479001985,4.7734537018476,0.05582147987480339,0.07000853981074792,0.0163402562278479,1.1061536361201858,0.004706538623963427,0.04999999999999999,4
100,6,0.15,3.75,3.8675459549079716,3.097285477673442,,-0.0029693926607284675,,0.8318454659309485,,0.9995714367145133,1
100,6,0.15,4.0,3.959212479001985,3.014118083455223,0.04797046357583608,-0.001779761078818982,0.004529011452769413,0.8677982609124439,0.006130918413546289,0.999458912475014,4
100,6,0.5,3.75,3.8675459549079716,4.232269629087543,,0.00429989141971498,,0.6521711488663204,,0.9999487905621953,1
100,6,0.5,4.0,3.959212479001985,4.221272992620607,0.08218173231877696,-0.005389858755018174,0.0009780520750751556,0.6635576949078411,0.01892070822886385,0.9999289200445012,4
100,7,0.0,4.75,4.833351628212579,4.697663872849727,0.05606065313725388,0.0637888159542725,0.004232288734067669,1.105481202298836,0.005832585517033215,0.04999999999999999,2
100,7,0.0,5.0,5.015846277113307,4.785503355516525,0.061667588747035186,0.07307934111750596,0.018545269919687395,1.107752534317617,0.004229468767326848,0.04999999999999999,3
100,7,0.15,4.75,4.833351628212579,2.8538144465633426,0.016551392586175072,-0.00442653767531137,0.0014539935251105867,0.8345352012163474,0.0032966787704971374,0.9998956435104325,2
100,7,0.15,5.0,5.015846277113307,2.8748796763848525,0.0955123969438521,0.0007004812966998317,0.008332241647193803,0.8484620528051893,0.013130920889094705,0.9997268960609246,3
100,7,0.5,4.75,4.833351628212579,3.9979050012858286,0.22190673343294434,-0.0006581331605889171,0.008453471790106843,0.6306532665831316,0.018004937900406234,0.9999712794491762,2
100,7,0.5,5.0,5.015846277113307,4.056758840478383,0.18265487097047156,-0.006860169624741355,0.001563993300096799,0.6234208672601708,0.020531711264933028,0.9999738612281294,3
100,8,0.0,5.75,5.820018392044517,4.771513465161109,0.04837844188522702,0.06250262059162752,0.002413333808353776,1.1065570964129954,0.007354129564954941,0.04999999999999999,2
100,8,0.0,6.0,6.032593071163795,4.736270293975603,0.08993480559447516,0.07393680469260261,0.01798096369428675,1.1070352715748442,0.0032885408198702055,0.04999999999999999,3
100,8,0.15,5.75,5.820018392044517,2.6454142323829997,0.03239140961352158,-0.002310802003796862,0.0041981284250642605,0.8183071316611092,0.021428412008230216,0.9999695092169403,2
100,8,0.15,6.0,6.032593071163795,2.6985885820573743,0.07089790803046396,-0.0034241321215500455,0.0018115921616103977,0.823118769227211,0.008237469330721304,0.9999338023882548,3
100,8,0.5,5.75,5.820018392044517,3.8543313763628806,0.03369693699797606,0.003102437780774428,0.014274637456674148,0.6135286185994272,0.004691427481091941,0.9999984695569739,2
100,8,0.5,6.0,6.032593071163795,3.7657637881622197,0.04702287602308736,-0.0011495485757784072,0.011281677962946128,0.599631652958201,0.010017634118808951,0.9999951468564757,3
100,9,0.0,6.75,6.768819496838677,4.7536332678520505,0.0812285107103051,0.07150487984264726,0.015466105009131852,1.108215766505658,0.0035754636449012262,0.04999999999999999,4
100,9,0.0,7.0,6.938839809756916,4.737304740840826,,0.060796135890473814,,1.1013569415278914,,0.04999999999999999,1
100,9,0.15,6.75,6.768819496838677,2.567466308850152,0.05622170186044765,-0.0017358646563085454,0.0017778031009717888,0.8064274674839317,0.01893649203314638,0.9999421986658066,4
100,9,0.15,7.0,6.938839809756916,2.6199847388035833,,0.0015348014950060964,,0.8368663051303596,,0.9999960990685431,1
100,9,0.5,6.75,6.768819496838677,3.4448975629864633,0.2735898779151468,-0.008138146050235448,0.0006710591590263313,0.5825518338959198,0.007048079765082431,0.9999966810731261,4
100,9,0.5,7.0,6.938839809756916,3.4219053199252576,,-0.007613736700311467,,0.5834932412458093,,1.0,1
100,10,0.0,7.5,7.591213690560299,4.726784620144144,0.014877697367049044,0.0775950282571869,0.0237572214178515,1.1023431777992043,0.0013947487105949608,0.04999999999999999,2
100,10,0.0,7.75,7.697573643294786,4.766089523986913,0.09468979103861877,0.06387519958222969,0.003086823767727406,1.109844550650705,0.0018050716515081364,0.04999999999999999,3
100,10,0.15,7.5,7.591213690560299,2.478116626945033,0.026502334149449462,-0.004139636801959142,0.0003648215214761485,0.7906028582215032,0.015976212503177253,0.9999831623630224,2
100,10,0.15,7.75,7.697573643294786,2.5771959304805954,0.08862573628547446,-0.0040390846911549936,0.0015006005116876637,0.7754207968328086,0.01610084452014501,0.9999885270348264,3
100,10,0.5,7.5,7.591213690560299,3.0556444236261386,0.09670446033535972,-0.0057524150900931156,0.0016852786385871284,0.5780241128321654,0.005959380854359902,1.0,2
100,10,0.5,7.75,7.697573643294786,3.1164963977850633,0.1347800239382127,-0.007815592061099452,0.0004723706939147091,0.5799666994271755,0.0016564473504786252,1.0,3
