m,seed,D,lz_state,lz_vmean,f_fft,f_zc,sync,ac50,ac100,H_cont,u_mean
3,42,0.0,0.6880377470130703,1.0763047027435055,0.003,0.017,-0.009105708450078964,0.6566011080634324,0.17966181878417337,3.199806909677134,0.04999999999999999
3,123,0.0,0.9497392423282969,1.14606519273614,0.002,0.008,0.018732300028204918,0.7515050361049481,0.21915551630438848,3.1070663646826375,0.04999999999999999
3,777,0.0,0.7233166233807742,1.1859283298747885,0.001,0.0055,-0.0004907998954877257,0.7108713655186776,0.2058171732713495,3.1630416203245524,0.04999999999999999
3,17,0.0,0.7058765008826157,1.0663389184588434,0.002,0.004,-0.005562135484069586,0.8560450874859153,0.508665654107143,3.2326752864163573,0.04999999999999999
3,256,0.0,0.5805069345815661,1.1261336241668158,0.002,0.009,0.01876537874341011,0.7303710435132884,0.21743546387626808,3.2390737275942585,0.04999999999999999
6,42,0.0,0.6880377470130703,1.0763047027435055,0.003,0.017,-0.009105708450078964,0.6566011080634324,0.17966181878417337,3.199806909677134,0.04999999999999999
6,123,0.0,0.9497392423282969,1.14606519273614,0.002,0.008,0.018732300028204918,0.7515050361049481,0.21915551630438848,3.1070663646826375,0.04999999999999999
6,777,0.0,0.7233166233807742,1.1859283298747885,0.001,0.0055,-0.0004907998954877257,0.7108713655186776,0.2058171732713495,3.1630416203245524,0.04999999999999999
6,17,0.0,0.7058765008826157,1.0663389184588434,0.002,0.004,-0.005562135484069586,0.8560450874859153,0.508665654107143,3.2326752864163573,0.04999999999999999
6,256,0.0,0.5805069345815661,1.1261336241668158,0.002,0.009,0.01876537874341011,0.7303710435132884,0.21743546387626808,3.2390737275942585,0.04999999999999999
3,42,0.15,1.7158090802902726,1.2158256827287746,0.002,0.015,0.06192620098590851,0.5670543576159768,0.014625178821962657,1.7884353256539267,0.13333585806771217
3,123,0.15,1.7137162655904936,1.2058598984441125,0.002,0.007,0.11601248383522034,0.6573680252199929,0.12594695131132638,1.7619872918176016,0.13782391347152517
3,777,0.15,1.7039497969915238,1.4550045055606646,0.002,0.012,0.037703391164541245,0.5339527931589579,-0.056981890262755804,1.7982119112506225,0.13667899953759638
3,17,0.15,1.6941833283925547,1.2756203884367472,0.002,0.016,0.08713174611330032,0.6885785924377575,0.18633274585590046,1.79902282840246,0.13658793400984934
3,256,0.15,1.7089326891338548,1.3852440155680301,0.003,0.012,0.0598791278898716,0.5901830412595829,-0.11992641027499186,1.7894422903951983,0.1364355178233785
6,42,0.15,1.9054579552273914,1.4450387212760027,0.002,0.011,0.12155112624168396,0.5857838385329868,0.07738814310227565,1.4076217035411809,0.1972693274965598
6,123,0.15,1.8737667612021651,1.1958941141594506,0.002,0.015,0.24318566918373108,0.6553426403078448,0.10856808683576474,1.4090533149533533,0.19683390498321718
6,777,0.15,1.9103411895268758,1.6443544069692444,0.002,0.016,0.06140889227390289,0.48995561786015385,-0.10563725835402583,1.427886513030096,0.1953055413778056
6,17,0.15,1.8929010670287172,1.2357572512980988,0.002,0.016,0.13172097504138947,0.6718723041874356,0.1731746447294205,1.421339106482484,0.19388758953917562
6,256,0.15,1.8725708670880064,1.245723035582761,0.003,0.0085,0.14591243863105774,0.6223962250047574,-0.10648316818898473,1.4475215152732341,0.19006845667756003
3,42,0.5,2.021260368615164,1.2357572512980988,0.002,0.022,0.16668730974197388,0.4699630001195465,-0.0579255099028118,1.1899957537249315,0.09285705835311774
3,123,0.5,1.9883732804757799,1.245723035582761,0.002,0.007,0.2779054045677185,0.6476246968862673,0.11378314772112151,1.162902029873233,0.09453930139760967
3,777,0.5,2.0194665274439254,1.365312446998706,0.002,0.019,0.12962999939918518,0.5180648231018132,-0.06207782334570416,1.179274160852542,0.09414176497411592
3,17,0.5,1.9972428284891288,1.3055177412907333,0.002,0.016,0.24226044118404388,0.6844007061355659,0.1708825090975658,1.1746249979520358,0.09387250768031612
3,256,0.5,2.0270405235002684,1.3553466627140438,0.003,0.0085,0.15065792202949524,0.5628826709892304,-0.12498765671571274,1.1845520099613618,0.09401960955579806
6,42,0.5,2.206524298467034,1.4749360741299888,0.002,0.02,0.31173136830329895,0.5504908601596996,0.04689391424720257,0.783125883480977,0.12175867695553
6,123,0.5,2.12430657811857,1.1859283298747885,0.002,0.008,0.511510968208313,0.6513368971443827,0.11337384011647908,0.8582178295531276,0.12116057613164694
6,777,0.5,2.2435970160059755,1.5147992112686373,0.002,0.012,0.1958094835281372,0.492891314372222,-0.11787126225359584,0.7647984700282552,0.12040264326695699
6,17,0.5,2.1854964936263963,1.3453808784293817,0.002,0.016,0.3490792214870453,0.6599819160352144,0.1646707358137049,0.8050660634457272,0.11957176668249707
6,256,0.5,2.173736868170495,1.3553466627140438,0.003,0.0045,0.3632352352142334,0.5970799476486401,-0.11691632705096928,0.8658887800898223,0.11807188913620652
