seed_range,n,accuracy,mean_blind,mean_warm,savings,m4r_cost_node_steps
original (0-29),30,1.000000,1503.500000,45.000000,1458.500000,30000
replication (100-129),30,1.000000,1551.566667,45.000000,1506.566667,30000
