topology,condition,gain_u,seed,R2_mean,R2_std,u_mean,u_max
LATTICE_10x10,FROZEN_U,,42,0.9354622256369461,0.012778769446870357,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,123,0.9452356731727021,0.010222500156250041,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,777,0.8411829624728442,0.13649009763620298,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,17,0.9089297060805202,0.026535003770051555,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,256,0.9527427665660265,0.006937805374293266,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,1337,0.9310100581680876,0.014324927562518323,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,99,0.9037274375156378,0.04862662054586263,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,314,0.021998025588967657,0.011510471938057123,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,2024,0.9409560574683375,0.012972867109593606,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FROZEN_U,,888,0.9384429132998016,0.018682502342430973,0.04999999999999999,0.04999999999999999
LATTICE_10x10,FULL,1.0,42,0.37153156665749304,0.2978063598433701,0.49279932396930654,0.6428717056434639
LATTICE_10x10,FULL,1.0,123,0.3802805078526902,0.2982428610968728,0.4868461163332828,0.6353328743423323
LATTICE_10x10,FULL,1.0,777,0.27198660169140587,0.20073041075931883,0.44616358639746356,0.5817444340865409
LATTICE_10x10,FULL,1.0,17,0.22693513655129283,0.17218957282954345,0.4608167078818814,0.5985085570386803
LATTICE_10x10,FULL,1.0,256,0.4064141404382938,0.32201745429898865,0.5011814032600694,0.655411425554168
LATTICE_10x10,FULL,1.0,1337,0.3923664727103746,0.3113092266556187,0.4853549650184568,0.636210974438989
LATTICE_10x10,FULL,1.0,99,0.29172935628012253,0.24795806056453276,0.4542251015671334,0.5989406679172212
LATTICE_10x10,FULL,1.0,314,0.10117134371559683,0.05845297563602602,0.4476515561825647,0.5821582388348997
LATTICE_10x10,FULL,1.0,2024,0.367755954102046,0.3118002883340372,0.4863076565954152,0.6339388364099728
LATTICE_10x10,FULL,1.0,888,0.34757801736421345,0.3029100426670319,0.4751493101844437,0.6257937602541331
LATTICE_10x10,FULL,3.0,42,0.19651435384300556,0.14053542491155008,0.956356458908523,1.0
LATTICE_10x10,FULL,3.0,123,0.09313629473046287,0.04448471270439386,0.9309392577284951,1.0
LATTICE_10x10,FULL,3.0,777,0.21731492262432936,0.14930651231827274,0.911552205267281,1.0
