poc,m,D,n_seeds,cross_corr,LZ_seed1,LZ_seed2,LZ_mean,track_corr_pivot0,track_corr_pivot1,track_corr_diff,diff_std,H_cont,decision,tc0,tc0_std,tc1,tc1_std,f_v_mean,f_std,winner,n_pivots,tc,tc_std,hub_degree,H_std,LZ_v_mean,cross_corr_drive,ac_lag5,ac_lag50
POC2_juge,3,0.0,2,0.7892811095421478,1.9610866732653591,1.9610866732653591,1.9610866732653591,,,,,,,,,,,,,,,,,,,,,,
POC2_juge,6,0.0,2,0.7892811095421478,1.9610866732653591,1.9610866732653591,1.9610866732653591,,,,,,,,,,,,,,,,,,,,,,
POC2_juge,3,0.15,2,0.9829943900304706,1.9356180151710038,1.9101493570766486,1.9228836861238263,,,,,,,,,,,,,,,,,,,,,,
POC2_juge,6,0.15,2,0.9799429166877963,1.9101493570766486,1.8719463699351158,1.8910478635058823,,,,,,,,,,,,,,,,,,,,,,
POC2_juge,3,0.5,2,0.9832889012033479,1.9738210023125369,1.897415028029471,1.9356180151710038,,,,,,,,,,,,,,,,,,,,,,
POC2_juge,6,0.5,2,0.9791742669625596,1.9356180151710038,1.8592120408879378,1.8974150280294708,,,,,,,,,,,,,,,,,,,,,,
POC4_menteur,3,0.0,5,,,,,-0.16815922239287473,-0.02495624440759438,-0.14320297798528037,0.6008978904670251,3.2940030865695875,FOLLOW_NEITHER,,,,,,,,,,,,,,,,
POC4_menteur,3,0.15,5,,,,,0.11278684983343522,0.07773622078266261,0.03505062905077261,0.2825424723111175,1.8221313738160896,FOLLOW_NEITHER,,,,,,,,,,,,,,,,
POC4_menteur,3,0.5,5,,,,,0.16584641510433198,0.1523038055752687,0.013542609529063276,0.10428678955050345,1.2551673196205912,FOLLOW_NEITHER,,,,,,,,,,,,,,,,
POC4_menteur,6,0.0,5,,,,,-0.16815922239287473,-0.02495624440759438,-0.14320297798528037,0.6008978904670251,3.2940030865695875,FOLLOW_NEITHER,,,,,,,,,,,,,,,,
POC4_menteur,6,0.15,5,,,,,-0.6493418395691336,0.7820484203174329,-1.4313902598865667,0.6452809837923634,1.9540284466111475,FOLLOW_LIAR,,,,,,,,,,,,,,,,
POC4_menteur,6,0.5,5,,,,,0.17545591739100028,0.14499081769779273,0.03046509969320751,0.14209458532613056,0.9121074592148538,FOLLOW_NEITHER,,,,,,,,,,,,,,,,
POCB_2freqs,3,0.0,5,,,,,,,,,,,-0.16815922239287473,0.24502891120658984,-0.0469394646025868,0.46158728191326165,0.009333333333333334,0.007023769168568493,INTRINSIC,,,,,,,,,
POCB_2freqs,3,0.15,5,,,,,,,,,,,0.1130833872949744,0.26319689401613194,0.1531950271716548,0.18513559090707943,0.008222222222222223,0.0033554819712314447,INTRINSIC,,,,,,,,,
POCB_2freqs,3,0.5,5,,,,,,,,,,,0.16458829943729544,0.1621240840284563,0.2913178707882294,0.1406052490363874,0.006888888888888889,0.0053886025124365074,INTRINSIC,,,,,,,,,
POCB_2freqs,6,0.0,5,,,,,,,,,,,-0.16815922239287473,0.24502891120658984,-0.0469394646025868,0.46158728191326165,0.009333333333333334,0.007023769168568493,INTRINSIC,,,,,,,,,
POCB_2freqs,6,0.15,5,,,,,,,,,,,0.2643149104394973,0.41825640239671713,0.5166912938932054,0.4401904163175524,0.005333333333333333,0.00592546294487706,INTRINSIC,,,,,,,,,
POCB_2freqs,6,0.5,5,,,,,,,,,,,0.17849304332802704,0.1267854773734155,0.3677580617461426,0.10960566758925633,0.010666666666666666,0.00635959467611297,INTRINSIC,,,,,,,,,
POCC_multi,3,0.0,5,,,,,,,,,,,,,,,0.014444444444444446,0.004682512779045661,INTRINSIC,10.0,-0.049175840011977466,0.16347230359423506,,,,,,
POCC_multi,3,0.15,5,,,,,,,,,,,,,,,0.028,0.018773503787104965,F_DRIVE,10.0,0.10830360782242264,0.11259636886003006,,,,,,
POCC_multi,3,0.5,5,,,,,,,,,,,,,,,0.032,0.019629909152447278,F_DRIVE,10.0,0.15412445998978888,0.1042205014491786,,,,,,
POCC_multi,6,0.0,5,,,,,,,,,,,,,,,0.014444444444444446,0.004286067004885759,INTRINSIC,10.0,-0.11876132721123012,0.11468101046125717,,,,,,
