topo,norm,shuffle,seed,deg_min,deg_max,k_mean,k_harm,rho_main,p_intrarun_main,censored_main,tmort_med_main,rho_ctrl,p_intrarun_ctrl,censored_ctrl,tmort_med_ctrl,rho_diag,p_intrarun_diag,censored_diag,tmort_med_diag,tmort_hubs,tmort_peri,delta_hub_peri,ncomp50,ncomp50_null,big50,big50_null,pct_ncomp50,ncomp75,ncomp75_null,big75,big75_null,pct_ncomp75,group
BA m=3,degree_linear,0,42,3,55,5.94,4.259318661641715,0.11100022857025671,0.11763445193216004,33,2858.5,0.07284631495885854,0.3053123567714239,113,3000.0,-0.03056173299554932,0.6674870383189095,6,944.0,2938.5,2844.5,94.0,7,8.0,0.93,0.93,0.385,23,18.0,0.48,0.58,0.795,primary
BA m=3,degree_linear,0,123,3,43,5.94,4.2066940281657015,0.14479629684722733,0.04078718632261394,24,2809.5,0.3121112002452568,6.822381623894877e-06,100,2999.5,-0.1665954768911436,0.01838612841074796,1,798.0,2841.0,2800.5,40.5,8,8.0,0.93,0.93,0.49,12,18.0,0.78,0.58,0.1,primary
BA m=3,degree_linear,0,777,3,48,5.94,4.1194209933006425,0.025124324347673466,0.723983299664342,42,2881.0,0.059048114778477614,0.406223813668249,120,3000.0,0.1046020781453035,0.1404624018897406,5,1074.5,2886.0,2878.0,8.0,8,8.0,0.93,0.92,0.43,8,18.0,0.86,0.6,0.03,primary
BA m=3,degree_linear,0,17,3,45,5.94,4.237328705569046,0.20212405019571436,0.004101686776231257,28,2868.0,0.2510260587850248,0.0003365957395518425,114,3000.0,-0.046214415072826746,0.5158077002969683,7,1244.0,2860.5,2811.5,49.0,8,8.0,0.93,0.92,0.45,17,18.0,0.62,0.56,0.435,primary
BA m=3,degree_linear,0,256,3,48,5.94,4.234421951387779,0.05023707129734991,0.4799067708431387,29,2785.5,0.18495522454183172,0.008743410358206949,94,2991.0,-0.023794382805408437,0.7380464051028616,3,1114.5,2824.0,2765.5,58.5,6,8.0,0.95,0.92,0.21,12,19.0,0.72,0.5700000000000001,0.13,primary
BA m=3,degree_linear,0,8,3,45,5.94,4.216128913856945,-0.048605899574425154,0.4942993186307809,33,2830.5,0.11478030301151985,0.10557267375635576,101,3000.0,-0.12858631620460906,0.0695811913462303,4,1189.5,2757.0,2850.5,-93.5,8,8.0,0.93,0.93,0.46,19,18.0,0.32,0.56,0.525,primary
BA m=3,degree_linear,0,99,3,41,5.94,4.241143438733092,0.06219916607040912,0.3815940177344215,32,2857.5,0.16672866309085374,0.01829166270476952,108,3000.0,-0.024591214694877385,0.7296097321507908,6,1132.5,2961.5,2860.0,101.5,4,8.0,0.97,0.93,0.085,19,18.0,0.62,0.5700000000000001,0.52,primary
BA m=3,degree_linear,0,314,3,45,5.94,4.219609343935382,0.0830556004968242,0.2423059202847595,25,2813.5,0.12579895553116138,0.07590240090942597,103,3000.0,-0.0041400374982487435,0.9536034730639104,5,984.5,2770.0,2806.0,-36.0,9,8.0,0.91,0.92,0.53,15,17.0,0.68,0.61,0.36,primary
BA m=3,degree_linear,0,2718,3,52,5.94,4.145156412330013,0.07397225152584176,0.29787769781196866,26,2822.0,0.17528332967879448,0.013042977533869427,91,2997.5,-0.031842498907809914,0.6544333542087595,3,888.0,2828.5,2846.5,-18.0,7,8.0,0.94,0.92,0.345,14,18.0,0.68,0.56,0.215,primary
BA m=3,degree_linear,0,1618,3,52,5.94,4.124826630869103,0.21153705261852843,0.0026389442789208307,31,2818.0,0.17532969201491264,0.013018578477342894,102,3000.0,0.018942555249446453,0.7900598152201822,1,1176.5,2933.5,2792.0,141.5,2,8.0,0.99,0.93,0.0,11,18.0,0.8,0.56,0.105,primary
