eta,seed,synchrony,lz_full,lz_tail
0.0,0,0.23403926487040655,1.1517603227130737,1.3570519653693691
0.0,1,0.10382077168196088,1.1119876990423434,1.670153918211628
0.0,2,0.10620971842260957,1.1498402650186244,1.5381029619731164
0.0,3,0.15063649190120987,1.1643778447051674,1.587933511497083
0.0,4,0.09803868180565878,1.1067761138716958,1.605374203830472
0.05,0,0.010870012776920379,1.1394170946773297,1.509865650576202
0.05,1,0.032429421471022284,1.0626147868993687,1.4824588483380199
0.05,2,0.007200596801959927,1.082363951756558,1.460865610210968
0.05,3,0.007446559956574226,1.111713405085994,1.4592045918935022
0.05,4,0.019243424984491175,1.084558303407357,1.450899500306175
0.1,0,0.017219053561451633,1.0853811852764068,1.442594408718847
0.1,1,-3.1285414731573976e-05,1.0532887923834728,1.4700012109570282
0.1,2,0.002526450958846352,1.07879813032401,1.4525605186236399
0.1,3,0.01596587900016711,1.1034845863954976,1.4434249178775784
0.1,4,0.004809530659354754,1.0579517896414206,1.4700012109570284
0.15,0,-0.011641056569316525,1.0609690231612692,1.3827977492900856
0.15,1,0.006938259006258415,1.0502715588636247,1.5023910681476063
0.15,2,0.03384274974878878,1.0873012429708553,1.3105434524803328
0.15,3,0.04548532901661156,1.0892213006653046,1.2133738809085974
0.15,4,0.005156221508693381,1.0585003775541206,1.471662229274494
0.2,0,0.07558859833284712,1.0453342676493265,1.338780763877248
0.2,1,0.02877584048482533,1.0735865451533626,1.4309672804965872
0.2,2,-0.004860360787271907,1.0549345561215722,1.4342893171315187
0.2,3,0.01665962319042895,1.0642605506374676,1.4459164453537778
0.2,4,0.09078302891852394,1.0305223940064345,1.4309672804965874
0.3,0,0.03639821519686541,1.033265333569933,1.4176791339568628
0.3,1,0.025680692154544518,1.0423170341294785,1.3620350203217664
0.3,2,0.053851319470679185,1.0368311550024811,1.4160181156393967
0.3,3,0.033803601225212004,1.0563060259033215,1.249085774734107
0.3,4,0.04406729205121807,1.0458828555620263,1.4027299690996724
0.5,0,0.049737869969315965,0.9978814132008008,1.382797749290086
0.5,1,0.06659777957926956,1.0102246412365448,1.3130349799565315
0.5,2,0.20269655705279974,1.0214706934468882,1.1951026794164759
0.5,3,0.05314742441807409,1.0140647566254428,1.3678485844328958
0.5,4,0.04387071805361307,1.0184534599270405,1.3628655294804992
