k,seed_idx,m4r_acc,m4r_cost,leaky_acc,leaky_cost,leaky_params
10,15,1.0,423.0,0.0,2000.0,"(0.05, 0.0, 800)"
10,16,1.0,189.0,1.0,1343.0,"(0.05, 0.0, 800)"
10,17,0.0,223.0,1.0,1358.0,"(0.05, 0.0, 800)"
10,18,1.0,198.0,1.0,1372.5,"(0.05, 0.0, 800)"
10,19,0.0,203.0,1.0,1356.0,"(0.05, 0.0, 800)"
25,0,1.0,451.0,1.0,1340.0,"(0.05, 0.0, 800)"
25,1,1.0,396.0,1.0,1364.0,"(0.05, 0.0, 800)"
25,2,1.0,397.5,1.0,1330.0,"(0.05, 0.0, 800)"
25,3,1.0,432.5,1.0,1344.5,"(0.05, 0.0, 800)"
25,4,1.0,194.0,1.0,1344.0,"(0.05, 0.0, 800)"
25,5,1.0,190.0,1.0,1341.0,"(0.05, 0.0, 800)"
25,6,1.0,423.0,1.0,1352.5,"(0.05, 0.0, 800)"
25,7,1.0,399.5,1.0,1295.5,"(0.05, 0.0, 800)"
25,8,0.0,193.0,1.0,1350.0,"(0.05, 0.0, 800)"
25,9,0.0,187.0,1.0,1359.0,"(0.05, 0.0, 800)"
25,10,1.0,217.0,1.0,1331.5,"(0.05, 0.0, 800)"
25,11,1.0,423.5,1.0,1365.0,"(0.05, 0.0, 800)"
25,12,1.0,200.0,1.0,1357.0,"(0.05, 0.0, 800)"
25,13,1.0,424.0,1.0,1359.0,"(0.05, 0.0, 800)"
25,14,1.0,414.5,1.0,1356.0,"(0.05, 0.0, 800)"
25,15,1.0,423.0,1.0,1337.5,"(0.05, 0.0, 800)"
25,16,1.0,189.0,1.0,1345.5,"(0.05, 0.0, 800)"
25,17,0.0,223.0,1.0,1335.5,"(0.05, 0.0, 800)"
25,18,1.0,198.0,1.0,1353.0,"(0.05, 0.0, 800)"
25,19,1.0,203.0,1.0,1340.0,"(0.05, 0.0, 800)"
50,0,1.0,451.0,1.0,1339.0,"(0.05, 0.0, 800)"
