N,m,D,lambda2_mean,lambda2_std,H_cont_mean,H_cont_std,sync_mean,sync_std,u_mean_mean,u_std_mean,count
100,1,0.0,0.020649705621383456,0.005846820919073168,3.335901740676616,0.02198246035300456,0.7059608918421176,0.02249644415598827,0.04999999999999999,1.3877787807814457e-17,5
100,1,0.15,0.020649705621383456,0.005846820919073168,3.679347095206834,0.15080507526844736,0.5089478997267989,0.03915832255166811,0.3618912209658869,0.3760230813392694,5
100,1,0.5,0.020649705621383456,0.005846820919073168,3.6988677539034427,0.15360547862101434,0.7239667480196276,0.07710598511843142,0.19540357981237566,0.2444972317751705,5
100,2,0.0,0.5978555837998073,0.030345897827864544,3.335901740676616,0.021982460353004517,0.7059608918421176,0.022496444155988293,0.04999999999999999,1.3877787807814457e-17,5
100,2,0.15,0.5978555837998073,0.030345897827864513,4.704905386088394,0.1918870905672161,0.015132360093034763,0.01724078607573505,0.9991685467985263,0.003214363311053408,5
100,2,0.5,0.5978555837998073,0.030345897827864527,4.354979045023906,0.109054200033629,0.3900770602785711,0.03613121679286987,0.4301662636991792,0.3301971029130122,5
100,3,0.0,1.3963927217447243,0.058984117606442295,3.335901740676616,0.02198246035300456,0.7059608918421176,0.022496444155988296,0.04999999999999999,1.3877787807814457e-17,5
100,3,0.15,1.3963927217447243,0.05898411760644223,4.189842744514789,0.10571246917130402,-0.005554726768112727,0.002350962178877789,0.9999648880945806,0.0002472565765759417,5
100,3,0.5,1.3963927217447243,0.05898411760644234,2.8525591773321133,0.44575503770209896,0.010582959484703305,0.008472295434387723,0.9989686055487323,0.010262245217127038,5
100,4,0.0,2.181872996820883,0.11310474582466146,3.335901740676616,0.02198246035300454,0.7059608918421176,0.02249644415598824,0.04999999999999999,1.3877787807814457e-17,5
100,4,0.15,2.181872996820883,0.11310474582466143,3.9030372378933094,0.07382871253363331,-0.008044658568183196,0.0011231838049375533,0.9999840546413935,0.00015224816184597917,5
100,4,0.5,2.181872996820883,0.11310474582466142,1.5458838516882432,0.3392173625004088,-0.004285970717531604,0.0024215548612943464,1.0,0.0,5
100,5,0.0,2.79625892583476,0.5383608919198356,3.335901740676616,0.021982460353004517,0.7059608918421176,0.022496444155988265,0.04999999999999999,1.3877787807814457e-17,5
100,5,0.15,2.79625892583476,0.5383608919198355,3.315013716661386,0.17621897727808486,-0.006272443890495809,0.0023343483342106648,0.9999963848190999,3.5970595784542025e-05,5
100,5,0.5,2.79625892583476,0.5383608919198355,0.17718235749869843,0.042684331624634225,-0.004804364449936869,0.003977598300270275,1.0,0.0,5
100,6,0.0,2.85645245112711,1.1831100204380314,3.335901740676616,0.02198246035300445,0.7059608918421176,0.02249644415598825,0.04999999999999999,1.3877787807814457e-17,5
100,6,0.15,2.85645245112711,1.1831100204380312,2.4152122975106853,0.24594474575038439,-0.008061464293752239,0.000690565659253123,1.0,0.0,5
100,6,0.5,2.85645245112711,1.1831100204380314,0.0028,0.006260990336999411,-0.00729518473257256,0.0016266976086077851,1.0,0.0,5
100,7,0.0,3.9998956405973063,1.6899941229411442,3.335901740676616,0.02198246035300456,0.7059608918421176,0.022496444155988296,0.04999999999999999,1.3877787807814457e-17,5
100,7,0.15,3.9998956405973063,1.6899941229411442,1.3144436613863946,0.38194820912101923,-0.007784831589275997,0.0012420796959462586,1.0,0.0,5
100,7,0.5,3.9998956405973063,1.6899941229411442,0.0,0.0,-0.0073453275000919405,0.0010666879466866277,1.0,0.0,5
100,8,0.0,5.141727822900473,1.2405861585744178,3.335901740676616,0.021982460353004496,0.7059608918421176,0.022496444155988234,0.04999999999999999,1.3877787807814457e-17,5
100,8,0.15,5.141727822900473,1.2405861585744185,0.6656880455995519,0.09115793248584193,-0.006894999622110867,0.0020580952320597735,1.0,0.0,5
100,8,0.5,5.141727822900473,1.2405861585744185,0.0,0.0,-0.008228911948277665,0.000682402999863357,1.0,0.0,5
