N,m,D,seed,lambda2,H_cont,synchrony,lz_full,u_mean
100,3,0.0,0,1.1655988290222565,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,3,0.0,1,1.3049799406482483,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,3,0.0,2,1.3666579470752394,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,3,0.0,3,1.4458304177302967,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,3,0.0,4,1.378504863463044,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,3,0.15,0,1.1655988290222565,3.868791229071914,-0.001669501771956899,0.8795434383253513,0.9937404543351505
100,3,0.15,1,1.3049799406482483,3.7252093918343916,-0.002530792425436159,0.8804400167538178,0.9958780844050618
100,3,0.15,2,1.3666579470752394,3.758779748789372,0.005021836197784523,0.8856401716389218,0.9902299399328427
100,3,0.15,3,1.4458304177302967,3.7429915925352644,0.013387154097899319,0.883488383410603,0.9959827572400749
100,3,0.15,4,1.378504863463044,3.5298591848443257,0.00419037642010793,0.8736260206974741,0.997430456513792
100,3,0.5,0,1.1655988290222565,3.992563763032568,0.0029943484962092664,0.9125375244929081,0.998651684692162
100,3,0.5,1,1.3049799406482483,4.021576413192341,-0.006792892843671117,0.9039303715796322,0.9985709046966876
100,3,0.5,2,1.3666579470752394,4.072739815859897,0.004349027164513099,0.9139720499784539,0.9983729550253498
100,3,0.5,3,1.4458304177302967,3.9931726335132613,0.0015505062134992258,0.9048269500080989,0.9978465632261644
100,3,0.5,4,1.378504863463044,3.9280661366303598,0.0013490648620698986,0.939614193032588,0.9983697318866295
100,4,0.0,0,2.0462973402706357,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,4,0.0,1,2.112324032898277,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,4,0.0,2,2.27144540221536,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,4,0.0,3,2.3101908039909596,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,4,0.0,4,2.1208191359598527,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,4,0.15,0,2.0462973402706357,3.5238791079429004,-0.0056217036392109615,0.8547978736996837,0.9988908305654038
100,4,0.15,1,2.112324032898277,3.359849624988994,-0.0045164551656347,0.8655568148412784,0.9987999689794737
100,4,0.15,2,2.27144540221536,3.5060390626628206,-1.8023998976518508e-05,0.8720121795262353,0.9990445570248982
100,4,0.15,3,2.3101908039909596,3.517061700358867,-0.007206239935675388,0.8614325540703338,0.9988301718528138
100,4,0.15,4,2.1208191359598527,3.331588329203377,0.009540454062630032,0.8963991127805159,0.9991147921844322
100,4,0.5,0,2.0462973402706357,3.735931831594228,-0.0056754691421110875,0.8863574343816945,0.9991906899832013
100,4,0.5,1,2.112324032898277,3.663335148710709,-0.004737879563851758,0.8859988030103081,0.999234937248714
100,4,0.5,2,2.27144540221536,3.794612452360387,0.0019547546409355784,0.880798648125204,0.9990070462937998
100,4,0.5,3,2.3101908039909596,3.716937368854471,0.008661718110681338,0.8714742324691558,0.9986716438510723
100,4,0.5,4,2.1208191359598527,3.5894368424580927,0.0008738908850259062,0.8743432834402475,0.9990176353583131
