topology,N,h_cont_mean,h_cont_std,h_cog_mean,h_cog_std,sync_mean,sync_std
lattice_4x4,16,3.224586641646872,0.1409250131019955,0.9932103996058727,0.0,0.0,0.0
lattice_10x10,100,4.055990816390292,0.0848685512609367,0.9826066396055539,0.0,0.0,0.0
lattice_25x25,625,4.276681185593509,0.058720606134147334,0.9743635789713233,0.0,0.0,0.0
