m,direction,n,h_cont_mean,h_cont_std,sync_mean,k_harm_in_mean,k_harm_out_mean,n_deaf_in_mean
3,UNDIRECTED,25,3.6819660488148593,0.05888142657724565,0.01119052162443202,nan,nan,0.0
3,RANDOM,25,3.8980670715438293,0.07935593034402029,0.04333841281327896,2.088788218891992,1.9233459837427933,8.4
3,HUBS_LISTEN,25,4.203846144099441,0.06993858875067406,0.04270462273500652,2.0667674203099597,2.755427195496923,41.4
3,HUBS_BROADCAST,25,3.7898324508503745,0.07808734952404855,0.025909229472976435,2.778012953749195,2.164566656010068,1.2
5,UNDIRECTED,25,3.227076469169114,0.06659758720495179,0.0008187290089771094,nan,nan,0.0
5,RANDOM,25,3.4308405002683497,0.06276004582295498,0.016797683121323154,3.266214052679523,3.0313099164886173,0.4
5,HUBS_LISTEN,25,3.7786636913587186,0.04151305340933328,0.062111698870972495,2.5352854573234187,4.4773094870281405,30.6
5,HUBS_BROADCAST,25,3.3752165224862476,0.07201513153685969,0.008826930976500733,4.474031562022174,2.513905486743028,1.0
