topo,condition,seed,valid_frac,coverage,sharpness,consec_dist
LATTICE,WATCHDOG,16,1.0000,12,0.9883,0.3582
LATTICE,HASARD,16,0.1667,1,1.0000,0.3261
LATTICE,ATTRACTIF,16,0.5000,3,0.9983,0.4033
LATTICE,BICAMERAL,17,1.0000,2,1.0000,0.2181
LATTICE,BICAMERAL_KICK,17,1.0000,10,0.9925,0.4738
LATTICE,WATCHDOG,17,1.0000,9,0.9892,0.4200
LATTICE,HASARD,17,0.5000,1,1.0000,0.3641
LATTICE,ATTRACTIF,17,0.5000,2,1.0000,0.3913
LATTICE,BICAMERAL,18,1.0000,2,1.0000,0.1852
LATTICE,BICAMERAL_KICK,18,1.0000,10,0.9942,0.3821
LATTICE,WATCHDOG,18,1.0000,9,0.9950,0.3657
LATTICE,HASARD,18,0.5000,1,1.0000,0.3842
LATTICE,ATTRACTIF,18,0.4167,3,0.9992,0.4206
LATTICE,BICAMERAL,19,1.0000,2,1.0000,0.1853
LATTICE,BICAMERAL_KICK,19,1.0000,11,0.9925,0.3492
LATTICE,WATCHDOG,19,1.0000,12,0.9942,0.4807
LATTICE,HASARD,19,0.0833,1,1.0000,0.2961
LATTICE,ATTRACTIF,19,0.4167,4,0.9983,0.3918
LATTICE,BICAMERAL,20,1.0000,4,0.9983,0.2111
LATTICE,BICAMERAL_KICK,20,1.0000,11,0.9950,0.4534
LATTICE,WATCHDOG,20,1.0000,9,0.9958,0.4862
LATTICE,HASARD,20,0.1667,1,1.0000,0.3225
LATTICE,ATTRACTIF,20,0.5833,5,0.9958,0.4256
LATTICE,BICAMERAL,21,0.9167,4,1.0000,0.2894
LATTICE,BICAMERAL_KICK,21,1.0000,9,0.9942,0.4402
LATTICE,WATCHDOG,21,0.9167,10,0.9950,0.4875
LATTICE,HASARD,21,0.4167,1,1.0000,0.4075
LATTICE,ATTRACTIF,21,0.5000,3,0.9992,0.4804
LATTICE,BICAMERAL,22,1.0000,3,0.9992,0.2312
LATTICE,BICAMERAL_KICK,22,1.0000,11,0.9933,0.4767
LATTICE,WATCHDOG,22,1.0000,11,0.9950,0.4872
LATTICE,HASARD,22,0.0833,1,1.0000,0.2759
LATTICE,ATTRACTIF,22,0.5000,6,0.9975,0.4248
LATTICE,BICAMERAL,23,1.0000,3,0.9975,0.2168
LATTICE,BICAMERAL_KICK,23,1.0000,11,0.9925,0.5058
LATTICE,WATCHDOG,23,1.0000,11,0.9883,0.4611
LATTICE,HASARD,23,0.2500,1,1.0000,0.3407
LATTICE,ATTRACTIF,23,0.5000,4,0.9983,0.4357
LATTICE,BICAMERAL,24,1.0000,3,0.9983,0.1912
LATTICE,BICAMERAL_KICK,24,1.0000,12,0.9908,0.4577
LATTICE,WATCHDOG,24,1.0000,8,0.9942,0.3802
LATTICE,HASARD,24,0.3333,1,1.0000,0.3519
LATTICE,ATTRACTIF,24,0.4167,2,0.9983,0.4000
LATTICE,BICAMERAL,25,1.0000,1,1.0000,0.1763
LATTICE,BICAMERAL_KICK,25,1.0000,10,0.9925,0.3978
LATTICE,WATCHDOG,25,1.0000,9,0.9983,0.4000
LATTICE,HASARD,25,0.0833,1,1.0000,0.2697
LATTICE,ATTRACTIF,25,0.5833,3,0.9967,0.4046
LATTICE,BICAMERAL,26,0.9167,1,1.0000,0.1900
LATTICE,BICAMERAL_KICK,26,1.0000,11,0.9892,0.3715
LATTICE,WATCHDOG,26,0.9167,11,0.9942,0.4392
LATTICE,HASARD,26,0.2500,1,1.0000,0.3578
LATTICE,ATTRACTIF,26,0.5833,3,0.9983,0.3881
LATTICE,BICAMERAL,27,1.0000,4,1.0000,0.2355
LATTICE,BICAMERAL_KICK,27,1.0000,12,0.9933,0.4310
LATTICE,WATCHDOG,27,1.0000,10,0.9900,0.3815
LATTICE,HASARD,27,0.1667,1,0.9992,0.2900
LATTICE,ATTRACTIF,27,0.5833,3,0.9992,0.3799
LATTICE,BICAMERAL,28,1.0000,2,0.9992,0.1746
LATTICE,BICAMERAL_KICK,28,1.0000,9,0.9950,0.4293
LATTICE,WATCHDOG,28,1.0000,11,0.9958,0.5032
LATTICE,HASARD,28,0.0000,0,1.0000,0.2521
LATTICE,ATTRACTIF,28,0.4167,1,0.9992,0.3856
LATTICE,BICAMERAL,29,1.0000,3,0.9992,0.2169
LATTICE,BICAMERAL_KICK,29,1.0000,10,0.9942,0.4382
LATTICE,WATCHDOG,29,1.0000,11,0.9942,0.4090
LATTICE,HASARD,29,0.2500,1,0.9992,0.3346
LATTICE,ATTRACTIF,29,0.4167,2,0.9967,0.3858
BA_m3,BICAMERAL,0,0.1667,1,0.9900,0.2264
BA_m3,BICAMERAL_KICK,0,0.0000,0,0.9900,0.1820
BA_m3,WATCHDOG,0,0.0833,1,0.9908,0.1658
BA_m3,HASARD,0,0.3333,1,1.0000,0.3387
BA_m3,ATTRACTIF,0,0.3333,2,0.9975,0.4400
BA_m3,BICAMERAL,1,0.0833,1,1.0000,0.1806
BA_m3,BICAMERAL_KICK,1,0.5000,3,0.9967,0.2758
BA_m3,WATCHDOG,1,0.4167,3,0.9967,0.2766
BA_m3,HASARD,1,0.3333,1,0.9958,0.2574
BA_m3,ATTRACTIF,1,0.3333,3,0.9958,0.4757
BA_m3,BICAMERAL,2,0.0000,0,0.9950,0.2201
BA_m3,BICAMERAL_KICK,2,0.4167,2,0.9975,0.2872
BA_m3,WATCHDOG,2,0.4167,4,0.9958,0.3046
BA_m3,HASARD,2,0.4167,1,1.0000,0.3065
BA_m3,ATTRACTIF,2,0.4167,3,0.9967,0.3883
BA_m3,BICAMERAL,3,1.0000,3,0.9983,0.1956
BA_m3,BICAMERAL_KICK,3,1.0000,5,0.9958,0.2124
BA_m3,WATCHDOG,3,1.0000,6,0.9958,0.1906
BA_m3,HASARD,3,0.1667,1,1.0000,0.3198
BA_m3,ATTRACTIF,3,0.4167,4,0.9983,0.4034
BA_m3,BICAMERAL,4,1.0000,2,0.9992,0.1813
BA_m3,BICAMERAL_KICK,4,1.0000,3,0.9983,0.1880
BA_m3,WATCHDOG,4,1.0000,7,0.9958,0.2263
BA_m3,HASARD,4,0.1667,1,1.0000,0.2850
BA_m3,ATTRACTIF,4,0.4167,3,0.9992,0.3574
BA_m3,BICAMERAL,5,0.0000,0,0.9942,0.1754
BA_m3,BICAMERAL_KICK,5,0.1667,2,0.9950,0.2182
BA_m3,WATCHDOG,5,0.2500,3,0.9958,0.2441
BA_m3,HASARD,5,0.1667,1,0.9983,0.2984
BA_m3,ATTRACTIF,5,0.3333,2,0.9967,0.3532
BA_m3,BICAMERAL,6,1.0000,1,1.0000,0.1824
BA_m3,BICAMERAL_KICK,6,1.0000,1,1.0000,0.1641
BA_m3,WATCHDOG,6,1.0000,1,1.0000,0.1664
BA_m3,HASARD,6,0.3333,1,1.0000,0.3284
BA_m3,ATTRACTIF,6,0.6667,5,0.9992,0.4507
BA_m3,BICAMERAL,7,0.1667,1,0.9917,0.1585
BA_m3,BICAMERAL_KICK,7,0.0833,1,0.9900,0.1821
BA_m3,WATCHDOG,7,0.0833,1,0.9908,0.1756
