topo,condition,seed,valid_frac,coverage,sharpness,consec_dist
ER_p06,ATTRACTIF,22,0.5000,3,0.9992,0.3922
ER_p06,BICAMERAL,23,1.0000,1,1.0000,0.1594
ER_p06,BICAMERAL_KICK,23,1.0000,8,0.9933,0.3000
ER_p06,WATCHDOG,23,1.0000,9,0.9942,0.3498
ER_p06,HASARD,23,0.2500,1,1.0000,0.3204
ER_p06,ATTRACTIF,23,0.4167,3,0.9983,0.3992
ER_p06,BICAMERAL,24,1.0000,1,1.0000,0.1460
ER_p06,BICAMERAL_KICK,24,1.0000,6,0.9983,0.2951
ER_p06,WATCHDOG,24,1.0000,4,0.9975,0.2451
ER_p06,HASARD,24,0.3333,1,1.0000,0.3320
ER_p06,ATTRACTIF,24,0.5000,3,0.9992,0.3487
ER_p06,BICAMERAL,25,1.0000,3,0.9983,0.1780
ER_p06,BICAMERAL_KICK,25,1.0000,6,0.9958,0.3284
ER_p06,WATCHDOG,25,1.0000,8,0.9950,0.3003
ER_p06,HASARD,25,0.0833,1,1.0000,0.2518
ER_p06,ATTRACTIF,25,0.5833,5,0.9975,0.4436
ER_p06,BICAMERAL,26,0.8333,1,1.0000,0.1767
ER_p06,BICAMERAL_KICK,26,1.0000,6,0.9967,0.2638
ER_p06,WATCHDOG,26,0.9167,7,0.9950,0.2627
ER_p06,HASARD,26,0.2500,1,1.0000,0.3413
ER_p06,ATTRACTIF,26,0.5000,1,0.9992,0.3195
ER_p06,BICAMERAL,27,1.0000,2,0.9983,0.1704
ER_p06,BICAMERAL_KICK,27,1.0000,9,0.9958,0.2941
ER_p06,WATCHDOG,27,1.0000,9,0.9925,0.3421
ER_p06,HASARD,27,0.2500,1,0.9992,0.2836
ER_p06,ATTRACTIF,27,0.5000,2,0.9983,0.3593
ER_p06,BICAMERAL,28,1.0000,1,1.0000,0.1441
ER_p06,BICAMERAL_KICK,28,1.0000,4,0.9975,0.2126
ER_p06,WATCHDOG,28,1.0000,5,0.9967,0.2725
ER_p06,HASARD,28,0.0000,0,1.0000,0.2231
ER_p06,ATTRACTIF,28,0.4167,2,1.0000,0.3318
ER_p06,BICAMERAL,29,1.0000,3,0.9983,0.1641
ER_p06,BICAMERAL_KICK,29,1.0000,4,0.9983,0.2420
ER_p06,WATCHDOG,29,1.0000,4,0.9967,0.2326
ER_p06,HASARD,29,0.3333,1,1.0000,0.3107
ER_p06,ATTRACTIF,29,0.5000,1,1.0000,0.3133
