m,condition,s_sat,tau_mat,seed,h_cont,h_cog,sync
5,s1_tau100,1.0,100,1337,3.114006026259752,0.0,0.0003127170226119009
5,s1_tau100,1.0,100,99,3.0942789375679833,0.0,0.0026956407887503407
5,s1_tau100,1.0,100,314,3.2373433399568685,0.0,-0.0022933206785519127
5,s1_tau100,1.0,100,2024,3.241646364824359,0.0,-0.002268324984533232
5,s1_tau100,1.0,100,888,3.2031502498518627,0.0,0.004087753103627758
5,s3_tau0,3.0,0,42,3.177799881049664,0.0,0.0009706821659154292
5,s3_tau0,3.0,0,123,3.2464684252343043,0.0,0.003753140234561831
5,s3_tau0,3.0,0,777,3.2204825652000753,0.0,-0.001481833604621619
5,s3_tau0,3.0,0,17,3.1282763931895694,0.0,0.0003590446306216388
5,s3_tau0,3.0,0,256,3.186849331738778,0.0,-0.005240653566906184
5,s3_tau0,3.0,0,1337,3.0636301809889632,0.0,0.005343359687425585
5,s3_tau0,3.0,0,99,3.1490640351107038,0.0,-0.0012357524977194827
