seed,model,rho,input_scale,leak,nrmse
5,M4R_DECOUPLE,-1,-1,-1,2.181391
6,ESN,0.8,0.1,0.3,0.581994
6,ESN,0.8,0.1,1.0,0.392004
6,ESN,0.8,0.5,0.3,0.582129
6,ESN,0.8,0.5,1.0,0.387619
6,ESN,0.8,1.0,0.3,0.581097
6,ESN,0.8,1.0,1.0,0.464963
6,ESN,0.95,0.1,0.3,0.572178
6,ESN,0.95,0.1,1.0,0.330828
6,ESN,0.95,0.5,0.3,0.569761
6,ESN,0.95,0.5,1.0,0.339307
6,ESN,0.95,1.0,0.3,0.576613
6,ESN,0.95,1.0,1.0,0.419655
6,ESN,1.1,0.1,0.3,0.573885
6,ESN,1.1,0.1,1.0,0.319347
6,ESN,1.1,0.5,0.3,0.576175
6,ESN,1.1,0.5,1.0,0.303148
6,ESN,1.1,1.0,0.3,0.591126
6,ESN,1.1,1.0,1.0,0.389499
6,M4R_FULL,-1,-1,-1,2.368218
6,M4R_DECOUPLE,-1,-1,-1,1.210387
7,ESN,0.8,0.1,0.3,0.616626
7,ESN,0.8,0.1,1.0,0.439615
7,ESN,0.8,0.5,0.3,0.583899
7,ESN,0.8,0.5,1.0,0.384245
7,ESN,0.8,1.0,0.3,0.583419
7,ESN,0.8,1.0,1.0,0.436910
7,ESN,0.95,0.1,0.3,0.610735
7,ESN,0.95,0.1,1.0,0.406252
7,ESN,0.95,0.5,0.3,0.562320
7,ESN,0.95,0.5,1.0,0.347574
7,ESN,0.95,1.0,0.3,0.573629
7,ESN,0.95,1.0,1.0,0.417442
7,ESN,1.1,0.1,0.3,0.591028
7,ESN,1.1,0.1,1.0,0.469491
7,ESN,1.1,0.5,0.3,0.558882
7,ESN,1.1,0.5,1.0,0.492888
7,ESN,1.1,1.0,0.3,0.584498
7,ESN,1.1,1.0,1.0,0.487636
7,M4R_FULL,-1,-1,-1,1.944281
7,M4R_DECOUPLE,-1,-1,-1,1.953947
