topo,seed,n_comm_doubt,n_comm_struct,nmi_obs,nmi_rand_mean,nmi_rand_std,z_score,p_value,significant,n_doubt_edges
lattice,42,24,8,0.263277041388196,0.26076196587143236,0.012912931045294871,0.19477185371367098,0.396,False,1729
lattice,123,23,8,0.29050213502480376,0.2618173045823504,0.01532355768791473,1.8719432539614702,0.046,True,1769
lattice,777,34,8,0.34118590310456465,0.3310793728482422,0.012068815126289722,0.8374086560883526,0.202,False,1583
ba_m3,42,17,7,0.1923091501077358,0.19421616195773495,0.02122157094409069,-0.08986195484459651,0.512,False,434
ba_m3,123,17,7,0.16969188537437335,0.19520915871519762,0.020802067277818772,-1.2266700707581426,0.914,False,416
ba_m3,777,23,9,0.3347624469991942,0.27641937774826086,0.020668203646466675,2.82284180309422,0.002,True,336
