m,lambda_photons,n_seeds,h_cont_mean,h_cont_std,h_cog_mean,h_cog_std,sync_mean,sync_std,shot_noise_rel
3,DETERMINISTIC,10,3.669208570918907,0.03666573145237019,0.18033674367461025,0.04049392950843808,0.007369445952248406,0.006387897551186494,0.0
3,3,10,3.8179354725331422,0.0493529522985511,0.21244065309562593,0.03740431564719175,0.006711141340879021,0.0048530350030639045,0.5773502691896258
3,10,10,3.7225845725356614,0.04374661323953102,0.19100267795519324,0.050958583837333475,0.006556092289836711,0.007905998116469208,0.31622776601683794
3,30,10,3.6871588034662706,0.052039661930230234,0.18097721481193418,0.04056359167055124,0.005089423343854634,0.003943049433913922,0.18257418583505536
3,100,10,3.6675891576889597,0.04958631918614317,0.17562816557481323,0.043800007203637505,0.009290061575866199,0.00660523115501189,0.1
3,300,10,3.6665275295393966,0.04608315363538322,0.17843588109954528,0.041803240631947985,0.009399342033191697,0.005067311051431621,0.05773502691896257
3,1000,10,3.6731614129019974,0.04132469040686465,0.1792300017775008,0.03347748925045629,0.008293763126996544,0.006035363709940447,0.03162277660168379
5,DETERMINISTIC,10,3.184459611420193,0.06163353159216261,0.0,0.0,0.0024546788796685356,0.006139967681014823,0.0
5,3,10,3.37817456358405,0.06541219134211355,0.0002154483623890965,0.00033636864796953006,0.00011351580763929266,0.004246490811198239,0.5773502691896258
5,10,10,3.247142509226884,0.06901739638282339,0.0,0.0,0.00022958277005087055,0.0032862376911604115,0.31622776601683794
5,30,10,3.2011069443141786,0.06568643096577699,0.0,0.0,0.0004304117725429166,0.004367625866179881,0.18257418583505536
5,100,10,3.18307560473663,0.0619222724001793,0.0,0.0,-0.00024561568009434903,0.003565848197743614,0.1
5,300,10,3.1935236277470267,0.05800808805051341,0.0,0.0,-0.00018434658281389163,0.0031090112914421105,0.05773502691896257
5,1000,10,3.1809406601918724,0.05396335683893338,5.386209059727412e-05,0.00016158627179182236,0.002717312308324466,0.005777234451410374,0.03162277660168379
