condition,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std,sync_mean,sync_std,f_dom_mean,f_dom_std,peak_pow_mean
FULL,0.02125110249453949,0.008534502898418,3.0551283472419235,0.052070586955864584,0.0629470807229412,0.021144267908139735,0.008,0.003265986323710904,0.009236146254088485
SS_NOISE,0.01171549521566423,0.0016619338173094929,3.0369300339879555,0.041628235315478164,0.06834465140787416,0.014104330425700837,0.005333333333333333,0.0018856180831641268,0.011015472820242752
SS_STATIC,0.019196774989805557,0.0021612591890696293,3.0547640538397034,0.022626861318694867,0.04792880438367691,0.003679912171703725,0.005333333333333333,0.0018856180831641268,0.008542872656436294
FROZEN_U,0.9915172319142824,0.04212185869001822,4.009436392284853,0.11505566779278359,0.7824004575755676,0.025642492043014223,0.028,0.0,0.7794053443262846
