regime,I_stim,ablation,label,seed,synchrony,lz_full,lz_tail
FORCED,0.5,NO_HERETIC,Heretic flip disabled,2,0.08581215428646087,1.1591662595345198,1.611187767941602
FORCED,0.5,NO_HERETIC,Heretic flip disabled,3,0.02218089280764885,1.1627320809670683,1.4176791339568626
FORCED,0.5,NO_HERETIC,Heretic flip disabled,4,-0.00028703901480803707,1.1034845863954974,1.6502216984020428
FORCED,0.5,NO_HERETIC,Heretic flip disabled,5,0.14986959300307806,1.1454515617170267,1.6410860976559822
FORCED,0.5,NO_HERETIC,Heretic flip disabled,6,0.05209305609776018,1.1289939243360347,1.60454369467174
FORCED,0.5,NO_HERETIC,Heretic flip disabled,7,0.012854906271760193,1.1465487375424255,1.6784590097989565
FORCED,0.5,NO_HERETIC,Heretic flip disabled,8,0.030645782344223875,1.1182964600383902,1.631950496909921
FORCED,0.5,NO_HERETIC,Heretic flip disabled,9,0.01113223331081019,1.1251538089471367,1.5671707825287644
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,0,0.0239434669281505,1.0582260835977702,1.465848665163364
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,1,0.0389414173191583,1.0483515011691757,1.4625266285284328
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,2,0.05762665522886857,1.0853811852764068,1.3952553866710766
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,3,0.03578937325813432,1.0837354215383077,1.4783063025443566
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,4,0.016514289697876317,1.0510944407326739,1.3653570569566968
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,5,-7.18720387017906e-05,1.0801696001057592,1.4924249582428135
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,6,0.028511674748668,1.0766037786732112,1.4533910277823725
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,7,0.0541258159597304,1.0952557677050017,1.4866113941316843
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,8,0.05580653278113112,1.0708436055898638,1.3462553463058433
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid → 1.0,9,0.07478044528913247,1.0840097154946575,1.4309672804965872
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,0,0.7051454120835986,1.6375349194086812,1.9973745267523473
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,1,0.8087631355732523,1.62135157598404,1.9982050359110792
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,2,0.695265383011861,1.6402778589721796,1.9691372153554334
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,3,0.6579374489433639,1.6400035650158296,1.9907304534824852
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,4,0.7382775486112709,1.6402778589721803,1.996544017593613
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,5,0.7935588097830794,1.6315004523689844,2.0048491091809417
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,6,0.843256385604672,1.6262888671983382,1.999866054228546
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,7,0.7353623696453722,1.6391806831467812,2.0065101274984065
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,8,0.8121173705573373,1.6342433919324841,1.9973745267523468
FORCED,0.5,FROZEN_U,u frozen at σ_baseline,9,0.7240047269904342,1.6347919798451833,1.9832558710538901
