i_stim,u_frozen,label,group,seed,r_global,r_intra,r_inter,n_min,desequilibre,u_final_mean
0.50,0.050,u=0.05 (ablation du preprint),repli,3061,0.73729183,0.73729183,nan,0,0.0000,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3062,0.59424207,0.69625996,-0.19910977,6,0.0600,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3063,0.74192368,0.74192368,nan,0,0.0000,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3064,0.64695061,0.65945895,0.03404214,1,0.0100,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3065,0.52176160,0.60766229,-0.28751333,5,0.0500,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3066,0.64070922,0.67851520,-0.27627846,2,0.0200,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3067,0.64035635,0.67617307,-0.22838180,2,0.0200,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3068,0.65435553,0.65435553,nan,0,0.0000,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3069,0.78308625,0.78308625,nan,0,0.0000,0.050000
0.50,0.050,u=0.05 (ablation du preprint),repli,3070,0.80426249,0.80426249,nan,0,0.0000,0.050000
0.50,0.950,u=0.95 (repulsif fort fige),canon,0,0.00796990,0.10453425,-0.10292822,36,0.3600,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,1,0.00403413,0.11900130,-0.11195954,44,0.4400,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,2,-0.00272196,0.10110940,-0.10987797,42,0.4200,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,3,-0.00217749,0.10976885,-0.11268574,47,0.4700,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,4,-0.00003878,0.12730547,-0.12987691,43,0.4300,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,5,-0.00102899,0.11907843,-0.11873426,50,0.5000,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,6,-0.00655495,0.09938519,-0.11046022,49,0.4900,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,7,-0.00320761,0.12698073,-0.13245255,46,0.4600,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,8,0.00232688,0.08825411,-0.08215446,48,0.4800,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),canon,9,0.00185182,0.13367822,-0.13255624,43,0.4300,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3061,-0.00485813,0.11849544,-0.12613603,48,0.4800,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3062,0.01519937,0.12514231,-0.09826390,42,0.4200,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3063,-0.00081413,0.12717400,-0.12634391,49,0.4900,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3064,0.00196636,0.10964174,-0.10492876,46,0.4600,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3065,-0.00411922,0.10521708,-0.11161572,48,0.4800,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3066,0.00102522,0.11108002,-0.10823208,46,0.4600,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3067,0.00349617,0.11468543,-0.10555741,49,0.4900,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3068,-0.00456865,0.10338361,-0.11348477,44,0.4400,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3069,-0.00578041,0.12679806,-0.13665575,47,0.4700,0.950000
0.50,0.950,u=0.95 (repulsif fort fige),repli,3070,-0.00361754,0.10615910,-0.11128561,49,0.4900,0.950000
