label,seed,frozen_u,h_euler,h_rk4,sy_euler,sy_rk4,mae_v,max_mae_v
ba_m3_FULL,0,False,0.37949138347414707,0.3749296842017375,0.47773766614753105,0.4768849756499773,0.005349436482149325,0.11055793463262797
ba_m3_FULL,1,False,0.39339452062689845,0.39363522648409266,0.47752435380454245,0.4766550839571386,0.005355540690631371,0.10366295165761619
ba_m3_FULL,2,False,0.3954414242771092,0.3945793323171226,0.4884699802140399,0.48769466701775815,0.005356088166641551,0.09877559993487184
ba_m3_FULL,3,False,0.3940546974765196,0.3908603318531506,0.48041861816528547,0.47956407916652,0.005299119112785781,0.09495726559495266
ba_m3_FULL,4,False,0.41085785693109234,0.4102478546557259,0.4872389952701727,0.48645833231541646,0.005392167841104548,0.11714893220611766
ba_m3_FROZEN_U,0,True,0.3777489814562249,0.3791714352451631,0.6768923524155915,0.6771059671736457,0.005279334968422215,0.09794412205327863
ba_m3_FROZEN_U,1,True,0.39806451859606823,0.3988303368391034,0.6843739791967339,0.6843032858716782,0.0052979951919141935,0.10493106801183227
ba_m3_FROZEN_U,2,True,0.39438164765112543,0.39550372324873007,0.6757807621616985,0.6760160406432976,0.005296739783825939,0.09997826208033245
ba_m3_FROZEN_U,3,True,0.3974415807358378,0.39731088991386543,0.6834087108330457,0.6833419605389995,0.005221652092754992,0.09507429964758463
ba_m3_FROZEN_U,4,True,0.39470389707222886,0.3928006923393868,0.699478367612372,0.6994604471534442,0.005305166701208324,0.1004060296367415
ba_m5_FULL,0,False,0.38395409763202515,0.38157288175889026,0.4730917122910277,0.4722353567712003,0.005330808676558944,0.09721487241245863
ba_m5_FULL,1,False,0.39516803691947555,0.39571684855632633,0.4762395639275143,0.47537144218787014,0.005344853451412511,0.10515291817341432
ba_m5_FULL,2,False,0.3978434707493057,0.3965760514327344,0.4867720777363455,0.4860012710525776,0.005347263679717809,0.10155711213076257
ba_m5_FULL,3,False,0.3956157567147075,0.3951837480890112,0.48270269954730566,0.48186904316885465,0.005260960035573106,0.10553039832797007
ba_m5_FULL,4,False,0.39941213144562726,0.39891940078279875,0.48812641997501893,0.48732710238335164,0.005368717861472855,0.09903561254012372
ba_m5_FROZEN_U,0,True,0.3777489814562249,0.3771601311571934,0.6772795668472834,0.6774962072342801,0.005278975546971526,0.09795071281458267
ba_m5_FROZEN_U,1,True,0.39806451859606823,0.3988303368391034,0.6848882793874613,0.6848205885050651,0.005297930392340629,0.10491719849574244
ba_m5_FROZEN_U,2,True,0.39438164765112543,0.39550372324873007,0.6761216271823977,0.6763594430903997,0.00529613857851232,0.09997807648447865
ba_m5_FROZEN_U,3,True,0.39749215947952565,0.39556508350773967,0.6819844312274265,0.6819070707618666,0.005221799677792383,0.09511667262596502
ba_m5_FROZEN_U,4,True,0.39470389707222886,0.3928006923393868,0.6995635624707661,0.6995466295180168,0.005304983780130236,0.10050481559799929
