m,seed,lambda2,h_mean,h_std,synchrony,u_mean
1,42,0.025832798313918725,3.9253598087669173,0.7433399764751217,0.5012883853702421,0.3730409297151963
1,123,0.03228147865364581,4.18474198627698,0.6945035923896504,0.4004923688526275,0.4987305922580119
1,777,0.02171117136520008,4.367709515756774,0.583686620124938,0.2983971243366207,0.6498224067830951
1,17,0.017578225300412847,4.094416560222459,0.6760866280559561,0.4897904421743236,0.49882303893737734
1,256,0.03110623936813337,4.137106977065017,0.6942102430436989,0.45811230125327124,0.5206874987753358
1,1337,0.031748497854844245,4.041634171122449,0.7424921766266713,0.453829838996901,0.47363988465612394
1,99,0.021246996627345402,4.0275693698042625,0.7522052015479302,0.5269491788589047,0.48880239238620293
1,314,0.016299580416424958,4.1303512504763855,0.6979179731211549,0.4555463391144096,0.4804593277489046
1,2024,0.01459524874160806,4.369846222596092,0.6237394667407982,0.4127281978032201,0.6020500667652378
1,888,0.022243158026999155,4.170875183554237,0.6707068463356132,0.4738767270562161,0.5164105318711844
2,42,0.6247183472393513,4.511529533441385,0.18376148916727356,0.09917311961079078,0.9964114524112726
2,123,0.6473208736194,4.487474844763906,0.149910452110267,0.031175751489439952,0.9970288779680868
2,777,0.6606809922329718,4.3690495416537996,0.23854522404288953,0.2379840538354874,0.9961251515440591
2,17,0.6613934109420985,4.5000302455116215,0.11764255916662544,0.0054316728314247826,0.9968746436812507
2,256,0.5790593569235655,4.350984335838704,0.2817348075415933,0.3549779550585817,0.9949814905081718
2,1337,0.6150734894378542,4.3682025457968106,0.3284624452710179,0.33514132141954023,0.9978355958645586
2,99,0.655181844135172,4.46373565869157,0.30280519316311755,0.18936197939739588,0.9979434934317558
2,314,0.6013124959794293,4.40433767637172,0.1459817362496827,0.04337011349261783,0.99632727395002
2,2024,0.6069406152712088,4.344056365008531,0.14322170648017515,0.006751778324248534,0.9954441140599195
2,888,0.6107678652603913,4.420625714558794,0.24434585883580962,0.18583764332510883,0.9970420301493842
3,42,1.4125586946055446,3.6889049501458833,0.1098154265923223,-0.0055349273888582375,0.9981158216003443
3,123,1.408024972726653,3.9121242822861544,0.08408998876087141,-0.0023987552941776686,0.9984944017247055
3,777,1.4210781085133866,3.8683625590856403,0.08965841540762266,-0.003134874782570195,0.998764348262393
3,17,1.3346860164471637,3.870139615827316,0.1397088593737349,-0.004197907137206035,0.9989618794854931
3,256,1.3862848540411232,3.923263963211084,0.10228637586738201,-0.0012117652134002747,0.9984536846077928
3,1337,1.3646343580782165,3.9468375624025596,0.09297891410897495,-0.005933384877353815,0.998262765152998
3,99,1.4004077533311368,3.8730034909194244,0.09325505612161838,-0.002839445830646778,0.9982412422969502
3,314,1.3783053612269245,3.950210793762708,0.10388315493193398,0.006509863736320893,0.9979888603497801
3,2024,1.458380198112709,3.627576923220353,0.12608505646096968,-0.0008037384854467303,0.9982487126884868
3,888,1.4129127230390994,4.11693193320408,0.11866371545844534,0.0045558435588808595,0.9982630879272041
4,42,2.2110890381592316,3.746253793136959,0.1050247613966992,0.0014736243687757406,0.9988778992229372
4,123,2.288322807971658,3.659064350278617,0.10279402249016446,0.008153921985922958,0.9989258608220407
4,777,2.2787697335174792,3.5642542162526856,0.10164874764463987,-0.005489053244054457,0.999139175723337
4,17,2.188160672592141,3.637375570281302,0.06902178773159122,-0.003757322301813346,0.9990099813776897
4,256,2.1747441588975462,3.7358809543386937,0.10037714452149898,0.009070007010929384,0.9987016487934528
4,1337,2.126775924686309,3.7086657872678055,0.07406482787279538,-0.0017124216258113396,0.9991040143146286
4,99,2.199390778221422,3.6434475865521683,0.11187380920502041,-0.004324292714167484,0.9990225077736941
4,314,2.2714607154080713,3.7330055637270863,0.09745318461235186,0.0053889761655441125,0.9992212256427354
4,2024,2.244894225189144,3.645684353999394,0.0923976153426725,-0.006665601126944422,0.9987696152603246
4,888,2.30005354389032,3.6322723651122364,0.07167054126779145,-0.0024802485448799506,0.9990945231926903
5,42,2.9899370080027543,3.357622525824377,0.09405517098441603,-0.0014092035769232745,0.9997911846493978
5,123,3.1133575092353136,3.361212527018128,0.10882361776178477,0.0011567956114549877,0.9993814585232598
5,777,3.2030420232686403,3.3754192678782378,0.07898215628627132,-0.00516106107284479,0.9997539381888965
5,17,3.2030820403487628,3.40717515225189,0.08704762431710585,-0.001498035119278244,0.9995085388067282
5,256,3.0266808325283945,3.6206177914553446,0.08381719098147863,-0.0037806079397031318,0.9995183060697134
5,1337,3.0034902240530648,3.4070769165583807,0.10542604536824862,-0.005673702687929074,0.9996774956432262
5,99,3.0057037896082797,3.5664756451399873,0.07382639099227427,-0.0015714447713001724,0.9995708599082925
5,314,3.121996954608005,3.4165379539667766,0.09519954480344979,-0.003481269094983527,0.9995894624653434
5,2024,3.1100982036627487,3.375680926110231,0.08938863552929505,0.002668211333622848,0.9994762876418545
5,888,2.9975240533819685,3.3851096030319328,0.11004720742051713,0.001992984829341285,0.9994820505728345
6,42,3.921183427252306,4.117194984983336,0.09141773534895524,-0.0044192088128107215,0.9999197423437762
6,123,3.9036207961354075,4.266159855736127,0.07749314488791825,-0.0003302674326324032,0.9999512142690233
6,777,4.01513078314626,4.055573242563252,0.1475803663182295,0.051764906299464786,0.9999017036297324
6,17,4.185000935383301,4.236378097043191,0.09992487674749183,0.04461883243412915,0.9999379886482292
6,256,3.9756116302485682,4.165442987676287,0.076279512132474,-0.0027967425453167927,0.9998457477769772
6,1337,4.048424966980886,4.2645644034090475,0.09345875862004722,0.002908165618732354,0.9998999620075655
6,99,4.024891570230563,4.270425390761733,0.10203157675464095,0.00028059818437954485,0.9998090959939719
6,314,4.009904865774196,4.261939013441873,0.08305443907760966,0.004487444796988985,0.9998588066620805
6,2024,4.021648250766576,4.179368742872326,0.06863677184967365,-0.0013831035195839044,0.9999443209687283
6,888,4.040733976980441,4.131037851673238,0.061003907043281416,-0.0008461373705003399,0.9998844155871385
7,42,5.046239141923623,4.0736610173535555,0.1270023266025169,-0.007392930533172266,1.0
7,123,4.7409083250125645,3.871970649979685,0.11431709793141025,-0.00247379326616117,0.9999608571040476
7,777,4.933027260095069,3.984743595515383,0.09328140666197857,-0.005455732826507108,0.9999468095190059
7,17,4.885863533785157,4.079751260042182,0.10169402297392653,-0.006866594189819737,0.9999873613565541
7,256,4.915820667375157,3.988458361505446,0.12330408836224632,-0.008347108637418355,0.9999830036764741
7,1337,4.908041822560222,3.7642539528510435,0.1242662595814045,-0.00691271473321957,0.999981789337076
7,99,5.002744169349753,3.952540624179194,0.13172317561357885,-0.007794833187934832,0.999987620778436
7,314,4.8193342890895945,4.208004601137753,0.09390538541205441,-0.0019959999788333373,0.9998722379248445
7,2024,5.016619280236991,3.939793033738028,0.16888779849781577,-0.008205283348423784,0.9999636688909643
7,888,4.787359784653482,4.006988680421532,0.09666795166354925,-0.006378039408811195,0.9999934956098433
8,42,5.863867825037325,3.8166783406078015,0.1574283726963243,-0.007396954171529168,0.9999915637652055
8,123,5.813541627833227,3.868150856466201,0.20303946346241372,-0.0037530587564255213,0.9999920719515982
8,777,5.811457018031075,3.685948145000575,0.15665981896814596,-0.0071839127997021775,0.9999637031401264
8,17,5.889383261626577,3.8344987263005335,0.16983021180759672,-0.007426522108724754,0.9999996039265535
8,256,5.978792288248004,3.8908648152871446,0.12815360609941462,-0.0021225948509943082,1.0
8,1337,5.863021283613117,3.8171895993231635,0.15319093523745664,-0.005188897281580758,0.9999765339583689
8,99,5.694152958490871,3.6479847299501853,0.15490844683193658,-0.007281185196459769,0.9999849189547555
8,314,5.730897234439651,3.8012984086185084,0.1898940594601011,-0.0038102745417816996,1.0
8,2024,5.52319545610227,3.6125383737661445,0.1641051579897282,-0.008582808481032215,1.0
8,888,5.897156864815137,3.6887437365092652,0.12765407203472948,-0.006593507549575345,0.9999879203873452
10,42,7.696252993949204,3.3500262831750756,0.12715923565442577,-0.006715940800891676,1.0
10,123,7.827150494815136,2.9846117372894767,0.2028849486819295,-0.007812985058914545,1.0
10,777,7.9191809093048295,2.9455739955806686,0.18428753847852478,-0.006798056162944571,1.0
10,17,7.742782711059069,3.1136629653646497,0.15629150837220326,-0.006584540272233713,1.0
10,256,7.601080344776803,3.1152557462456922,0.18210044719836982,-0.007328173054142267,1.0
10,1337,7.836194174471441,2.9245629160805016,0.20396006999980523,-0.00864449528080427,1.0
10,99,7.720976355089896,3.0242711555587523,0.20242140308383352,-0.008299107790007993,1.0
10,314,7.848234758108013,2.9716485925049425,0.2209383715116861,-0.008011971241002528,1.0
10,2024,7.817024356239386,3.1451800079593997,0.14829595788247393,0.0005223450846324408,1.0
10,888,7.827164859889888,3.0987710041526815,0.17036715694884982,-0.006754233049853519,1.0
